[0] 0:14	do
[1] 1:18	[Music]
[2] 1:25	hello and welcome back to our 10th live stream on ancient egypt and the bible uh
[3] 1:32	today's live stream is uh named after uh uh the tenth portion
[4] 1:38	which is uh commonly called the tithe now we're not going to talk i'm not going to give you a lecture on tithing so don't worry
[5] 1:43	about that but i need something that that tied into the number 10 and
[6] 1:50	the 10th portion is is what melchized what abraham gave to melchizedek after
[7] 1:57	the war of kings so um it does play very much into the ancient near
[8] 2:04	east so what would you on these these live streams is we take your questions and uh
[9] 2:11	we i try to answer them the best as i can mostly from the top of my head
[10] 2:16	and i ask that uh if you're i i try to take um
[11] 2:24	super chats as well as non-super chat questions now i ask if you are asking me a
[12] 2:31	question and not doing a super chat that you put a q and a colon in front of
[13] 2:38	of your question and then only ask the question once so that way i can tell which
[14] 2:45	questions are unique so we got a very very exciting week
[15] 2:50	ahead of us i want to um uh to let you guys know that i've agreed to
[16] 2:56	a interview uh this time next week so thursday at 4 p.m uh pacific 7
[17] 3:04	pm uh eastern i will be on uh finding truth channel
[18] 3:10	where i will be having a conversation with michael jones of ip
[19] 3:18	of um of ip so this is going to be very very interesting conversation and i'm very
[20] 3:24	much looking forward to this so we're going to talk about evidence of the um
[21] 3:30	late exodus and perhaps a little bit about our history together so that's going to
[22] 3:35	be a very exciting time and i'm really looking forward to it now as a result of that
[23] 3:40	uh the live stream our live stream is going to be friday uh and it'll probably be uh very late in
[24] 3:47	the evening because i'll be coming home from work so it'll be back to its normal friday schedule
[25] 3:52	so with that said uh let's get into the questions and we do have a um early super chat
[26] 4:00	that came in let's start those stream here
[27] 4:10	and what's all that well that's loading
[28] 4:16	okay the first super chat is from rg strategy for five dollars thank you very much
[29] 4:22	uh which egyptian king do you think was king solomon's father-in-law
[30] 4:27	okay it's an interesting question now there are three egyptian kings that
[31] 4:32	ruled during the reign of solomon and that was uh siamoom tsusinis
[32] 4:41	second and shoshank the first now it's unlikely that shoshank the
[33] 4:47	first was the father-in-law solomon and the reason why was because the 22nd dynasty shoshone
[34] 4:55	the first was the first king of the 22nd dynasty uh it was a new libyan dynasty and they sort of saw
[35] 5:02	themselves as rivals to uh egypt's former allies
[36] 5:08	so there was a rivalry there going on between shoshank the first and solomon so it wasn't showshank the first that
[37] 5:15	much we can pretty much bet on but however uh the other two kings were definitely a
[38] 5:23	potential father-in-law's for solomon which was susanne's the second and siemen now we can't be sure exactly which one
[39] 5:31	it could have been either one and at the end of the dinos the 21st dynasty
[40] 5:37	we sort of see the last of say the remnants of the ram aside lines
[41] 5:46	so these kings were really really weak quick kings uh all the kings of dynasty 21 were
[42] 5:52	exceptionally weak the the fact is that
[43] 5:57	even though the kings of dynasty 21 in name ruled the entire upper and lower lower
[44] 6:03	egypt the fact was that the priests of amun essentially ruled uh upper egypt in
[45] 6:10	everything but name so the influence of dynasty 21 kings was
[46] 6:15	really really not what it had been in say dynasty 20
[47] 6:21	or dynasty 19. so effectively simon and cece ii were
[48] 6:28	essentially the kings of lower egypt in in actual power
[49] 6:35	so it sort of makes sense at that point that those last two kings of of dynasty 21 would
[50] 6:42	try to forge alliances wherever they can and even to the even to the extent of of
[51] 6:48	giving their daughters to to secure treaties with other countries which was
[52] 6:54	something that had never been done in egypt prior so um the political situation there just
[53] 7:01	makes huge amounts of sense because it was it was a crumbling dynasty
[54] 7:06	it was the 21 first dynasty at the point was completely crumbling apart and they they needed to show up support
[55] 7:14	where they could so i hope that answers your question thank you very much for the super chat
[56] 7:20	very much appreciate it okay and we have a super chat here
[57] 7:28	good from king north are you familiar thank you for ten
[58] 7:35	dollars thank you very much are you familiar with ben joseph's theory that the lack of
[59] 7:40	archaeological evidence for a united monarchy can be explained because they were nomatic
[60] 7:47	do you think archaeologists have an architectural bias um
[61] 7:54	i had heard of this theory just recently i don't place a lot of stock in that
[62] 8:00	because we are finding a lot of uh 10th century um um
[63] 8:06	israelite um cities there that like like uh telesafety um
[64] 8:13	so i i don't i don't see how how at this point in the game uh ben
[65] 8:19	joseph's theory can really have much traction but you know scholars
[66] 8:25	always love the skeptical bias they they love that bias so and and it's deeply ingrained in say
[67] 8:34	the academy that scholars want to be seen as you know
[68] 8:39	um skeptical and circumspect so they want to view every religious document with a
[69] 8:45	jaundiced eye well it it's it is much more
[70] 8:51	along the lines of that they want to see the bible in a skeptical light
[71] 8:56	they give other documents a free past but the bible is is sort of given special scrutiny because of its history
[72] 9:02	within western civilization so yes i do think there is an architectural bias
[73] 9:09	so but i i also think too that ben joseph theory is has come along really too late in the game to be
[74] 9:15	considered credible at this point but thank you very much for the super chat and thank you for the question
[75] 9:23	so
[76] 9:31	so we don't have any more super chats and that's probably because of our change in date and location at this time so that's okay
[77] 9:37	we'll take other questions let me see what we got here
[78] 9:45	okay dante's powers question can you explain the connection between david's mighty men named abashai and
[79] 9:54	the hicks leader named abba shai in the tomb painting oh absolutely they're both american semitic names
[80] 10:03	i mean there there there is these names are not just used once um they're used
[81] 10:10	many many times over and over again you know semitic names are reused
[82] 10:16	generation after generation after generation and we can we can chart this going back all the way
[83] 10:23	to the middle kingdom so when i i think i explained in my last
[84] 10:29	release video that that you know when you try to identify a person in a genealogy whether it's a genealogy
[85] 10:37	in the bible whether it's your own home family genealogy you need to tie
[86] 10:43	a person to a place and that's the only way you can sort of narrow down
[87] 10:49	if the person named is the same name i mean good grief if i tried to find uh
[88] 10:56	um you know past people named david i mean i can go all the way back to um to the 10th century bc for people
[89] 11:04	named david i mean that was it and probably even earlier than that there's even some indication that david
[90] 11:09	as a name is even earlier than that so you need more than just a name
[91] 11:14	you need a place so the fact that there's a hicksos leader named abishai
[92] 11:20	in a tomb painting doesn't um necessarily
[93] 11:25	mean that there's a direct connection with one of david's mighty men so there there there are
[94] 11:32	these names that do get reused over and over and over again i mean sarai is used over and over and over
[95] 11:37	again you know um uh the egyptian name um miriam comes from the word mary
[96] 11:44	meaning to be loved you know it enters into hebrew and then it's reused over and over and over again ever since
[97] 11:49	the exodus all the way to the the first century and to be to the modern era really
[98] 11:55	we're still using that egyptian name today so just because you see c names being
[99] 12:01	reused doesn't mean that there's a direct connection but it is an excellent question
[100] 12:06	um and the reason that we do see this is because they're both synthetic names exhaust
[101] 12:12	spoke and america's uh um um canaanite die like a west semitic
[102] 12:18	dialect and frankly so did the hebrews they also spoke
[103] 12:24	a a amoritic semitic or west semitic dialect so it's not
[104] 12:29	surprising that they also shared common names too but a great question thank you very much okay
[105] 12:37	i see we got another super chat here white girl with instagram scream
[106] 12:46	last live stream you said you didn't believe that ancient israelites were polytheism how
[107] 12:52	do you interpret the dead sea scrolls and deuteronomy says that ely long and nearby are different um
[108] 13:01	look let's look up what the masoretic text says
[109] 13:10	first of all so we got uh deuteronomy and deuteronomy 32 is
[110] 13:17	kind of weird anyway it's a that's a strange um strange chapter
[111] 13:25	let's go to eight and what does eight said okay
[112] 13:31	uh deuteronomy 32 verse 8 when the most high gave nations their inheritance he separated
[113] 13:37	the sons of man and set boundaries according to the people number of the sons of of israel okay i don't see that
[114] 13:46	there see if i would then have to i think i would have to look up a dead sea scroll to
[115] 13:53	to probably comment more on that i can just let's see what the septuagint says and then we can probably draw at
[116] 14:00	least some see
[117] 14:12	two agents when the most high divided the nations
[118] 14:20	he separated the sons of atoms and set the bounds of nations according to the number of angels of god okay
[119] 14:34	okay so the most high here being um el elyon okay
[120] 14:45	i don't see an exact separation here between
[121] 14:52	el elyon and yahweh be very honest um i think it's just two names uh
[122] 14:59	referencing the same deity at least as far as what i can see in both the masoretic text and uh the septuagint
[123] 15:07	um i don't see that there's there's any real sort of difference and we do find this
[124] 15:13	that uh the same deity can be referenced uh referred by different names this is actually quite
[125] 15:18	common in ancient near eastern literature uh we find this in the ball cycle at um
[126] 15:24	in the eucharistic letter uh in eucharitic texts where the same god is referred by
[127] 15:30	multiple names so just because we do find the presence of multiple names
[128] 15:36	does not imply that there is actually a separate deity so um
[129] 15:43	i don't think i i'd have to again look at that dead sea scroll reading just to be sure what it said
[130] 15:49	but that would take me more time than i think is really practical during a super chat like this i mean i do have those
[131] 15:55	texts i can look them up but it's that's a question it's a little more involved because you're asking me
[132] 16:00	to look at a dead sea scroll so i'd love to be able to give you a more thorough answer on that
[133] 16:06	but i think as far as what i can tell um just from the available text that i have
[134] 16:12	available on my desktop here i don't think they're different i think it's just two different names for the
[135] 16:18	same entity but thank you very much for the super chat very much appreciate that
[136] 16:25	okay let's see what we got here
[137] 16:38	us here i see my friend good good friend clive
[138] 16:44	here good to see you again pointing him out
[139] 16:49	okay um
[140] 16:54	uh let's see uh chitilla are there any surviving busts
[141] 17:01	of kings queens besides uh queen nefertiti do you think they were common yes actually there are there are actually
[142] 17:06	several surviving busts um and nfrt is not the only one
[143] 17:12	uh those particular style of bus however were very very common during amarna period uh it's interesting
[144] 17:20	that um when they did that excavation adamara and they found the nefertiti bust
[145] 17:27	they actually found more than one bus there
[146] 17:32	and they found her bust and right nearby was the bust of akhenaten and there's there's
[147] 17:38	sort of an interesting story that uh when they when they did that excavation into marna
[148] 17:45	it was done in such a way where the um the egyptians and the excavators would
[149] 17:51	then sort of split the loot um the idea being that the excavators paid for the cost of
[150] 17:57	excavating and egypt just sort of you know gave a little bit back to the excavator
[151] 18:03	so there there's a there's a story there that uh essentially that you know the egyptians you know were
[152] 18:10	presented with with both uh the modern egyptians were presented with both the bust of nefertiti
[153] 18:15	and the bust of akhenaten and they chose the bust of akhenaten so um and that's because the
[154] 18:23	um antiquities inspectors didn't really care about queens okay so there was a little bit of
[155] 18:28	misogyny going on in that selection but they came to later on really regret
[156] 18:33	that decision but we do find busts of other kings and queens uh there's actually a bust of king tut that's actually uh was
[157] 18:41	pulled out and it's a very famous bust so we do find these for other kings and queens
[158] 18:47	and we find them uh we find a fair number of them during the uh new kingdom period so we
[159] 18:54	do find them and they are actually um they're not common i wouldn't say they're common
[160] 18:59	but we do find them and it's very interesting to see them especially say in the context where
[161] 19:04	they're they're sort of pristine like tuts you know in in touch case you know they they found the whole the whole
[162] 19:10	bust with all its color so it's very interesting and that's that's pretty easy to look up that bust
[163] 19:16	and then in fact there's a famous famous photo of uh the um one of the workers carrying
[164] 19:24	that bust out of tuts too and the way he's holding it uh looks like tut is actually walking
[165] 19:30	with with arms and legs and [Laughter] because the bus is just the shoulders a
[166] 19:37	bit of the the chest and the head so he's carrying it out and it looks like he's holding
[167] 19:42	he's he's walking out that's walking out of the tomb it's it's actually a great photograph
[168] 19:49	but very interesting question thank you very much for the question
[169] 19:57	okay um uh super chat from moises salazar for five
[170] 20:02	dollars thank you very much falk uh do you think because the
[171] 20:08	biblical archaeology was initially so successful it created an academic backlash
[172] 20:14	um [Music] um i i don't think it was a
[173] 20:22	success that caused the academic uh backlash i think it was the influence of german
[174] 20:28	higher schools uh uh german um schools of higher criticism that really
[175] 20:34	caused the cause this sort of um backlash the the um
[176] 20:40	the reddest sense to to accept anything as as biblical now the whole the whole sort of of um
[177] 20:48	development of the german schools of higher criticism is is a trajectory it's a trajectory it's not just one
[178] 20:54	event it really starts around um 1802
[179] 21:00	1798 in that year when we start getting what's called the lives of of
[180] 21:05	of christ um and these started becoming very very popular these were essentially little
[181] 21:12	books that were you know published in europe that basically tried to to to discover the true existence the
[182] 21:21	the true history of jesus the jesus behind all the myth
[183] 21:27	and of course biblical studies back then was very primitive but you know all these different accounts of the life
