[0] 0:01	foreign [Music]
[1] 0:15	[Music]
[2] 0:42	[Music]
[3] 0:59	[Music]
[4] 1:10	[Music] foreign [Music]
[5] 1:28	[Music]
[6] 1:37	[Music]
[7] 1:51	[Music]
[8] 2:26	foreign foreign
[9] 2:33	[Music]
[10] 3:09	thank you [Music]
[11] 3:42	hello and welcome to this R 105th live stream uh happy birthday
[12] 3:49	three years of ancient Egypt and the Bible it's hard to think that we have
[13] 3:54	actually been going now for three years uh for those who know a little bit about
[14] 3:59	the history of this channel we started this during the year of covid I had been
[15] 4:07	um because of the the whole lockdown situation because of covet 19.
[16] 4:13	uh I was unemployed at the time uh the university had let go of all
[17] 4:19	adjuncts and I had some time on my hands
[18] 4:24	so I decided to start this little thing called YouTube and my thought was okay
[19] 4:30	this would be a small Channel you know maybe we'd get a hundred subscribers you
[20] 4:35	know we'd we'd put out some casually some
[21] 4:40	videos maybe once a week um
[22] 4:48	something a lot lot more than I ever anticipated
[23] 4:53	and we just coincidentally started it on May 5th we did not know it was Cinco de
[24] 4:58	Mayo uh but uh happy Cinco de Mayo to all those who celebrate that holiday as
[25] 5:04	well so anyway this is our weekly live stream where we
[26] 5:09	take your questions on Ancient Egypt and the Bible we like all YouTube channels uh super
[27] 5:16	chess have priority but we also take non-super chats as well
[28] 5:21	so we also um we ask that if you do
[29] 5:31	um post a question that you're directing to me it needs to start with a q and a
[30] 5:37	colon so I know it's directed to me and not to somebody else in the live chat we also ask that you only post the
[31] 5:42	question once because I do scan through the live chat looking at questions if you post it multiple times it throws me
[32] 5:48	off so only post the question once and finally if it happens to be about a
[33] 5:55	verse in the Bible or an ancient language I need a little context in the case of a Bible verse just give me the
[34] 6:01	uh chapter uh um book book chapter and verse if it
[35] 6:07	happens to concern in ancient language tell me what language you think it's in and what do you think it means so I
[36] 6:13	don't have to scramble around guessing okay so with that said let's get into
[37] 6:19	the questions we are going to start the night with three non-super chats
[38] 6:26	okay our first non-super chat here is from bonbon
[39] 6:32	and he asks in the 30th Dynasty and onwards why did
[40] 6:38	ISIS you don't need to star that out it's just ISIS come on
[41] 6:43	become so popular even more than Osiris among both Egyptians and later ptolemes
[42] 6:50	as opposed to some other deity what made her so special uh
[43] 6:57	well we have to understand it wasn't just Isis and Osiris it was also Horus as well
[44] 7:04	the the abados Triad was
[45] 7:11	um was always a very popular Mortuary cult now in the abados uh Triad
[46] 7:19	and this is these are the three main Gods of the funerary called adobeitus
[47] 7:25	which are is Osiris Isis and Horus particularly Horus the Avenger
[48] 7:32	now horse had his own role in sort of the mythology of Egypt s say the god of
[49] 7:38	Kings and Isis
[50] 7:44	Osiris was the was the king of the dead he was the king
[51] 7:50	of the Dead he was the god that after you died you know
[52] 7:55	basically stop the decay of your body and gave you
[53] 8:01	apotheosis in the afterlife but isis's role is a little different
[54] 8:09	she was the one who gave Osiris his power to basically reconstitute himself
[55] 8:16	in the in the next world without Isis there would have been no Osiris essentially she was the one
[56] 8:23	responsible it was her power that gave Osiris his
[57] 8:29	power and while her role was more diminished
[58] 8:35	early on in the Osiris cult later on it was seen as
[59] 8:43	um the essence of Osiris's power
[60] 8:48	so it's very very much that in say the 30th
[61] 8:54	Dynasty and onward people started recognizing that in the myth
[62] 8:59	Osiris is much more of a passive agent than he is an active agent you know Osiris is not responsible for
[63] 9:05	his own Resurrection Osiris has no agency once he was chopped
[64] 9:10	up and spread out all over Egypt he had no agency at all he was
[65] 9:18	dead I mean really really dead it's only because of Isis that the
[66] 9:25	pieces get collected back together so with thread and needle
[67] 9:31	she reanimates the corpse to copulate with it and that reanimation results in his
[68] 9:39	transformation in the realm of the Dead
[69] 9:45	so with that said that's the reason why she
[70] 9:51	becomes much much more of a popular figure because she's the one with all the power
[71] 9:56	foreign thank you very much for this the
[72] 10:01	question very very much appreciate it and um
[73] 10:07	um I hope that answered the question
[74] 10:14	okay you gonna answer him
[75] 10:19	all right uh next on Super Chat here
[76] 10:26	is from Wolf and he asked the question why is David a man after God's Own Heart
[77] 10:32	oh this is an interesting question um acts 13 22.
[78] 10:39	when he was a polygamous stealing other men's women right and left yes he did uh for example second Samuel 3 14 to 16
[79] 10:46	second Samuel 11 second Samuel 5 13. okay
[80] 10:54	here's how it works okay a man after God's Own Heart that whole
[81] 11:01	phrase is an idiom okay and all idioms are based upon the idea
[82] 11:10	that um the words
[83] 11:17	separate don't give you the meaning of the idiom as a whole
[84] 11:24	so if you were to take a man after God's uh heart
[85] 11:30	it wouldn't exactly get you the meaning of the idiom okay
[86] 11:37	so yeah David is a man but what does it mean after God's Own
[87] 11:42	Heart well when you take the idiom in its
[88] 11:47	context it's more that whatever David desires ends up achieving God's goals
[89] 11:58	so that's the meaning of the idiom here yes David was a bit of a scumbag
[90] 12:05	he was a bad father he was a womanizer he was a murderer
[91] 12:11	okay but the idiom doesn't doesn't relate to any of that the idiom
[92] 12:18	relates to whatever uh David has set himself to do will achieve
[93] 12:27	God's result so this is one of those interesting things because of say
[94] 12:35	uh primary and secondary causes that sometimes
[95] 12:42	bad people achieve God's ends like for example God will commission
[96] 12:49	basically say to his counsel his Divine counsel yeah okay we need to lead this King
[97] 12:56	astray do we have any volunteers to let him do it to make him do it and some demon in the ranks will go yeah yeah I'd
[98] 13:03	love to do it let me do it please please so what happens is this demon goes down
[99] 13:12	gives the message to the prophet who prophesies falsely and it achieves God's end
[100] 13:25	so so this is what's happening here this is
[101] 13:31	exactly what's happening here is that it's not that David's such a nice guy it's not that David is so Godly it's
[102] 13:38	it's not even that that all these things are being approved of
[103] 13:45	and in fact there's certainly not if if anything these things are being exposed and is his acts are being shown to be
[104] 13:54	the the acts of a bad King not a bad person
[105] 14:00	but what it does show is whatever he did achieve God's ends
[106] 14:06	I hope that answers your question thank you very much for the question very very much appreciated and a fascinating
[107] 14:12	question okay our third non-super chat here
[108] 14:19	is from uh let me explain followers of the shepherd and he asks
[109] 14:25	in one of your lives you had said live so that's an ambiguous thing it was that
[110] 14:31	live stream we're past lives uh not that I believe in reincarnation but could be taken that way
