[0] 0:00	[Music] foreign
[1] 0:10	[Music]
[2] 0:32	[Music]
[3] 0:39	[Music]
[4] 0:53	[Music]
[5] 1:16	foreign
[6] 1:34	[Music]
[7] 2:06	[Music] foreign [Music]
[8] 2:29	foreign [Music]
[9] 2:41	[Music]
[10] 3:00	[Music]
[11] 3:08	[Music]
[12] 3:22	[Music]
[13] 3:35	[Music]
[14] 3:41	foreign [Music]
[15] 4:26	foreign
[16] 4:32	[Music]
[17] 4:39	hello and welcome to this R 109th live stream a revised view of pseudoscience
[18] 4:47	[Laughter] of course this is a title that's um alluding to our last popcorn video where
[19] 4:55	we well examine the quality kick the tires on the views of Tennessee Griffith and
[20] 5:04	um his uh revised chronology now it did actually come on to the
[21] 5:10	comments section and uh responded of course I responded back
[22] 5:16	uh it was it was interesting it was very interesting okay
[23] 5:22	so like we do every Friday night and we're happy you joined us we are going
[24] 5:27	to take your questions on Ancient Egypt in the Bible now for those of you who don't know or haven't been here before
[25] 5:33	the um the format is the same as most uh
[26] 5:38	YouTube live streams where we you know uh super chess have priority nothing
[27] 5:43	special there but we also take non-super chat questions as well and for those we ask you put a q and a
[28] 5:50	colon in front of the question so I know that it's directed at me personally not to someone else on the live chat
[29] 5:56	we also ask that uh you only post the question once if I see multiple posts of
[30] 6:02	the same question I'll just refuse to answer both if it's a word in the Bible
[31] 6:09	or has to do with some verse in the Bible or a foreign word we ask that you give a little context so for uh Bible
[32] 6:17	verse I need the book of the Bible chapter and verse and for foreign word you need to let me
[33] 6:23	know what you think the what the language is what you think it means in the language just to give me a little
[34] 6:28	context to your question okay that said let's get into the questions
[35] 6:37	now we don't have a lot of super starting tonight with a lot of super chats and a lot of uh non-super chat
[36] 6:43	questions even though Bonbon put in 15.
[37] 6:55	three okay so our first uh question of the night is
[38] 7:02	okay is from Bonbon it's good to see you here tonight bonbon
[39] 7:08	uh did Egyptians during the late period learn to speak Greek how they communicate with foreigners and
[40] 7:15	coordinate with them regarding Intel trade armies Etc when they didn't speak the Foreigner's tongue okay that's a
[41] 7:22	great question actually and they did interact with them in Greek
[42] 7:27	now how they did this was the scribes essentially their scribes learned Greek
[43] 7:34	because one of the things the Egyptians did you do is use Greek Mercenaries
[44] 7:40	and when they use the mercenaries they'd pay them in Greek coinage which they minted in Egypt
[45] 7:47	but they also spoke to them in Greek they were the these mercenaries were not expected to learn Egyptian
[46] 7:53	and they would just essentially use the scribes as intermediaries now the scribal training in Egypt already
[47] 7:59	involved multiple languages scribes in ancient Egypt were
[48] 8:05	accomplished in several diplomatic tongues most commonly at the beginning
[49] 8:10	it would be like Egyptian the various forms of Egyptian
[50] 8:16	but also Acadian so they would send out diplomatic course
[51] 8:22	discourse in Acadian that was the lingua Franca at the time of say the late Bronze Age now later on
[52] 8:30	the Iron Age they would replace the Acadian with Aramaic
[53] 8:36	because that too eventually became a link with Franca now when it came to the late period They
[54] 8:43	just added Greek to that scribal training so they were accomplished linguists they
[55] 8:52	were very very accomplished linguists so they were able to interact in many languages but usually through these
[56] 8:58	people who were dedicated to learn the language and to be able to communicate in it
[57] 9:05	so that's how they got about it so so the commanders of the armies and the King himself would would
[58] 9:10	communicate in usually Egyptian uh because they didn't go through the extra
[59] 9:15	rigorous training even if they went through the cough but their scribes they would then do the
[60] 9:21	translations and then basically respond in the native language a lot of the diplomats for ancient Egypt
[61] 9:27	2 came out of that scribal class as well so and that's that's how they were they
[62] 9:33	were able to be effective diplomats is they could learn foreign languages and go off to other countries to represent
[63] 9:39	Egypt so anyway I hope that answers your question thank you very much for the
[64] 9:44	question very much appreciate it
[65] 9:51	okay the next one here is also from bonbon
[66] 9:56	and he asks why did Minoans import so much their culture from ancient Egypt because it was cool
[67] 10:04	essentially that's why I mean that's why that's why
[68] 10:10	we had the um The Craze of say egyptomania in the
[69] 10:16	17th and 18th centuries was because Napoleon went over to
[70] 10:23	or the 18th and 19th centuries because Napoleon went over to Egypt and they found cool stuff there
[71] 10:30	and they brought it back to France and later on the British did the same thing you know after
[72] 10:36	um you know defeating them in denial you know they also took stuff from Egypt and
[73] 10:41	sent back to London and and it's it's and it's the same thing was the same thing with minoan culture
[74] 10:48	you know uh Minoans had to import certain items you know that they needed for their you know
[75] 10:55	day-to-day needs like papyrus like uh grains
[76] 11:01	um like caught well not so much cotton but um flax flax
[77] 11:07	so linen so Egypt offered a lot of trade goods a
[78] 11:12	lot of trade goods and many of those trade goods had their uses abroad
[79] 11:18	so as the Minoans are trading with the Egyptians they're also bringing back
[80] 11:24	pieces of culture scarabs um mirrors
[81] 11:29	you know like the hathor mirrors um little Trinkets and Idols that sort
[82] 11:35	of thing but it was because it was cool it was because it was interesting because it
[83] 11:40	had some value to make their lives better so anyway
[84] 11:46	thank you very much for the question very much appreciate it I mean it's a simple kind of a simple answer but
[85] 11:51	it's really what it was was because it was a very interesting culture and they
[86] 11:56	wanted to import that that interest back into their own
[87] 12:01	okay uh question number three is from here comes nobody
[88] 12:10	he asks seeing how historians handle ancient sources these days with the
[89] 12:15	discovery of a full Mass manuscript of manitho or
[90] 12:21	um ferocious significantly alter historiographical perceptions of Egypt
[91] 12:26	or Mesopotamia that's
[92] 12:33	probably not so much now in both cases what we have is manitho and brosis preserved in the
[93] 12:42	writings of other people so having those writings from an
[94] 12:48	original full manuscript Source you know that's not been inserted into another document
[95] 12:54	would give us some clue as to what the original would have probably meant now
[96] 12:59	wouldn't give us Ironclad proof but to give us some idea like for example I mean it could tell us
[97] 13:06	for like like one of the big controversies in manatho uh hovers Around The Exodus you know who is the
[98] 13:13	king uh during The Exodus you know the various sources of manatho give four
[99] 13:19	different possibilities for The Exodus King with a fifth possibility that it's not
[100] 13:25	in there at all that it was added by those writers who imported manitho
[101] 13:31	so having a copy of manitho you know would at least give evidence
[102] 13:39	for one of those views or it was a really wonky copy it could give
[103] 13:46	us like even a six possibility if we so there's that possibility too can't rule
[104] 13:52	that one out but it would give us a lot more to sort of go on
[105] 13:57	and I would love to see I would love to see a another a full Egyptian copy of
[106] 14:04	manitho whether it's in the Coptic or Egyptian itself we wouldn't know but I'd like to see a full native copy
[107] 14:12	not one that's been used by a Jewish or a Christian writer to support their
[108] 14:18	particular case so anyway thank you very much for the
[109] 14:25	question and I hope that helped okay now we've gone on to the super chats and
[110] 14:32	we don't have very very many tonight so it might be a short night maybe I get to go to bed early oh boy that'd be a treat
[111] 14:37	I've had what three hours of sleep today yeah three hours of sleep today
[112] 14:43	okay so our first one is from Addison Weir
[113] 14:51	and he says for 4.99 thank you very much for the Super Chat it's good to see you here tonight we missed you last week we
[114] 14:57	actually put out a we actually was given a giveaway of a free question to Addison at the end of the night last last time
[115] 15:04	and you weren't there you missed the offer [Laughter]
[116] 15:10	but we are glad you're back and uh full of uh troublemaking questions
[117] 15:18	like this one just to get you in trouble he says thoughts on Catholicism
[118] 15:25	hmm [Music]
[119] 15:30	I think they're Brothers in Jesus Christ okay now let me expand upon that
[120] 15:39	I think they hold to the essentials of the Christian faith I think they are fully Christian
[121] 15:46	I consider them brothers in Jesus Christ I don't always agree with the theology
[122] 15:53	but then again too I don't agree with the Theology of completely of any church
[123] 15:59	at all so I mean I'm always going to take matters of theological distinction and
[124] 16:06	difference on a case-by-case basis I'm going to evaluate those doctrines according to what the Bible says
[125] 16:14	so I'm always going to go back to the evidence I don't go according to tradition
[126] 16:19	anyone's tradition I'm not traditional so I'm an evidentialist
[127] 16:25	so that's the weirdest thing emphasize the differences
[128] 16:31	um that's not a question
[129] 16:39	[Laughter] well
[130] 16:45	there's no cue in front of that question I I see I can I can Wiggle all that one
[131] 16:51	he has he hasn't he had dark blade has not a formed conformed to the uh uh to
[132] 16:58	the to the forms of righteousness cute
[133] 17:05	Your Rod yes you put a q in there but then I go then again I can wiggle out of
[134] 17:10	that one too by saying I don't have to take a non-super chat so foreign
[135] 17:15	there's a lot of ways I can wiggle out of this one
[136] 17:24	it's raining um I don't know about that
[137] 17:36	[Laughter] uh but yeah and in all seriousness you know I do have theological differences
[138] 17:42	with Catholicism but I also have theological differences with the Eastern Orthodoxy protestantism uh
[139] 17:48	fundamentalism community churches you name it I'll have a theological difference with them you
[140] 17:54	know that's that's but to say it to point out the differences is is an unfortunately a too
[141] 18:01	broad of a question anyway okay there are some distinctions of Roman
[142] 18:08	Catholicism okay and you know such as you know priests can't
[143] 18:13	marry okay you know that's a that's a well-known distinction of Catholicism
[144] 18:19	but there's exceptions to that too you know if you were a Lutheran Minister
[145] 18:24	who converted to Roman Catholicism and you were married you can keep your wife
[146] 18:29	in some places in the Middle East where a priest doesn't have Community standing
[147] 18:34	unless they're married they are given special dispensation to Mary
[148] 18:39	so there are some different there are some theological differences but there's also some exceptions too
[149] 18:47	um and thoughts within Roman Catholicism can be all over the board on these subjects
[150] 18:53	so you can while you can talk about the official teachings of the church you have I mean it's all system's really
[151] 19:00	a big tent it's really a big tent I mean you've got I mean you've got
[152] 19:07	um highly conservative fourth person of the Trinity kind of Catholic
[153] 19:13	traditionalists you get um papists
[154] 19:19	you get German lutherans you get anglicans uh you get secularists I mean there are
[155] 19:28	atheists who are inside the Catholic church I mean a lot of them
[156] 19:33	so yeah very high up in the ranks very high up in the ranks
[157] 19:38	so you know because the Roman Catholicism can be all over the map
[158] 19:44	so when I when I do talk to it um uh Roman Catholic I never
[159] 19:50	I never assume I know what they believe because it can be as I said it can be all over the map now
[160] 19:57	I'll also say too that there are people who have found meaning and purpose within the Catholic Church
[161] 20:05	um an example of which is SJ Thompson
[162] 20:10	now I want to give a shout out to her I think she's got a good Channel I like her Channel
[163] 20:15	um so I want to give us a shout out to SJ here and she's found meaning within the Roman
[164] 20:22	Catholic faith and I'm I think that's fantastic I think it's absolutely fantastic
[165] 20:28	so we always have to understand too that you know churches
[166] 20:33	are not always for a lifetime sometimes they're for a season and you don't know what that season is
[167] 20:41	so I'm never I'm not going to judge somebody who decides to become a Roman Catholic even if I do and I'm not saying
[168] 20:47	I do um disagree with a large part of the theology
[169] 20:54	but if you find meaning in there it's a perfectly acceptable option to uh in in
[170] 21:00	spectrum of the queer Christian faith now I have some as I say I do have some
[171] 21:06	theological bones to pick with them but hey I got theological bones to pick with everyone so anyway thank you very much
[172] 21:12	for the Super Chat very very much appreciate it
[173] 21:18	okay the next one here is from asson We're for 4.99 thank you
[174] 21:24	very much for the Super Chat hmm are there any early date proponents
[175] 21:31	that you actually like whether it's a scholar or a person
[176] 21:38	there are there are um
