[0] 0:00	[Music] foreign
[1] 0:15	[Music]
[2] 0:22	[Music]
[3] 0:37	[Music]
[4] 0:58	[Music]
[5] 1:20	[Music]
[6] 1:25	foreign [Music]
[7] 2:00	[Music]
[8] 2:36	foreign [Music]
[9] 2:58	[Music]
[10] 3:08	[Music]
[11] 3:27	[Music]
[12] 3:34	[Music]
[13] 3:48	[Music] all right
[14] 4:10	[Music]
[15] 4:17	[Music]
[16] 4:36	[Music]
[17] 4:43	[Music]
[18] 5:03	foreign
[19] 5:09	[Music]
[20] 5:40	hello and welcome to this our 112th live stream questions are the reward this is of
[21] 5:47	course a play on our Monday video which has to do with rewards in heaven and if
[22] 5:53	you haven't seen that uh video please do so after the live stream and if you
[23] 5:58	haven't already please consider subscribing to the channel so you don't miss any of our content
[24] 6:03	okay this is our weekly live stream where we take your questions on Ancient Egypt and the Bible
[25] 6:09	and various other sort of um odd topics
[26] 6:17	uh we do take both super chess and non-super chats in fact we usually start
[27] 6:22	our live stream with a small number of of non-super chats and end our live stream with non-super chats so
[28] 6:29	if you want to leave a question to me and super chess have priority so this is
[29] 6:35	like on any YouTube channel if you want to leave a non-super chat we asked to put a q and a colon in front of
[30] 6:42	the question so I know it's being directed to me we also ask that you only post the question once because I scan
[31] 6:49	through the live chat and IQ off of other people's questions so if you post a question more than once it
[32] 6:57	throws me off like you wouldn't believe so we don't take questions that I posted
[33] 7:02	more than once also we we ask if the question has to do with
[34] 7:08	uh a Bible verse or an ancient language please give me a little context like for
[35] 7:13	a Bible verse we ask that you put the uh what book it's from what uh chapter and
[36] 7:19	what verse number and for a foreign word we ask that you put uh what language do you think it's in
[37] 7:26	and what you think it means this just cuts down on me having to hunt all right so that said let's get into
[38] 7:34	the questions okay and I did not prep the questions today so this is going to take a moment
[39] 7:42	just a second here ready
[40] 7:53	we're gonna start the night with five non-super chats and then we're gonna get into the Super chats
[41] 8:00	okay our first question of the night
[42] 8:06	is from darkblade and he asks was Mordecai made a eunuch
[43] 8:14	when he entered a hashirosha service around Esther eight nine if so would he
[44] 8:20	have been affected less than other eunuchs since he would have been made or went around age 50 according to my calculations oh yeah he would have
[45] 8:27	definitely been in his 50s maybe even his early 60s so
[46] 8:33	um let's bring up the Bible passage and take a look
[47] 8:38	okay no more units no more Unix this week please
[48] 8:45	[Laughter] yeah that was
[49] 8:51	um a little disturbing I'll admit
[50] 8:58	um hey but you found it educational right [Laughter]
[51] 9:06	all right so we're gonna go to um
[52] 9:13	Esther
[53] 9:19	Esther and it is eight and verse 9.
[54] 9:30	okay so the king scribes recalled at the time in the third month that is the month of
[55] 9:36	Sivan on the 23rd day and it was written according to all that Mordecai commanded
[56] 9:41	to the Jews the satraps the governors let's see these are a little more any more context okay
[57] 9:48	all right verse seven so King ahasha rosh said to
[58] 9:55	Queen Esther and to Mordecai the Jew behold I have given the house of Haman to Esther
[59] 10:00	and him they have hung hanged on The Gallows because he stretched out his hands against the Jews now you write to
[60] 10:08	the Jews as you see fit in the king's name and seal it with the king's Signet ring for effort Cree which is to be
[61] 10:15	written in the Name of the King and sealed with the king's Signet may not be revoked
[62] 10:21	so the king scribes are called at the time in the third month that is the month Sivan on the 23rd day and it was
[63] 10:28	written according to all that Mordecai commanded to the Jews the satraps the governors and the princes of the
[64] 10:33	provinces which extend from Ethiopia to India to Ethiopia
[65] 10:39	127 provinces to every Province according to its script and every people
[66] 10:45	according to their language as well as the Jews according to their script and their language
[67] 10:51	verse 10 and he wrote In The Name of the King who name of King ahasha rosh and sealed it
[68] 10:58	with the king's Signet ring and sent Letters by Courier on horses riding on steeds sired by the royal stud okay
[69] 11:06	now we've got to be clear on something here he has not actually entered into the
[70] 11:13	king service okay so he hasn't become an administrator this is a temporary one-off
[71] 11:21	okay he's basically been the King has basically said okay you do to the house
[72] 11:26	of Haman and if in case you're not aware of the story of Esther basically hey man the agagite
[73] 11:35	um probably related to the amalekites decided to wipe out the Jews in
[74] 11:42	um uh in Susa and he constructs his Gallow to hang the
[75] 11:48	Jews well Esther basically you know goes to King
[76] 11:56	and says hey all right uh you know we're in danger you know you know I'm I'm being threatened with
[77] 12:03	with being killed by by this guy Heyman so the King has made his decree
