[0] 0:00	[Music] foreign
[1] 0:10	[Music]
[2] 0:17	[Music]
[3] 0:29	[Music]
[4] 0:54	[Music]
[5] 0:59	foreign
[6] 1:13	foreign [Music]
[7] 1:25	[Music]
[8] 1:51	[Music]
[9] 2:05	[Music]
[10] 2:27	foreign
[11] 2:49	[Music]
[12] 2:57	[Music]
[13] 3:29	[Music]
[14] 3:49	foreign [Music]
[15] 4:34	foreign
[16] 4:40	[Music]
[17] 4:50	15th live stream the magic of a good question
[18] 4:58	and that's what our live streams are all about which is taking your questions on Ancient Egypt and the Bible
[19] 5:05	now the title of course refers to our Monday video which is on Magic in the
[20] 5:11	ancient near East and if you haven't seen it please after live stream do go and view it
[21] 5:17	now um
[22] 5:22	a little disclaimer the technical crew tonight has been hit
[23] 5:28	hard for the flu both myself and my producer have are
[24] 5:33	right now recovering from the flu so we are um a lot of sorts
[25] 5:46	uh we're we're we are both on um
[26] 5:51	how do I say this uh decongestants uh
[27] 5:56	whatever we need to get through this live stream so
[28] 6:02	You're Gonna Hear Snuffles You're Gonna Hear coughs you're gonna hear all sorts of of of stuff that we wouldn't normally
[29] 6:10	have on a live stream
[30] 6:15	um so bear with us okay we're doing our best
[31] 6:21	we're doing our best to still be with you here tonight and not under a bunch
[32] 6:26	of quilts just sort of shivering and uh [Laughter]
[33] 6:36	damn well says you got this well well we got the flu that we got we got
[34] 6:42	that in spades
[35] 6:47	however we still wouldn't miss this for the world um
[36] 6:54	is Mr ecl right though oh yeah he'll he's always fine
[37] 7:01	Mr EC never never misses a beat you know
[38] 7:09	hey look I'm surprised Mr EC didn't just check out and go on a world tour okay
[39] 7:21	hmm but we're gonna do our best to do the live stream okay
[40] 7:29	now in my case I am still suffering some from some bronchitis
[41] 7:34	in the case of my producer she's still in the full
[42] 7:39	the full glory of the flu
[43] 7:44	[Laughter] as in we're you should have him he's
[44] 7:50	talking about Mr you see do the live stream well thank you Addison for that
[45] 7:55	helpful suggestion [Laughter]
[46] 8:01	so I've got my coffee I'm doing my best here uh got a whole keriff of water here
[47] 8:07	and we're going to oh we didn't let the bunny out okay the bunny's protesting
[48] 8:16	yeah so anyway
[49] 8:21	the rules are the same as always a lot uh super chess have priorities you all know that at least you should if
