[0] 0:00	all right [Music]
[1] 0:30	[Music]
[2] 0:45	[Music]
[3] 1:17	foreign [Music]
[4] 1:26	[Music]
[5] 2:01	[Music]
[6] 2:13	[Music]
[7] 2:22	[Music]
[8] 2:31	foreign [Music]
[9] 2:52	[Music]
[10] 2:59	[Music]
[11] 3:21	thank you
[12] 3:35	[Music] foreign
[13] 3:56	[Music]
[14] 4:20	[Music]
[15] 4:29	[Music]
[16] 4:37	[Music]
[17] 4:50	foreign [Music]
[18] 4:58	[Music]
[19] 5:35	foreign
[20] 5:42	[Music]
[21] 5:50	number 123 biblical archeology the game any clown can play
[22] 5:57	so this is of course referring to our last popcorn review and if you have not
[23] 6:02	seen it go and check it out where we uh popcorn review Titus Kennedy's take on
[24] 6:08	Jericho so the rules here are the same as always which is that super chats have priority
[25] 6:17	everyone who does YouTube should know that if but we also take questions that are
[26] 6:23	non-super chats so if you want to address a question directly to me we ask that you put your
[27] 6:31	um a cue and a colon in front of the question so I know that's directed at me we also ask that you only post the
[28] 6:38	question once duplicate questions will be deleted
[29] 6:43	just not answered and finally if it has to do with a verse
[30] 6:49	in the Bible or a foreign word we ask that you give us a little context in the case of something from the Bible
[31] 6:56	we ask that you give us the book it comes from the chapter in the verse in case of a foreign language we
[32] 7:03	also ask that you may uh we also that you put what you think it means and what language you think it's from so that way
[33] 7:10	we're just not scrambling around trying to figure out what you're trying to get at so with that said let's get into the
[34] 7:16	questions okay uh we didn't have a lot of pre-super
[35] 7:24	chat questions this time but so we're going to start off with just one this time
[36] 7:30	so hmm non-super Jets yeah sorry
[37] 7:37	okay the first question of the night here goes to darkblade
[38] 7:44	and he asks would it have been offensive to call pharaoh and nejis
[39] 7:50	meaning ordinary man the D underline in the conventional transliterations produced like an English J yeah it's
[40] 7:58	it's the Chima so it would be pronounced nedges
[41] 8:03	now it would be very insulting to call the Pharaoh and edges because the net just
[42] 8:10	doesn't exactly mean ordinary man it means a child
[43] 8:20	the the word that um means an ordinary man is an a jet
[44] 8:30	um so it's a different word close you're very close but
[45] 8:38	either one would be insulting but calling the king and neges would be a
[46] 8:43	little just a little more insulting okay
[47] 8:52	you young punk
[48] 9:00	that would be good times good times
[49] 9:13	so anyway that should answer your question yes being insulting but not for the reason you think it is
[50] 9:21	anyway thank you very much for the question very much appreciate it
[51] 9:28	okay and so we're now right into the Super chats uh the first Super Chat here comes from
[52] 9:36	in Japanese Kon Rafi for ten dollars thank you very much for the Super Chat
[53] 9:41	and he says I've had a long internal battle with satiriology you're not the only one
[54] 9:48	the extreme view of new Calvinism has led me to reject it from last week's
[55] 9:53	stream it seems there's a more moderate approach but how can I learn it okay very simple
[56] 9:59	read Calvin read Calvin
[57] 10:05	don't only read his institutes though and yes these institutes are lighting feet but read his other material too
[58] 10:11	he's he wrote a lot you know read his commentaries you know read his his I mean get into the mind of
[59] 10:19	the man read all that he wrote so you can understand how he thought
[60] 10:25	and if you do that you'll probably end up with a lot more moderate view of of
[61] 10:31	Calvinism then what would be the result of say the new Calvinism
[62] 10:37	which in many ways can be very extreme and extreme leading to fatalism it's
[63] 10:43	it's not good where the trajectory that Calvinism has taken
[64] 10:50	but that's that's how you do it you read Calvin himself read the man himself
[65] 10:56	a lot of his stuff has been translated into English um he's a very good writer he's a very
[66] 11:02	good writer he's he's not bombastic like Luther or vulgar like loser
[67] 11:08	Luther could be very vulgar uh
[68] 11:15	but Calvin is a very good writer he's a very good writer so it's it's a shame that more people aren't reading him
[69] 11:20	anyway because he's whites well he writes clearly he he articulates his thoughts
[70] 11:28	exception exceptionally nuanced so
[71] 11:33	so yeah absolutely this is what I would recommend is to read the man himself read the man himself get his take on
[72] 11:42	what he believes no it's it doesn't get better than going to the source
[73] 11:47	so and I I hope that helps thank you very much for the Super Chat very much appreciate and that's the best way you
[74] 11:52	could do
[75] 11:59	okay uh the next Super Chat here comes from 501 Mobius for ten dollars thank you for
[76] 12:05	the Super Chat Genesis 14 14 Abraham pursued the army
[77] 12:11	of the Four Kings as far as Dan this was before the traffic down existed yes
[78] 12:18	could this be the land of denuna mentioned in the model level or EA
[79] 12:23	elimarna 151 in the vicinity of Tyran sidon highly likely all right let's let's take
[80] 12:31	a look at that passage let's bring up Genesis 14 here
[81] 12:36	and
[82] 12:43	14. go down to the pursuit here which is
[83] 12:52	all right
[84] 13:02	okay Genesis 14 14. and when Abram heard that his relative
[85] 13:08	had been taken captive he let out his trained men born in his house 318 and
[86] 13:15	went in to Pursuit as far as Dan and he divided his forces against them
[87] 13:21	by night and his serpents and he defeated him and pursued them as far as hoba which is north of Damascus
[88] 13:29	all right now the tribal uh basically the city of Dan
[89] 13:37	which is Samaria is south of Damascus
[90] 13:42	quite a bit south of Damascus so if he's pursuing him as far as Dan
[91] 13:51	this can't be the same Dan as either the tribal allocation
[92] 13:56	of the tribe of Dan or the city of Dan which is Samaria
[93] 14:03	this has to be something else so given that this is going to be north
[94] 14:08	of Damascus it's highly likely that it's it's the denian or what's called in the
[95] 14:15	amount of letters that denuna so that's that is actually a very very
[96] 14:22	that's that's where I what I would do is I would peg this to that neo-hittite
[97] 14:28	Kingdom of the denyen so anyway I think you're on the right track here I think that's a good
[98] 14:34	identification I would definitely State I would definitely posit that the Dan and
[99] 14:43	Genesis 14 14 is that ignore that that
[100] 14:48	Kingdom of of danyan which is in the vicinity of Tyran Simon
