[0] 0:00	all right
[1] 0:19	[Music]
[2] 0:42	[Music]
[3] 1:15	[Music] foreign
[4] 1:22	[Music]
[5] 1:55	[Music]
[6] 2:09	[Music]
[7] 2:18	[Music]
[8] 2:30	foreign [Music]
[9] 2:55	[Music]
[10] 3:02	[Music]
[11] 3:09	[Music]
[12] 3:35	foreign
[13] 3:46	[Music] foreign
[14] 3:53	[Music]
[15] 4:27	[Music]
[16] 4:33	[Music]
[17] 5:01	foreign [Music]
[18] 5:39	foreign
[19] 5:44	[Music]
[20] 5:52	hello and welcome to this r126 live stream Apocalypse of the sock puppets
[21] 5:59	[Laughter] of course this is our reference to our Monday video where we started a new
[22] 6:05	series on the Book of Revelation so uh if you're not into the Apocalypse of
[23] 6:13	uh sock puppets and you want real apocalypse you can always go look at that so anyway
[24] 6:20	uh just a little bit of housekeeping before we begin um I am suffering a bit from a head cold
[25] 6:25	right now so um we're gonna work this we're gonna fight this thing through and uh
[26] 6:32	do what we do every week here which is answer your questions on Ancient Egypt and the Bible okay
[27] 6:38	so if you've never been here before the rules are the same as always every week's the same as far as the rules
[28] 6:44	which is super chats have priority this is stand across all YouTube platforms
[29] 6:50	okay the second thing is that if you
[30] 6:55	ask a non-super chat question which we do take non-super chat questions we ask that you put a q and a colon at the
[31] 7:02	beginning of the question so I know that it's earmarked for me so if you want to put in your salutation
[32] 7:08	hi Dr Phil put it after the queuing colon so I can actually see it so
[33] 7:13	uh also no question spamming so don't repeat your questions
[34] 7:19	just put in once there's no guarantee we will take non-super chats
[35] 7:26	but if it's an interesting question and I think it's worth well it's more than likely than not that we'll we'll take it
[36] 7:32	and answer it because I love interesting questions and finally if it has to do with a uh
[37] 7:39	passage of the Bible or a forward give me some context so in the case of something from the Bible I
[38] 7:45	will need the book and the chapter and the verse and if you leave that out
[39] 7:52	yeah there your question might be ambiguous enough that I now don't understand the context of it so I need
[40] 7:58	that so I can answer your question directly in the case of a forward tell me what language you think is it's in
[41] 8:04	and what you think the word means again that helps narrow it things down and
[42] 8:09	this is especially true on homonymic languages like Egyptian
[43] 8:16	one word can have sound alike across
[44] 8:22	a dozen different meanings so if you don't tell me what you think it means I can't address your question
[45] 8:27	directly so anyway with that said let's get into the questions
[46] 8:35	so we're going to start the night here with a couple of non-super chats uh let's see here what we'll start with
[47] 8:43	we'll start with this delicate question from let me explain followers of the
[48] 8:49	shepherd to get mikal David was requested to get four skins
[49] 8:56	is there some sort of context we miss when reading this first Samuel 18 27.
[50] 9:01	okay let's pull up a Bible here
[51] 9:07	first Samuel 18. and we'll actually start at verse 25.
[52] 9:15	Sultan said thus you shall say to David the king does not desire any Dowry
[53] 9:20	except a hundred foreskins of the Philistines to take Vengeance on the king's enemies
[54] 9:27	now Saul planned to make David Fall by the hand of the Philistines when his servants told David these words
[55] 9:36	it pleased David to become the king's son-in-law before the days had expired David Rose
[56] 9:42	up and went he and his men and struck down 200 men among the Philistines
[57] 9:48	then David brought their foreskins and gave them in full number to the king that he might become the king's
[58] 9:53	son-in-law so Saul gave him Mikel his daughter for a wife okay
[59] 10:00	uh here's what's going on okay
[60] 10:06	this is proof of fatality essentially proof that
[61] 10:12	um David did the deed essentially killed the requisite number of Philistines
[62] 10:19	and this is because men have only one of those items if they have not been
[63] 10:25	circumcised now this is actually fairly normal practice
[64] 10:33	not so much with foreskins but uh most ancient near Eastern armies when they
[65] 10:39	went to war they would collect something that a body
[66] 10:45	part to keep count so at the end of the day you would have a pile of these body parts
[67] 10:52	that would then be used to tally the how how how much damage you flicked it on
[68] 10:58	the other side in the case of the Egyptians they preferred the right hand
[69] 11:04	and the reason why they did that was because they were Egyptians were circumcised so they didn't have four
[70] 11:11	skins but they would take a right hand from all the dead so we do have examples of this in
[71] 11:20	um say Egyptian reliefs where there's this pile of hands and some scribe is
[72] 11:26	going through and counting all the right hands of course making sure that nobody slipped in our left hand
[73] 11:37	everyone has just one right hand but the left hand is not a right hand
[74] 11:42	so yeah Danny DeMent says Genghis Khan loved him some sack of ears yeah
[75] 11:50	yeah this is this is just this is just normal practice and the Philistines didn't weren't a nation that circumcised
[76] 11:57	themselves so that was the part of choice for
[77] 12:03	um for the Israelites it was also to be honest um
[78] 12:09	easier to to transport than a big old pile of hands so
[79] 12:14	uh so that's the context here this is a
[80] 12:20	very very normal for ancient near Eastern armies of of all Persuasions you know all across the ancient Greece
[81] 12:25	that's how they sort of tallied the Dead was using a body part that there was only one of so anyway I hope that helped
[82] 12:33	thank you very much for the question very much appreciated
[83] 12:40	okay uh see another one here I'll take another one
[84] 12:53	uh take uh Matthew uh uh Escobedo here
[85] 13:00	and he says good evening Dr Falk it's middle of the night here so uh good
[86] 13:05	evening to you hope you're doing well you know got a head cold so we're we're struggling
[87] 13:12	uh question what is your opinion on the academic scholar John Walton's background in the Hebrew Bible near East
[88] 13:19	and or languages I think I think Walton is an excellent scholar I really like Walton's work I generally
[89] 13:25	agree with Walton's work um there's a few cases where I don't
[90] 13:31	agree with him but that's that's normal for any scholar you know every scholar is going to have their agreements and
[91] 13:37	disagreements um so
[92] 13:42	I think I think there's there's a lot that could be said here about
[93] 13:47	um like his his view on demons and his view on say the serpent in the garden I think
[94] 13:53	is wrong but you know that's for me that's a kind of a minor thing
[95] 14:00	uh but I do agree with his contextualization of of the um early
[96] 14:08	books of the Bible I think they're um they're definitely closer to what I
[97] 14:14	would surmise so I'm a big fan of Walton I like his
[98] 14:20	work I like his work a lot so anyway I hope that answers your question thank you very much for the
[99] 14:25	question very much appreciate it
[100] 14:30	okay and then let's see here pick one
[101] 14:41	okay and we'll take this one from Brian Ryan Gosling Drive 2011.
[102] 14:46	as a Sci-Fi buff do you know of grand Emerald thrawn yes I do
[103] 14:52	and if so what are your thoughts on his return to Star Wars I have not seen a um
[104] 14:58	Ahsoka um uh I haven't heard good things about it
[105] 15:05	it sounded like really sort of kind of dumb
[106] 15:10	so it was just too bad because I was a big fan of the cartoon series I mean the animated series that had
[107] 15:17	um Star Wars anime series I thought was excellent I thought it was really good you know even though it was sort of
[108] 15:23	meant to to be a children's series I thought it was
[109] 15:28	really good Star Wars you know I think I think um throm is a great character
[110] 15:35	I think Ahsoka Tano is a great character I think they've been misused by um
[111] 15:43	like Disney Studios
[112] 15:49	um reported stolen says the thrawn book was amazing I believe that I absolutely
[113] 15:56	believe that it was a really good he's a really good character he's a really good character
[114] 16:02	so uh I like I like the character I think but I think the way they sort of
[115] 16:08	butchered him in Ahsoka Tano or in the Ahsoka you know series is just
[116] 16:15	ah it hasn't it hasn't given me a lot of incentive to go watch it essentially
[117] 16:21	so anyway uh that's my thought on this little
[118] 16:27	piece of sci-fi and uh I mean I generally am a Star Wars fan I like Star
[119] 16:33	Wars the new stuff though oh some of the new stuff is bad some of the new stuff is really cringy
[120] 16:39	uh you know basically Disney Studios taking your your childhood and just uh
[121] 16:45	destroying it just really destroying it
[122] 16:52	I mean I grew up in the Star Wars era so for me you know this is these these were
[123] 16:57	the stories I grew up on so
[124] 17:05	so with the writers strike now over they Disney can get back to ruining all your childhood
[125] 17:13	uh intellectual properties
[126] 17:20	okay so uh we're gonna stop with that a non-super chat and we're gonna go to the Super chats now
[127] 17:29	all right uh first uh Super Chat here is from algut Robinson for 50 squeeze Runners thank you very much for the
[128] 17:35	Super Chat Book of Judges 19 1-25 why did he Force
[129] 17:41	his two wives out what is the cultural context of the offering daughters to
[130] 17:46	protect the guest even lot did it okay great question uh
[131] 17:53	there's actually a lot in this passage we can get into I mean this is a complicated Passage
[132] 17:59	okay so let's bring up the Bible and let's read the passage
[133] 18:08	I'm gonna go here to [Music] judges
[134] 18:17	19. and
[135] 18:24	text reads now it came about in those days when there was no king in Israel and there
[136] 18:31	was a certain levite staying in a remote part of the Hill Country of Ephraim who took a concubine for himself from
[137] 18:38	Bethlehem in Judah but his concubine played the Harlot against him and she went away from him
[138] 18:45	to her father's house in Bethlehem in Judah and was there for a period of four
[139] 18:50	months then her husband arose and went backward
[140] 18:56	after her to speak tenderly to her in order to bring her back taking with him his servant and a pair of donkeys
[141] 19:03	so she brought him into her father's house when the girl's father saw him he was glad to meet him okay now there's a
[142] 19:10	reason he's the reason why there's a um
[143] 19:15	this is not this is not really a consensual relationship between the concubine and
[144] 19:23	the levite okay a concubine for those who don't know is
[145] 19:28	essentially a sexual slave he has been purchased
[146] 19:36	he has been purchased in order to Bear children or the levite
[147] 19:44	so um this is not a good start okay this is just not a good start to
[148] 19:51	how this thing is going to go out so so why was the father father glad to see
[149] 19:58	the levite in all likelihood what's going on here
[150] 20:03	is he sold the daughter to get out of debt
[151] 20:09	and the Levi paid the price that that got dad out of debt
[152] 20:14	in return she has to stay with his dirt bag
[153] 20:21	Okay so that's sort of the context of what's going on up to this point
[154] 20:28	and the faculty the the father's glad to see the levite because you know you never know when you can get more money
[155] 20:33	out of them he might have more daughters who knows you know if he ever gets into debt again
[156] 20:40	all he has to do is sell another daughter yeah yeah that real every everyone in
[157] 20:47	his in his picture is a big scumbag okay um
[158] 20:52	all right so uh verse four and his father-in-law the girl's father detained him and he remained with him three days
[159] 20:58	so they ate drank and Lodge there now I came about on the fourth day that they
[160] 21:04	got up early in the morning and he prepared to go and the girl's father said to his son-in-law yeah I'm really
[161] 21:09	the son-in-law here is kind of uh sustain yourself with a piece of bread
[162] 21:15	and afterward you may go so both of them sat ate and drank it together and the girl's father said to
[163] 21:21	the man please be willing to spend the night and let your heart be merry
[164] 21:26	so then the man grows up to go but his father-in-law urged him to spend the night there again
[165] 21:33	and on the fifth day because he's got a he's good now he's got a drinking buddy he's got a drinking buddy
[166] 21:39	on the fifth day he arose to go early in the morning and the girl's father said please sustain yourself and wait until
[167] 21:44	the afternoon so both of them ate verse 9. when the man arose to go along
[168] 21:51	with his concubine and servant his father-in-law the girl's father said to him now behold now the day has drawn to
[169] 21:59	a close please spend the night so he's the father and the father is keeping him in there he he's he's keeping there
[170] 22:08	then tomorrow you may arise early on your for your journey so you do that you may go home but the man was not willing
[171] 22:14	to spend the night so he rose and departed and came to the a place opposite of uh opposite jabus that is
[172] 22:21	Jerusalem that's that's one of the older names for Jerusalem well back when it was a jebusite city
[173] 22:27	and there with him there were with him a pair of saddled donkeys his concubine was also with him
[174] 22:35	okay and when they were near jayboos the day it was almost gone and the servant said to his master please come and let us
[175] 22:42	turn aside into the city uh to spend uh the city of the jebusites
[176] 22:47	and spend the night in it which would have actually been the best alternative here
[177] 22:54	however he's his master said to him okay so this is a male servant this is a male servant
[178] 23:00	he's a male slave he's got a female slave this is not an equal relationship by any
[179] 23:06	stretch of the imagination we will not turn aside into the city of foreigners who are not of the sons of
[180] 23:11	Israel but we will go as far as gibia and he said to his servant come let us
[181] 23:17	approach one of these places Okay so we'll just move down here a bit
[182] 23:23	you move the passage along
[183] 23:29	and he lodges in and he said to him we are passing from
[184] 23:35	Verse 18 Bethlehem in Judah to the normal part of the Hill Country of Ephraim for I am there and I went to
[185] 23:43	Bethlehem in Judah but I'm now going to my house and no man will take me into his house okay it's he's he's he's he's
[186] 23:50	it's late at night it's late at night he's knocking on people's doors asking
[187] 23:56	for lodging no one's taking him in because he's doing something incredibly rude
[188] 24:01	he should have had the forethought to to Lodge earlier
[189] 24:08	yeah this servant was correct they should have stopped at at Jerusalem but they didn't
[190] 24:13	because this guy is incredibly stubborn he's stubborn and selfish
[191] 24:19	just amazingly selfish
[192] 24:24	so um verse 19 yet there is both straw and
[193] 24:29	fodder for our donkeys and also Bread and Wine for me your your maid servant and the young man who is with your
[194] 24:35	servants okay there is no lack of anything the old man said peace to you only let me
[195] 24:41	take care of all your needs however do not spend the night in the open Square
[196] 24:47	so he took him into his house and gave the donkey's fodder and washed the feet and ate and drank
[197] 24:53	okay now in a house in a in a Israelite House people lived upstairs animals
[198] 24:59	lived downstairs so the animals were actually brought into the house
[199] 25:07	verse 23 then the man the owner of the house went out to them and said no oh sorry um verse 22. while they were
[200] 25:14	making Mary behold the men of the city certain worthless fellows
[201] 25:19	uh be men sons of emptiness is what it says around the house pounding on the door
[202] 25:26	and they spoke to the owner of the house and the old man saying bring out the man who came into your house that we may
[203] 25:32	have relations with him so they were going to rape him
[204] 25:38	then the man the owner of the house went out to them and said to them no my fellows please do not act so wickedly
[205] 25:45	since this man has come into my house do not commit this act to Folly
[206] 25:51	here is my virgin daughter and his concubine so he's giving him a two for
[207] 25:56	one please let me bring them out that you may ravish them and do to them whatever
[208] 26:02	you wish but do not commit such an act of folly against this man
[209] 26:09	but the man would not listen so the man see this is this is the levite here who's who's seizing his concubine okay
[210] 26:17	so this is the levite takes his concubine and brought her out to them
[211] 26:22	so in this particular case the uh homeowner's daughter spare but at
[212] 26:29	the expense of the concubine and they are her an abuse her all night
[213] 26:35	until morning and then let her go at the approach of dawn okay all right so
[214] 26:42	one of the sort of the we're dealing with here is a shame culture
[215] 26:48	this is a shame culture and shame culture is whatever people
[216] 26:53	think of you is what you are and in this shame culture
[217] 27:00	Hospitality which includes protection
[218] 27:05	if you can't provide that that brings unforgivable shame upon your house
[219] 27:13	so this is what both lot and this this
[220] 27:18	men are trying to do is they're trying to provide protection
[221] 27:24	they don't care about the concubine she's just a Slave that's really they don't care about her at all
[222] 27:30	but for the guest okay the guest is what what they're trying to protect here
[223] 27:38	though that's that's what's Happening Here is they're
[224] 27:44	they're doing this to and one of the things we should note about this too that you know that's
[225] 27:49	often is confusing in this passages the the the evil man here don't kill the
[226] 27:58	concubine they don't kill the concubine
[227] 28:03	the levite does because he has now been shamed
[228] 28:11	you know his cowardly Act of taking the concubine and throwing her out
[229] 28:18	combined with the evil men doing that to his property
[230] 28:25	has now created a source of Shame okay
[231] 28:31	so She's Not Dead when he finds her in the morning
[232] 28:37	it's unresponsive he's got post-traumatic stress disorder I want to the to the to the extent that
[233] 28:44	she's not able to even communicate uh this Dirtbag levite just takes her
[234] 28:50	throws her on a donkey and basically murders her
[235] 28:57	to cut her up and send pieces to all over Israel to get revenge for his shame
[236] 29:05	so that's what we're seeing here is the play out of a shame culture narrative so
[237] 29:13	that's what's happening in this passage is is we're seeing
[238] 29:18	dirtbags acting shamefully and being recognized for their shame
[239] 29:25	so
[240] 29:31	well Andrew Graham he's wasn't consensual really she had no consent in this
