[0] 0:03	and stream is
[1] 0:04	live
[2] 0:06	hello okay we're live here on our first
[3] 0:10	ever d game it's we had some technical
[4] 0:12	difficulties and uh a few people popping
[5] 0:16	in and out but hey uh we're here we're
[6] 0:19	live at uh the Evangelical theological
[7] 0:22	uh societies last day of the meetings
[8] 0:26	and uh we are doing the first ever
[9] 0:28	Dungeons and Dragons game
[10] 0:30	here on our Channel Egypt at the
[11] 0:34	Bible all the players now mwash are you
[12] 0:39	actually responding
[13] 0:41	yet nope we're gonna bounce you
[14] 0:48	out so he's gone so we got players
[15] 0:53	perished uh we have a f background no
[16] 0:56	all
[17] 0:58	right you can't
[18] 1:02	uh give me that's going to help
[19] 1:07	[Music]
[20] 1:18	it's oh great now they have to plug in a
[21] 1:21	cable that's that's
[22] 1:24	great should we be entertaining the the
[23] 1:27	audience at this point is that our job
[24] 1:29	now
[25] 1:30	uh yes that is technically our
[26] 1:33	job okay producer wanted to do this as
[27] 1:36	well
[28] 1:38	so and she's gonna be playing a
[29] 1:40	character called mie get on
[30] 1:45	there did you say
[31] 1:47	mie yeah she's playing
[32] 1:50	mer okay okay so uh for for for the
[33] 1:54	audience who has never done speed D&D
[34] 1:55	game this is how we do it we start the
[35] 1:58	timer and go for one hour and the way
[36] 2:02	this works is we use a limited set of
[37] 2:05	rules so it's a really stripped down set
[38] 2:07	of
[39] 2:08	rules and it's you be basically are
[40] 2:12	flying by the seat of your pants uh you
[41] 2:15	might crash you might burn you might you
[42] 2:18	might kill the whole party in one shot
[43] 2:21	it
[44] 2:21	happens and
[45] 2:24	uh and this is going to be just a good
[46] 2:26	time okay it's more about
[47] 2:30	about bringing your best acting to this
[48] 2:33	okay so guys ham it up all
[49] 2:37	right now you're all the basically the
[50] 2:41	setting of this this this
[51] 2:43	campaign and you are the campaign is
[52] 2:47	called calling all
[53] 2:49	clerics okay you guys are Seminary
[54] 2:54	students just about ready to graduate
[55] 2:57	from cleric School
[56] 3:00	you the Ecclesia Divinity School teds
[57] 3:05	okay and you have one more field Ed to
[58] 3:11	complete before you
[59] 3:14	graduate
[60] 3:16	so your your Prof is telling you hey hey
[61] 3:20	you young clerics you're ready to take
[62] 3:24	your religious mission to the
[63] 3:26	world so we want you to go out to this
[64] 3:32	little village on the outskirts of our
[65] 3:35	Province and spread good
[66] 3:38	news
[67] 3:40	okay so you guys get sent out okay and
[68] 3:48	the story here is going to pick up as
[69] 3:51	you enter the outskirts of this little
[70] 3:53	village you see a run down little hobble
[71] 3:58	now all you have on your person is your
[72] 4:01	robe your holy symbol and 50 pieces of
[73] 4:05	gold that you've been given on the way
[74] 4:08	out because your school Master do it
[75] 4:11	says okay you're gonna have to either
[76] 4:13	buy supplies and if you're good at your
[77] 4:16	mission you know you're those people
[78] 4:17	will support you like any good
[79] 4:20	charitable work if you're not good at
[80] 4:22	your mission you'll probably end up
[81] 4:23	being a mendicant you know begging your
[82] 4:26	way from from hostile to hosle okay
[83] 4:30	okay
[84] 4:31	so you see that something's not quite
[85] 4:35	right about this Village you know it's
[86] 4:39	it has been in hand you see some
[87] 4:40	chickens running
[88] 4:41	around you see the streets are
[89] 4:44	empty it's quiet okay can I can I take
[90] 4:48	one of the
[91] 4:50	chickens I I Ste the chicken yeah yeah
[92] 4:53	okay all right I'm taking a chicken all
[93] 4:55	right you're taking a chicken okay all
[94] 4:57	right he's gonna be our companion he's
[95] 4:59	what was your what was your
[96] 5:02	alignment neutral
[97] 5:07	good well you're now
[98] 5:09	neutral
[99] 5:11	okay okay I mean no one's around no's
[100] 5:15	like the chicken is just your dos
[101] 5:17	watching
[102] 5:18	you
[103] 5:23	okay all right we have a chicken now we
[104] 5:25	have a chicken any want to
[105] 5:26	namei hang the good news here we weren't
[106] 5:30	sent to to steal
[107] 5:32	chickens I think I detect
[108] 5:35	evil detect
[109] 5:38	evil well you're definitely detecting
[110] 5:43	evil what okay so he'll be our friend we
[111] 5:48	we'll love him so grunt here steals a
[112] 5:52	chicken that's his first his first
[113] 5:55	missionary
[114] 5:58	Act
[115] 6:03	good start doing
[116] 6:07	well but that doesn't seem to change a
[117] 6:09	whole lot it's still pretty deserved
[118] 6:11	served Village
[119] 6:14	okay but then he's something in this is
[120] 6:17	here sort of a a
[121] 6:20	a he yelling yelling in
[122] 6:25	orcish
[123] 6:27	down how do you speak orcish
[124] 6:30	you see this big orc Warrior coming
[125] 6:33	towards you he's got a spear in his hand
[126] 6:36	he's waving it real
[127] 6:38	angry and
[128] 6:45	he Parton
[129] 6:47	me waving that
[130] 6:50	spear what do you do I wave
[131] 6:54	back okay uh we'll start because we're
[132] 6:58	doing this as a round we are going to do
[133] 7:01	this we'll start with uh Jonathan here
[134] 7:06	uh and then move to Ark and then Michael
[135] 7:10	and then Marlo that's GNA be our
[136] 7:14	order I I offer him the chicken that was
[137] 7:19	stolen he's not interested in the
[138] 7:22	chicken we offer him
[139] 7:27	Arc he's not interested AR
[140] 7:30	either okay he needs
[141] 7:33	help we're here to help you're here to
[142] 7:36	help okay he
[143] 7:39	just and he's still waving his spear
[144] 7:42	around at you he's getting real close to
[145] 7:43	your
[146] 7:44	faces
[147] 7:47	communicate right
[148] 7:49	back he doesn't understand what the heck
[149] 7:51	you're talking about so we're on the
[150] 7:53	same
[151] 7:54	page oh so so so he gets to growl anger
[152] 7:58	at me but when I do it oh he he doesn't
[153] 8:00	understand anymore oh
[154] 8:03	fantastic I say popcorn Michael
[155] 8:10	B okay um so where is this orc coming
[156] 8:15	from is there anything behind it I mean
[157] 8:17	it's it's clearly you see the CH Village
[158] 8:19	behind it CH
[159] 8:21	Chief doile there okay I'm going to just
[160] 8:25	try to walk around it and go to the
[161] 8:28	Village he he I mean it's it's occupied
[162] 8:30	with these these other the other clerics
[163] 8:32	so I
[164] 8:33	can he's the only guy you see in the
[165] 8:36	village
[166] 8:38	okay I I probably should have cast
[167] 8:41	detect
[168] 8:42	[Laughter]
[169] 8:44	evil uh you don't detect any
[170] 8:51	evil I
[171] 8:54	wonder is it my turn um your your turn
[172] 8:58	Okay um I'm wondering if this is his
[173] 9:00	village and we just interrupting
[174] 9:03	him sorry catch that I I'm wondering if
[175] 9:06	this is his
[176] 9:08	village I guess he how do you find
[177] 9:12	out well
[178] 9:16	um can I can I talk to him and say hello
[179] 9:19	are you up for a reasonable
[180] 9:21	conversation he grunts
[181] 9:24	back um I I I like Point down to the
[182] 9:27	ground um is is this your
[183] 9:30	Village like and like like spread out my
[184] 9:34	hands in like a sweeping motion is is
[185] 9:36	this general area your village he not oh
[186] 9:41	um is this yours and I hold up the
[187] 9:45	chicken he he he he he uh he basically
[188] 9:50	Noss his head no oh okay I'm keeping it
[189] 9:53	then
[190] 9:57	um okay uh
[191] 10:00	h i will time's up Michael's be turn
[192] 10:05	okay oh awesome okay how much common do
[193] 10:09	you speak or understand um orc
[194] 10:13	person he draws an ear on the
[195] 10:17	ground okay so you can understand us um
[196] 10:22	can you can you draw or you know let's
[197] 10:27	let's let's see what's going on
[198] 10:29	um how can we help you we don't speak
[199] 10:32	orish so show
[200] 10:34	us he points to you to go
[201] 10:38	away I am happy to do that after we tell
[202] 10:41	you the good
[203] 10:44	news Marlo your turn does or look hurt
[204] 10:48	at
[205] 10:49	all no all right um I begin to uh St
[206] 10:56	take Taking uh what's his name uh
[207] 11:00	Caleb's
[208] 11:02	uh taking the the uh impetus from Caleb
[209] 11:05	I I start to preach uh to this orc about
[210] 11:09	the the uh good news that we were sent
[211] 11:11	out to to preach to this uh this tiny
[212] 11:15	hob and just making sort of just Grand
[213] 11:17	sweeping gestures and and uh talking
[214] 11:20	very Lou more more loudly than I should
[215] 11:23	um toward towards you know just the
[216] 11:25	general area uh knowing that there's
[217] 11:27	only this orc here to to hear
[218] 11:30	it he looks sad and
[219] 11:33	bored you're not very good at
[220] 11:36	this Jonathan your
[221] 11:41	turn um I walk past him where he came
[222] 11:46	from he starts waving his hands
[223] 11:49	wildly I stop
[224] 11:54	and uh ask if he needs
[225] 11:57	help he not de
[226] 12:01	okay can you draw what you need help
[227] 12:03	with is it your
[228] 12:06	family he nods his
[229] 12:09	head can you take us
[230] 12:11	there and he does he's the chief's
[231] 12:15	Village to the chief's Hut all right
[232] 12:17	well well while we're go in there I'm
[233] 12:18	gonna steal a second
[234] 12:20	chicken Ste second yes I I I I'll take
[235] 12:24	two chickens under
[236] 12:26	arms you you're all supposed to be
[237] 12:28	playing good characters right yeah but
[238] 12:31	you know the chickens are just there and
[239] 12:32	they're not his can I slap him and put
[240] 12:34	the chickens down like is is that a
[241] 12:37	thing I can
[242] 12:39	do like stop
[243] 12:42	it but we might need this it's your
[244] 12:46	party okay so you R into the This Tall
[245] 12:51	long long house and at the end of the
[246] 12:55	hall is a human
[247] 12:57	being dressed in let's just say better
[248] 13:01	than average
[249] 13:02	Rogues and he approaches you and he
[250] 13:07	says
[251] 13:10	clerics you might be who we
[252] 13:14	need I see you've met our
[253] 13:19	Constable he protects the
[254] 13:23	Village from the
[255] 13:27	East he tries to he's not really very
[256] 13:31	good at it he's still alive
[257] 13:34	though alive
[258] 13:37	yes but he's not very good at
[259] 13:40	this that's mean that's a mean conable
[260] 13:44	we need we need your help we've been
[261] 13:48	terrorized by this
[262] 13:51	Beast Scott is this is this Beast
[263] 13:54	stealing
[264] 13:56	chickens this Beast is eating
[265] 14:01	people and
[266] 14:04	chickens I don't think it really bothers
[267] 14:06	with the
[268] 14:08	chickens tell us more about this
[269] 14:10	Beast oh it's got red
[270] 14:14	eyes it's like
[271] 14:16	fire it can
[272] 14:19	leap 30 feet
[273] 14:22	high it's
[274] 14:26	Invincible but if any one can do it men
[275] 14:30	of the cloth can do
[276] 14:34	it we unite A Chorus of
