[0] 0:00	a
[1] 0:18	[Music]
[2] 0:25	[Music]
[3] 0:41	[Music]
[4] 1:22	[Music]
[5] 1:54	[Music]
[6] 2:08	[Music]
[7] 2:16	[Music]
[8] 2:30	a [Music]
[9] 2:54	[Music]
[10] 3:01	[Music]
[11] 3:19	[Music]
[12] 3:30	[Music]
[13] 3:59	[Music]
[14] 4:27	hello and welcome to this our one 163rd live stream succeeding at failed
[15] 4:37	questions and we do have a couple of those tonight so um a very aply titled live
[16] 4:46	stream so we are doing fantastic here and um want to point out to everybody
[17] 4:55	that uh this Tuesday at 4 p.m. is going to be our
[18] 5:00	final uh Assassin's Creed live play session this time we're at thieves and
[19] 5:08	we're at Kings Valley so it's going to be a real real interesting one
[20] 5:15	so with that said we're going to get immediately into the questions here uh just want to remind everyone of the
[21] 5:21	rules cuz rules are important to keep things organized and moving
[22] 5:27	along first thing is super chats have priority nobody on YouTube questions
[23] 5:34	that second if you post a non-s Super Chat question and we do take non-s super
[24] 5:39	chat questions put a q and a colon in front of it that way we see it now that
[25] 5:45	doesn't guarantee we're going to take your questions uh we all we get a lot of non super chats so we do tend to be a
[26] 5:52	little more selective about those we pick interesting questions or questions that will basically
[27] 6:00	Enlighten the community as a whole so we're more selective about those but if you want to have your your non-s Super
[28] 6:05	Chat question considered we need that q and the Cole in the front third is only
[29] 6:11	post your non-s Super Chat question once okay if it's posted more than once it'll be instantly disqualified for the live
[30] 6:18	stream and we will just not answer it we we really are strict about that rule
[31] 6:25	okay uh the fourth thing is if it has to do with a Bible verse or a foreign word
[32] 6:30	we need a little context so in the case of a Bible verse if you're referring to something in the Bible we need the book
[33] 6:36	it's from the chapter and the verse so we can look it up okay if we can't look
[34] 6:41	it up we can't refer to the text and if we can't refer to the text we're guessing and we don't like to guess
[35] 6:48	guessing is bad okay in the case of a foreign word just tell us what language you think it's in and what what you
[36] 6:54	think the word means and that that'll help us narrow it down because a lot of these uh languages are homonymic so that
[37] 7:01	could lead you to do a lot of again random guessing and finally if you are going to
[38] 7:09	sponsor a Super Chat which our wonderful Community here tends to do please only sponsor one question per
[39] 7:18	Super Chat and type in which question it is that way we don't have to hunt for it
[40] 7:24	all right so with that said let's start getting into the questions
[41] 7:40	okay our first question of the night here we're going to start off the night with four non super chats and the first
[42] 7:47	one here is who are the coastal nations in Genesis
[43] 7:52	105 thank you very much uh for posting that question uh uh kavar
[44] 8:00	and let's get in let's bring up the passage because I think that's going to really reveal what there the writer is
[45] 8:09	talking about here so bring up our Bible here and uh let's go to actually verse
[46] 8:17	four here and the sons of Javon were ilisha and tarish kittim and dodanim now
[47] 8:26	these are not actual names they are names of places okay from these coastlands of the
[48] 8:33	nations were separated into the lands everyone according to their language according to the families of their
[49] 8:41	Nations okay now tarish
[50] 8:46	Spain uh kitum and dodanim are in the Mediterranean okay so these are the
[51] 8:52	Nations that are that inhabit the Mediterranean Basin okay so these are
[52] 8:57	the coastlands of the Mediterranean Anan sea the great green so that's what's
[53] 9:03	being talked about here in Genesis 105 it's not specifically talking about say the Philistines but it is talking about
[54] 9:09	here those Nations that inhabit the Mediterranean particularly the northern coast of the
[55] 9:18	Mediterranean okay so I hope that helps thank you very much for the question very much appreciated
[56] 9:29	next one here is a geek question I'm taking it because it's a geek question
[57] 9:36	dark blade asks when someone sent a message using most code on a
[58] 9:41	telegraph what would they do to control who the message went to
[59] 9:46	okay uh this is a radio operator question um while I am not an expert on
[60] 9:54	operating radios or telegraphs um I am working toward W
[61] 9:59	getting my license on this so I do have some knowledge in this
[62] 10:05	area uh the fact is that mors code is an open code it's always Meant To Be An
[63] 10:11	Open code so it's not encrypted so anyone who Taps into a
[64] 10:18	telegraph signal can read it and anyone like for example from ship to ship if
[65] 10:24	you do ship to ship radio with Morse code or use light for
[66] 10:30	uh ship to ship Morse code you uh there's no expectation of
[67] 10:36	privacy and this has been one of the things uh one of the problems with using mors code in times of war is that the
[68] 10:42	enemy if they have eyes on the signal they can actually read it it's not
[69] 10:47	encrypted there is it depends entirely upon the radio operator whether or not
[70] 10:56	that that message is delivered to its final destination in a t in the case of
[71] 11:02	the telegraph system where you had a wired signal from City to City the one
[72] 11:09	the radio operator on the receiving end would then type out a message and then
[73] 11:16	that message would be sent by a courier to its final
[74] 11:21	recipient so Mama of course you are
[75] 11:36	got my ham radio is right
[76] 11:44	here uh uh darl deani for reaching the gospel
[77] 11:50	you're not allowed to do that that is actually a violation of the
[78] 11:55	law you are not allowed to use a ham radio for evangelist ization that will
[79] 12:00	get your license suspended big
[80] 12:07	time okay Mama laughs of course she does she
[81] 12:14	finds this of Music we're here for your personal [Laughter]
[82] 12:21	entertainment oh awesome awesome you're on a ham radio
[83] 12:27	cool uh Gabriel is that only in can or in general that's in general yeah yeah
[84] 12:33	you're not a d allowed to do that anywhere that's that's International agreement uh amateur radio is restricted
[85] 12:41	to um basically small talk more or
[86] 12:50	less Dean ask you're saying I can't use Mor uh I I can't use the morse code I
[87] 12:56	can't translate the Bible into Mor code oh you can translate it into Mor code yeah you just can't transmit
[88] 13:02	it okay so you can't transmit Morse code on an open signal using Morse code which
[89] 13:10	is generally the way you would use Morse code you would use Morse code in an open
[90] 13:16	signal you could if you were using say light you could do it that way but say
[91] 13:22	on a radio frequency or on a telegraph no that'd be illegal not that telegraphs exist anymore but the same rules apply
[92] 13:29	app to telegraphs that applied to say radio
[93] 13:38	Transmissions lp4 Dr Faulk is a Canadian yeah didn't you
[94] 13:44	know I'm a Canadian [Laughter]
[95] 13:50	a look I I did live in in the United States for 20 years okay I lived in the
[96] 13:55	United States for 20 years I lived in England for three okay um the rest I
[97] 14:02	lived in
[98] 14:09	Canada I'm still Canadian enough that some people were making fun of my my accent this week
[99] 14:15	so uh I don't know if any of them hear a Canadian accent I know it slips out from
[100] 14:22	time to time I mean it's not as bad as my father's accent though yeah I mean my father talks with
[101] 14:28	a wrong nin land sense so it's just
[102] 14:34	like yeah well I mean I spent a lot of time in California so so
[103] 14:40	my I mean I don't know if anyone hear the Canadian accent but not
[104] 14:48	but Dean says Fulk doesn't say sorry often laugh out loud well that's because it's annoying it's really annoying
[105] 15:01	all right so that should cover the um um Morse
[106] 15:07	code question and I as I said I do happen to know a little bit about this
[107] 15:12	so um yeah it all depends upon who gets the message depends upon the radio
[108] 15:18	operators or the telegraph operators on the other end okay that was a fun
[109] 15:25	question next question here is from Garrett
[110] 15:30	scina uh and he asks I know that the modern myth of the
[111] 15:35	mummy's curse the corpse reanimates and hunts you down isn't actually a part of Egyptian Theology and that's a good
[112] 15:44	thing where did it come from it came from the British
[113] 15:50	newspapers okay this is where it came from in the 1920s when Howard
[114] 16:00	Carter discovered King tutt's tomb
[115] 16:05	okay he needed money to keep digging like like all excavations all all
[116] 16:12	archaeological excavations are money poor okay so he needed money
[117] 16:19	to to to keep digging so what he did he had an exclusive contract with the UK
[118] 16:27	times and what would happen happen is every so often somebody from the times
[119] 16:32	would come to the tomb they take some P same Burton's pictures and they publish
[120] 16:38	it in the times and it this was when when uh discoveries about tsom were all the
[121] 16:44	rage well there was another newspaper uh probably the
[122] 16:50	guardian uh but I don't remember which one exactly that when they went to to to
[123] 16:57	thieves to examin the tomb they were told Point Blank yeah you're not going to get inside you're not going to have a
[124] 17:02	look you're not going to get get an interview we've got an exclusive with the
[125] 17:07	times so um so this this newspaper to get
[126] 17:15	revenge came up with this story about the curse of the
[127] 17:21	Mummy in order to get even [Laughter]
[128] 17:31	so it was um this was a completely an invention of of the British
[129] 17:41	press um oh yeah it was very effective several newspapers picked it up yeah it was it was very effective of
[130] 17:51	course Mama of course the British started a myth about one of their
[131] 17:56	subjugated States
[132] 18:03	hi Diane but yeah yeah that's that's that's where the myth of the mummy's curse came
[133] 18:08	from it came from the British newspapers trying to get even with Howard Carter so that's the story behind
[134] 18:17	it it's very interesting but has really nothing to do with ancient Egypt
[135] 18:26	itself yeah but it's a lot of fun to talk about out okay and our fourth non Super Chat
[136] 18:32	question here is hi Dr Fulk if I recall you mentioned quite a while ago we know of a
[137] 18:40	phenomenon akin to the strong East Wind that temporarily dried up the young suf
[138] 18:45	in Exodus 1421 could you elaborate elaborate on this Yes actually it's a
[139] 18:51	well-known and now well documented phenomenon called a wind set down and
[140] 18:57	now these have been abs oberved to happen now what what these wind set
