[0] 0:00	e [Music]
[1] 0:07	[Music]
[2] 0:22	[Music]
[3] 0:30	oh
[4] 0:58	[Music]
[5] 1:39	[Music]
[6] 1:45	[Music]
[7] 2:18	[Music]
[8] 2:53	[Music]
[9] 3:19	[Music]
[10] 3:31	all [Music]
[11] 3:47	[Music]
[12] 4:31	[Music]
[13] 4:56	hello and welcome to this our 164th live stream is Dr Faulk the biblical
[14] 5:03	David could be uh this is of course a reference to
[15] 5:11	our Monday video is senenmut the biblical Moses of course the answer to both those
[16] 5:17	questions is no okay okay but we couldn't help doing
[17] 5:23	that sort of tongue and sheep kind of uh of title for the stream okay uh just
[18] 5:32	a bit of channel uh news and then we'll get right right in the questions uh the first thing is if you haven't signed up
[19] 5:38	for our Egypt in the Bible tour please do so uh time is starting to waste away
[20] 5:45	here and if you want this tour to go off and you want to be on it and see Egypt
[21] 5:50	with the an egyptologist this is the perfect opportunity to do so details and
[22] 5:56	Link are in the description so please if you want to go on this thing please sign up the other thing is we really want to
[23] 6:03	thank our patreon supporters this week this is a very dead power supply
[24] 6:11	and we just froze we just froze did is our is
[25] 6:16	anything still coming through no we froze the camera
[26] 6:22	froze okay uh just it's not the only thing apparently
[27] 6:29	that died
[28] 6:39	Rosen uh can you guys hear me
[29] 6:51	still looks like it's a
[30] 7:05	okay the video's back up can can anyone hear
[31] 7:11	us you can hear me but you can't can you see
[32] 7:20	me okay this look okay tell them uh can can they see
[33] 7:25	can they see the video okay yes both oh wow yeah uh
[34] 7:33	YouTube is is having a cow at the moment this is okay
[35] 7:40	it's I mean I'm getting incredible latency here so we'll just ignore
[36] 7:45	YouTube here and just kind of go on um you maybe hit the refresh button here
[37] 7:51	maybe that'll help here on the on the studio end
[38] 8:13	okay I don't I don't I mean YouTube's having having a hissy fit here uh
[39] 8:19	probably not helped by my camera freezing uh so uh I don't know I don't
[40] 8:25	know what's going on so this is just this is just uh
[41] 8:30	those settings back too go
[42] 8:37	on okay just make sure everything is good focus is UN has to be
[43] 8:48	off station has to be
[44] 8:54	off oh wow this is this has been a bad week for Tech I mean this has been an
[45] 9:01	awful week for technology for us it's like it couldn't it couldn't
[46] 9:07	have gotten like a worse week for Tech
[47] 9:12	um um yes on the good side of okay back to appreciating our patreon
[48] 9:19	uh supporters uh because one of the things some of you guys know that I'm working on a peer-reviewed article for um our
[49] 9:27	chronology software and this week um the server went
[50] 9:36	down and what I was trying to show you here before is a dead power supply our
[51] 9:42	server blew up quite literally blew
[52] 9:47	up uh I was I hit the execute button on the web
[53] 9:55	application and I heard this bang like a gun went off in the
[54] 10:01	room apparently capacitors get really loud when they [Laughter]
