[0] 0:00	[Music] n
[1] 0:06	[Music]
[2] 0:30	wow [Music]
[3] 0:53	[Music]
[4] 1:03	[Music]
[5] 1:22	[Music]
[6] 1:29	[Music]
[7] 1:44	[Music] is
[8] 2:05	[Music]
[9] 2:12	[Music]
[10] 2:27	[Music]
[11] 3:07	[Music]
[12] 3:40	[Music]
[13] 4:05	[Music]
[14] 4:15	[Music]
[15] 4:34	[Music]
[16] 4:42	[Music]
[17] 4:50	[Music]
[18] 5:47	hello and welcome to this our 176th live stream the people groups of
[19] 5:56	YouTube we want to wish you all a happy Friday the 13th uh the luckiest day of the
[20] 6:03	year uh we also want to thank you for joining us tonight and uh we want
[21] 6:10	to this is where we take your questions on Ancient Egypt and the Bible now again
[22] 6:16	we want to bring to your attention the fact that we are doing an Egypt and the Bible tour coming March so we want to
[23] 6:23	ask you if uh you are interested in doing this where we do this fabulous tour of of Egypt where we discuss the
[24] 6:30	relationship of the Bible with Egypt as you see the sites themselves do sign up
[25] 6:36	for that tour there's a link in the description so with that
[26] 6:41	said uh the rules for the live stream are the same as always which is that
[27] 6:47	super chats have priority this is true on every YouTube channel on the planet
[28] 6:54	so you should know that already uh if you want to give us a non
[29] 6:59	super chat when we do take non-ss super chat questions you have to put a q and a colon at the
[30] 7:05	front so if we don't have the que and the colon doesn't exist we don't see it only post non-s super chat questions
[31] 7:13	once if you post it more than once we'll consider that to be question spamming
[32] 7:18	and we will disqualify the question for the night if it's a verse from the Bible we
[33] 7:24	ask that you give us a little bit of context and for that we mean the uh we need the what book it's
[34] 7:31	from what chapter and what verse and finally if you are sponsoring
[35] 7:36	a non Super Chat which we do allow please repeat the question in the uh in
[36] 7:43	the Super Chat so we don't have to go hunting for it that just saves us a lot of time okay so with that said let's get
[37] 7:50	in the questions
[38] 7:57	okay and our first question of the night take off the banner
[39] 8:05	here is from Vish and Vish asks Dr Fulk in your
[40] 8:14	novels do you do a lot of World building or more character Focus also your
[41] 8:20	literary Inspirations uh I try to have a balance
[42] 8:28	of world building and character Focus but it tends to usually be a little more
[43] 8:34	towards the character side so I love strong characters I think um that's one
[44] 8:40	of the great things about writing fiction is writing characters so I do do the World building
[45] 8:47	to though so because uh you have to have strong World building when you do science fiction and when I do my novels
[46] 8:54	they're mostly science fiction I sometimes do historical as well but even then you still want to do Strong World
[47] 9:01	building so uh that's sort of my my focus as I write fiction now my literary
[48] 9:10	Inspirations I do a balance between say classic science fiction and say more
[49] 9:16	modern stuff so I tend to like the works of uh
[50] 9:21	Frank Herbert Clifford CAC Robert silverberg
[51] 9:27	um so the the real Classics Paul Anderson met him I actually met him uh
[52] 9:34	Frederick Paul so those are the authors that really stand out to me those are those are the uh writers I really
[53] 9:41	enjoy now I also do read a lot of contemporary too so I try to keep up on recent
[54] 9:50	science fiction as well and I think that's really important for a author is
[55] 9:55	to not just know the classics but to know the recent stuff too
[56] 10:01	so I've in the past I guess month or so I've read three
[57] 10:07	novels um I've read in the lives of trees which I don't
[58] 10:13	recommend I've read uh children of memory which I also don't recommend but
[59] 10:19	for a different reason um in the case of in the uh the
[60] 10:24	children of memory it was kind of a ba and switch it's kind of a baant switch so I don't like books that bait and
[61] 10:30	switch me uh the one book that I really did enjoy that's uh really recent was a
[62] 10:37	starter villain really good writing it's probably one of the best written books I've read in about a decade I mean it's
[63] 10:47	funny it's got great characterization it's
[64] 10:53	um uh it's fastpaced it's got great dialogue it is it is on that that sort
[65] 10:59	of cuss between Science Fiction and Fantasy but it's also set in
[66] 11:05	Chicago and you can really tell the guy lives in Chicago I mean it's just you
[67] 11:11	feel like you're back in Chicago so um particularly the suburbs
[68] 11:18	of Chicago like shamberg so um excellent excellent book
[69] 11:24	starter villain I would highly recommend it it does have rude language in it so
[70] 11:29	you have been warned but the writing style is excellent and the the way it's
[71] 11:35	written is very very uh well
[72] 11:41	done so with that said uh thank you very much
[73] 11:47	for the question very much
[74] 11:52	appreciate okay the next question here is also from Vish are angels Gods powers
[75] 11:58	princip alties and spirit creators children of God too yes they are does
[76] 12:04	God love them as he loves Humanity he loves them but not in the same way okay
[77] 12:13	so God doesn't have to do anything supererogatory which is just a fancy
[78] 12:19	word of saying Beyond moral normal
[79] 12:24	moral um obligation to love a Spirit Critter as
[80] 12:30	long as a spirit Critter doesn't Rebel they are in God's love
[81] 12:37	so um shamberg weaton Hoffman Estates Park
[82] 12:43	Ridge
[83] 12:48	yeah so um so a spirit critor is loved as long
[84] 12:54	as he is in obedience to God but it's a positional thing a spirit Critter can fall out uh and
[85] 13:02	decide to reject God's love but unlike Humanity God doesn't
[86] 13:09	have to go the extra mile to be in relationship with a spare
[87] 13:14	Critter so
[88] 13:20	um so it's just um yes Angels uh say lower divinities Powers
[89] 13:28	principal ities as long as they are in God's obedient in obedience to God their
[90] 13:35	love to just not on the same same level okay
[91] 13:41	so I hope that helps thank you very much for the super chat or the question really appreciate
[92] 13:52	it okay next question here is also from Vish can Christian authors write fiction
[93] 13:58	mythologies about Angels origins of Life man of sin Paradise using non-biblical
[94] 14:04	imagery and not being allegorical without it coming off as contradicting it yeah sure they can um CS Lewis did
[95] 14:13	this all the time basically his um um his space Trilogy was using these
[96] 14:23	allegories of of original sin uh um the
[97] 14:30	garden angels powers that sort of thing and he did it allegorical style
[98] 14:38	using science fiction but it certainly didn't contradict biblical
[99] 14:44	Revelation so it is completely consistent to be able to write fiction
[100] 14:49	on that level without it being a problem again as long as you got your
[101] 14:55	theology straight and your world view straight R it sort of takes care of
