[0] 0:00	e
[1] 0:06	[Music]
[2] 0:20	[Music]
[3] 0:42	[Music]
[4] 0:49	[Music]
[5] 1:03	[Music]
[6] 1:44	[Music]
[7] 2:16	[Music]
[8] 2:41	[Music]
[9] 2:51	[Music]
[10] 3:10	[Music]
[11] 3:18	[Music]
[12] 3:29	oh [Music]
[13] 3:54	[Music]
[14] 4:01	[Music]
[15] 4:15	[Music]
[16] 4:32	[Music]
[17] 5:29	oh hello and welcome to this our 177th live stream is David folk the same
[18] 5:36	as Dr [Laughter]
[19] 5:44	folk ah let's just um put a comment up
[20] 5:49	here for a moment and we will see here uh 7:36 was it
[21] 6:01	yes uh Kiara puts here tonight's thumbnail refers to Ephraim not being
[22] 6:07	the only Ephraim in the Bible per Monday's video the fact that Google has finally
[23] 6:14	changed the author's status of my book to David a folk not David B
[24] 6:21	Fulk and not the sports agent is merely a happy coincidence it took four years
[25] 6:28	for this to happen that happened this week that had happened this week with
[26] 6:35	that thumbnail God is messing with us he's
[27] 6:41	totally messing with [Laughter]
[28] 6:49	us so uh yes finally finally Google gets it right
[29] 7:00	uh we want to remind everybody to if you are interested in doing our Egypt in the Bible tour please sign up the link is in
[30] 7:07	the description that's going to be an amazing tour so we do want to make sure everyone has the opportunity to at least
[31] 7:14	sign up for it um and I think that's it for the announcements uh so we're going to get
[32] 7:20	into the questions again the rules are the same as always super chats have priority if you are going to ask a non
[33] 7:29	super chat question which we do take uh we ask that you put a q and a colon in front of the question so we know it's
[34] 7:35	directed to us no q no colon might as well not
[35] 7:41	exist uh the other thing is uh only post your question once question spamming is
[36] 7:46	prohibited it'll disqualify your question for the night next thing is that uh if it's something in the Bible
[37] 7:55	we do ask that you give us some context particularly the book the chapter and the verse that helps us
[38] 8:02	just Define things and gives us context for the question and then finally if you sponsor
[39] 8:09	a a nons Super Chat which we do allow we ask that you uh copy the question into your uh
[40] 8:17	Super Chat so that we don't have to hunt for it it just saves us a lot of time
[41] 8:23	all right so those are the those are the ground rules uh we're happy you joined
[42] 8:28	us tonight and we're going to get to right to the questions all
[43] 8:35	right our first question here is from Ernie
[44] 8:41	Stanley and he says thoughts on creating Jesus or pastoral AI chatbots for advice
[45] 8:48	and teaching uh it's generally a terrible
[46] 8:55	idea okay um I think I think AI is not
[47] 9:00	where it needs to be to do this the the fact of
[48] 9:07	um pastoral Ministry does require nuance and
[49] 9:12	understanding it's not something that you can just hand over to a chat bot and expected to do a decent
[50] 9:18	job so and frankly I do get ads from AIS
[51] 9:26	companies that are working on this stuff already and I've almost always told them no no
[52] 9:33	thank you not interested not interested in pitching your company you're your pastoral AI chatbot your devotional
[53] 9:41	chatbot whatever you have it's of no interest to me
[54] 9:47	because I've seen how bad some of that advice can be
[55] 9:54	so so I think I don't think it's good I don't think they're good they're not where they need to be
[56] 10:02	essentially
[57] 10:08	um so yeah Jack R there's no soul in it
[58] 10:13	yeah there's no soul in it and there's no way that you know it
[59] 10:20	can empathize with a person it doesn't understand just pure simple it doesn't
[60] 10:27	understand it's unable to understand
[61] 10:33	so so yeah I think I think there's problems with with chat Bots that try to dish out pastoral advice I don't think I
[62] 10:41	don't think it's a good good
[63] 10:48	resource yeah and there is something too as my producer points out here there is
[64] 10:54	something to the fact that you're being empathized and sympathized with by
[65] 11:02	a real human being you know chatbot can't show you sympathy it can't show
[66] 11:08	you empathy it has no way of doing
[67] 11:14	that yeah yeah and
[68] 11:21	um a lot of the reasons that people do Reach Out is just for the human
[69] 11:26	connection of somebody caring you know saying oh yeah here's a chat
[70] 11:32	bot it'll fix your problem yeah that that says you don't give a crap
[71] 11:38	okay nice
[72] 11:46	nice you know maybe ask a chat bot about your taxes and I wouldn't even do that
[73] 11:52	okay but don't ask it about anything personal
[74] 12:01	all right so I hope that answers the question thank you very much for the question very much
[75] 12:07	appreciated uh next non Super Chat here is from followers of the shepherd and he says according to a
[76] 12:14	YouTuber some mummies have been found to have metal bands on their teeth which seems to be an early form of Dentures is
[77] 12:21	this true I'm rather skeptical um Yes actually it is true some mummies have
[78] 12:28	been f found with wire uh binding teeth together now it's not a denture as much
[79] 12:35	as it's a bridge okay so it's an early form of
[80] 12:40	bridge where they're basically taking piece of wire uh drilling through a dead
[81] 12:48	tooth and a living tooth and they're they're wrapping the teeth together to hold the the the dead
[82] 12:54	tooth in place so yes they did do this it is a
[83] 13:01	thing yeah grills grills yeah
[84] 13:09	[Music]
[85] 13:15	bling really how bizarre yeah it's it's it's a thing yeah yeah we do find
[86] 13:20	mummies that have these um and they're usually wrapped twice so it's it's it
[87] 13:27	it's a thing they did have uh they did have these uh Bridges so yeah a dental
[88] 13:34	bridge yeah they the Egyptians invented the dental bridge it's really weird but
[89] 13:41	yeah so yes true
[90] 13:48	confirmed okay so I hope that helps uh thank you for the question it was a cool question
[91] 13:59	uh Pablo Marquez asks was the holy of holies that dangerous that you could not enter for
[92] 14:07	reforms um this one's kind of a yes and no kind
[93] 14:14	of thing um it depended who you were it depended
[94] 14:22	on it wasn't an inherently dangerous thing but it was considered to be holy
[95] 14:30	and if you VI that violated that Holiness in more than one way yeah you could be you could be
[96] 14:38	killed for it it it did happen that you know people who
[97] 14:43	were uh Mis handled holy things in multiple ways and it's usually
[98] 14:49	it was wasn't just one offense normally that that got you killed it was usually several that would have get you
[99] 14:56	killed um I think I think uh was it Pompei and the holy of holies and he
[100] 15:03	didn't get killed okay so it wasn't a universal
[101] 15:08	thing but at the same time too it was just one of those those
[102] 15:16	um best not Tod do sort of situations we've never um
[103] 15:24	[Laughter] AJ Higgins I've never seen Dr Fulk in
