[0] 0:08	well there you
[1] 0:09	are okay I think I don't know why we
[2] 0:12	couldn't hear you
[3] 0:20	backstage I don't I don't get it I
[4] 0:25	have well I'm not surprised this is crap
[5] 0:29	net I
[6] 0:32	have well I'm not surprised this
[7] 0:42	is so uh it has been an exciting time
[8] 0:46	here at
[9] 0:47	etss uh we are going to still try to
[10] 0:50	pull off this little Speed game a glad
[11] 0:54	you could all join
[12] 0:56	us all right I got all three of your uh
[13] 1:00	your sheet character sheets here I want
[14] 1:02	to say make one comment on them before
[15] 1:04	we
[16] 1:05	start uh Mama that is the best character
[17] 1:11	sheet I have ever
[18] 1:14	seen love it let's go
[19] 1:21	Mama I'm trying not to talk to
[20] 1:25	detail
[21] 1:27	fabulous okay
[22] 1:31	fantastic I love it I've never seen I've
[23] 1:34	never seen a d andd character sheet like
[24] 1:36	this one incredible absolutely
[25] 1:40	incredible all right what we're gonna do
[26] 1:43	here is we're g to do a really quick
[27] 1:47	prayer and then right get into the game
[28] 1:50	okay all right let's bow our heads dear
[29] 1:54	heavenly father we thank you for this
[30] 1:56	opportunity to meet together at send
[31] 2:00	Diego virtually at the um Evangelical
[32] 2:03	theological Society annual conference to
[33] 2:06	do a d and d game we ask you to bless
[34] 2:08	this and let us have a really great time
[35] 2:11	in your most holy name we pray amen okay
[36] 2:15	amen now uh for those of you whove never
[37] 2:18	done a Speed game I know hyack you've
[38] 2:20	done a Speed game now you know the rules
[39] 2:23	are extremely
[40] 2:25	simplified
[41] 2:27	uh make make all your ision really quick
[42] 2:31	the faster you you do this the deeper
[43] 2:33	you get into the game okay and the more
[44] 2:36	you have fun yeah more you have fun yes
[45] 2:39	and we do the cut off at an hour so it's
[46] 2:42	a Time game okay
[47] 2:46	so so here's the here's the
[48] 2:49	scenario you're on a boat you're on a
[49] 2:53	ship and stormy oo there's clouds and
[50] 2:58	lightning Breakers are coming over the
[51] 3:01	bow of the
[52] 3:02	ship and the three of you have been sent
[53] 3:06	on a
[54] 3:07	mission you've been sent on a mission to
[55] 3:11	convert the
[56] 3:13	natives bring bring the NES to the true
[57] 3:17	Faith whatever that is
[58] 3:20	okay so that's your that's your
[59] 3:25	mission I think someone is seasick
[60] 3:30	someone's very
[61] 3:31	seasick I'm averse to
[62] 3:36	lightning
[63] 3:39	cler toar of the small you lose a hit
[64] 3:43	point for being
[65] 3:49	seasick penalized for role
[66] 3:53	playing so that's a good start excellent
[67] 3:58	start anyone have any
[68] 4:01	healing I have I have a Healer
[69] 4:05	kit okay so how do I how would I use my
[70] 4:09	healers kit DM to help them out maybe
[71] 4:11	give them like say I have some ginger I
[72] 4:13	well I I mean this is this is assuming
[73] 4:15	your the ship is steady enough for you
[74] 4:17	to use a healer's kit you can't use a
