[0] 0:00	a [Music]
[1] 0:18	[Music]
[2] 0:25	[Music]
[3] 0:34	[Music]
[4] 0:40	[Music]
[5] 1:03	[Music]
[6] 1:14	[Music]
[7] 1:20	[Music]
[8] 1:52	[Music]
[9] 2:17	[Music]
[10] 2:27	[Music]
[11] 2:46	[Music]
[12] 2:54	[Music]
[13] 3:08	[Music]
[14] 3:33	[Music]
[15] 3:44	[Music]
[16] 3:51	[Music]
[17] 4:42	hello and welcome to this our 195th live stream wisdom of the
[18] 4:48	channel this is of course a tip of the hat to our Monday video which was wisdom
[19] 4:54	of the crowd and the scholarly consensus if you haven't seen that video please go back
[20] 5:00	and watch that after the live stream here okay so this is our weekly Q&A
[21] 5:07	question uh session and uh just a little bit of Channel business if you aren't
[22] 5:13	already aware uh our latest book is on
[23] 5:18	pre-order now uh which is a science fiction novel which is kind of a combination between Sherlock Holmes and
[24] 5:25	Indiana Jones it's the early reviews have been very positive so I'm very
[25] 5:32	excited about that and if you're a patreon member you can actually read the first two chapters of the book for free
[26] 5:39	well free isn't with your paid membership we should put that in scare
[27] 5:45	free in scare quotes here but patreon members get that as a thank you all
[28] 5:50	right and we are very very appreciative of all our patreon supporters you guys
[29] 5:55	keep the equipment running and we've just upgraded one of our routers uh this
[30] 6:01	week thanks to you guys so we really appreciate your support
[31] 6:07	so um uh it's not this is not available to YouTube members this is available to
[32] 6:14	patreon members okay YouTube members still don't allow
[33] 6:19	us to upload files in the same way that patreon members do a the patreon
[34] 6:25	platform does so unfortunately we can't do this on
[35] 6:30	on the higher tiers of say the YouTube membership support but we can definitely
[36] 6:36	we definitely can do this on patreon so uh again thank you so much uh for your
[37] 6:43	patreon support we very very much appreciate it and we hope you pre-order the novel and enjoy it oh by the way if
[38] 6:50	you do uh read it and you enjoy it please write a review because reviews matter people do pay
[39] 6:58	attention to your reviews of these books so any book of mine that you buy please do a review so that I think covers the
[40] 7:07	channel business um let's get to the rules here and then we can start going into the
[41] 7:14	questions and get this so I don't forget any of them
[42] 7:19	okay um the rules really haven't changed uh super chats have priorities you know
[43] 7:25	that's true of every YouTube channel should should not expect that going to be any different
[44] 7:31	here uh we do take non uh nons super chat questions but you have to put a q
[45] 7:36	and a colon in front of it we don't see it if there's no q and a colon no q and a colon doesn't exist we don't see
[46] 7:45	it okay uh the third rule only post nons
[47] 7:50	super chats once if you repeat the question it gets it gets disqualified for the night
[48] 8:00	okay uh next if it's something from the Bible we do need a little context so we
[49] 8:05	need what uh book it's from what chapter and what verse this just saves us a lot
[50] 8:11	of time so please please do include that context uh we do allow
[51] 8:19	uh sponsorship of questions so a Super Chat can sponsor a non-s Super Chat
[52] 8:25	question but we do ask that you put the question in the super chat so we don't have to go hunting for it it saves us
[53] 8:31	all a lot of time and then finally one question per chat okay so if you're
[54] 8:38	going to ask me a question it needs to be only one question no question stacking because that's there's just no
[55] 8:44	way we can answer that in in the limited time we have per chat okay and this just
[56] 8:50	makes it fair for everybody okay so one question per chat all right with that
[57] 8:55	said let's get into the questions okay
[58] 9:01	our first question
[59] 9:11	here is going to be from Joshua Samuel
[60] 9:18	Hamilton and it asks about Egyptian beauty standards
[61] 9:25	okay uh Egyptian beauty standards are
[62] 9:31	kind of um based on economic
[63] 9:36	factors okay so the way Egyptian beauty and we have one statement of
[64] 9:43	beauty and that's found on the Chappelle Rouge at uh um H Chet's bark shrine at
[65] 9:53	carac okay and it talks about the beautiful women of
[66] 10:01	kush being large women very large women okay
[67] 10:10	so basically they the Egyptians preferred women of girth okay and I'm trying to be po
[68] 10:19	politically correct here okay they liked large women okay larger the
[69] 10:26	better it's a sign of wealth it's a sign of wealth it's a sign of of um that
[70] 10:36	you're well healed as it were you're not you're not starving you're not living on
[71] 10:41	knife edge agriculture okay you've got enough food to eat more than you're a
[72] 10:47	share okay so so yeah they so this is the interesting thing
[73] 10:54	about this too is it's not tied to race and that's really an interesting thing here because you know these are kushite
[74] 11:01	women these are women of who are would be of say um darker complexion okay
[75] 11:09	these are women of Darker complexion but they're big women they like them that
[76] 11:15	way so so that was now interestingly enough
[77] 11:22	that didn't apply to men okay athletic men were seen as more
[78] 11:28	handsome bigger women were seen as more beautiful
[79] 11:34	okay so there was a bit of a double standard here
[80] 11:42	[Laughter] okay so guys you better be buff okay
[81] 11:47	just saying just take that time at the gym to work out if you want to live up to Egyptian um aesthetic
[82] 11:57	standards uh women eat that Millet and milk because
[83] 12:03	that's what the diet of the those women work and it says this in the text that they were they had consumed lots of
[84] 12:10	millet and milk so kind of a porridge to bulk
[85] 12:15	up but anyway that's Egyptian beauty standards you can take it or leave it
[86] 12:21	but that's what they that's what they liked okay all right
[87] 12:29	the next question here is from also from Sam Joshua Samuel Hamilton and he asks
[88] 12:36	what imp patristics do you wish people better
[89] 12:42	understood reading matters reading matters yeah
[90] 12:48	here's here's what I would say I wish people understood the diversity of opinion
[91] 12:55	within the the early church fathers and that's what we mean by Patric the early church
[92] 13:00	fathers the early church fathers held a huge range of
[93] 13:06	opinions one thing I do see often abused when people read the early church
[94] 13:12	fathers is they'll read one Church the father and say aha that's the opinion of all the church
[95] 13:21	fathers and there go this is the opinion of the early
[96] 13:28	church doesn't work that way uh in fact you had all sorts of of
[97] 13:35	opinion on almost every issue across the board in fact the one thing you sort of
[98] 13:42	come to realize the more of the early church followers you read is how truly
[99] 13:47	diverse the opinion is so um dosman says when I actually
[100] 13:55	started looking into into it I was shocked by how much there is oh oh yeah there's like 500
[101] 14:01	volumes and here's one of the things I would say many of them are still not even translated to be
[102] 14:08	honest the one thing I would say about the church fathers is there's nobody who has read them all nobody has read all of
[103] 14:18	[Laughter] them yeah you can't read all of
[104] 14:26	them there's just too many volumes there's just too many volumes out there
[105] 14:31	and many of those volumes are still in Greek and Latin so unless you're reading comprehension of Greek and Latin is very
[106] 14:38	good there's no way you can read all of them
[107] 14:43	so uh dark blade has chat gbt read them all
[108] 14:50	no uh no chat gbt has not read them all CU not all of them have been
[109] 14:56	digitized that's the other thing too some of these volumes have not been digitized or are not
[110] 15:04	available uh at least not in popular editions um even the um the M series I
[111] 15:12	mean the M series is one of the is probably the largest single series of the church fathers it's all in the
[112] 15:18	original languages and it's it's about 300 400
[113] 15:25	volumes something like that but some of those volumes were never
[114] 15:31	digitized because some of those volumes are now very rare
[115] 15:37	so uh so nobody's read them all at least very few people have read them
[116] 15:45	all so to draw try to to say okay well this
[117] 15:50	is the opinion of the early church because I've read all all the fathers okay they're they're they're yanking your
[118] 15:57	chain at that point okay nobody can say with almost I mean unless
[119] 16:03	it's it's one of the the Christian Essentials all the secondary doctrines that sort of people fight over
[120] 16:10	concerning the church fathers there's usually a diversity of opinion so that's what I would say that
[121] 16:16	I wish people would know more about say
[122] 16:22	the the P reading patristics is you're going to walk away if you read enough of
[123] 16:28	this material you're going to walk away with the catchphrase it
[124] 16:35	depends everyone gets annoyed at that academic buzzword it
[125] 16:41	depends okay and I admit it can be annoying sometime because you want the definitive
[126] 16:48	answer you want to know what did the early church fathers believe on this it
[127] 16:54	depends it depends on who is saying it what time it was being said
[128] 16:59	what's the historical milu of it being said cuz the early church fathers are
[129] 17:04	across the board on almost every secondary
[130] 17:12	issue Mama the original for dummy Series
[131] 17:22	yeah yep BC it can be annoying but it depends
[132] 17:29	F yep [Laughter] uhhuh so that's what I wish people would
[133] 17:35	know do not read one volume of the church fathers and think you understand
[134] 17:41	the church fathers you don't you don't you're not even you're not even beginning to understand
[135] 17:55	it yeah yeah yeah my producer here point out it's kind of like learning
[136] 18:01	introductory Greek reading one volume of the church fathers is just enough knowledge to make you
[137] 18:09	dangerous yeah that's about [Laughter] it all right so I hope that helps thank
[138] 18:16	you very much for the question very much appreciated our third non Super Chat
[139] 18:22	here is
[140] 18:27	[Laughter]
[141] 18:33	dark blade said well none of them said you weren't allowed to use your phone in church well that's true none of the
[142] 18:38	church fathers did talk about cell phones in church they did talk about chairs though
[143] 18:46	believe it or not there was one uh christone basically had all the chairs in his church burned and destroyed to
[144] 18:55	make the people stand uh not a big fan of that but yeah he was a big uh against
[145] 19:04	uh against chairs guy but certainly not all the church
[146] 19:10	fathers were against chairs
[147] 19:16	okay okay so let's get back to uh what we were talking about here which is a dark blade
[148] 19:22	question what's going on with 1st Samuel 131 on Bible Hub what's going on with
