[0] 0:00	a
[1] 0:24	[Music]
[2] 0:31	[Music]
[3] 0:39	[Music]
[4] 0:47	[Music]
[5] 1:07	in [Music]
[6] 1:20	[Music]
[7] 1:30	a [Music]
[8] 1:53	[Music]
[9] 2:17	[Music]
[10] 2:27	[Music]
[11] 2:43	[Music]
[12] 2:53	[Music]
[13] 3:08	[Music]
[14] 3:36	[Music]
[15] 3:43	[Music]
[16] 3:57	[Music]
[17] 4:26	[Music]
[18] 4:35	[Music]
[19] 4:54	hello and welcome to this our 196th live stream remembering Kenneth a
[20] 5:01	kitchen uh for those of you who don't know uh Thursday morning British time uh
[21] 5:07	Kenneth the kitchen passed away and went to be with the Lord now for those of you who don't know
[22] 5:14	he was a good friend of mine uh I was his research assistant for three years and during those three years I was
[23] 5:22	very close to him so I would be with him like between 9 and 15 hours a week so so
[24] 5:30	I spent a lot of time with him so we've dedicated this live stream to his
[25] 5:38	memory and he was he was a great scholar he was a great
[26] 5:44	egyptologist and he was a very um devout Christian very devout
[27] 5:52	Christian I even attended his church once for you for those of you who don't
[28] 5:59	know he was a Methodist okay he was a
[29] 6:05	Methodist um so uh so he was
[30] 6:12	uh um I got to know him very well uh by the way um if you're interested in the
[31] 6:20	life of Kenneth kitchen he did write an autobiography and this is a copy of his
[32] 6:27	autobiography with his favorite picture on on the cover he told me this I was just sitting in his um in his uh his uh
[33] 6:35	guess dining room slitting room kind of both dining room was a living yeah yeah
[34] 6:42	his his living his dining room was a library and he showed me the original
[35] 6:47	picture of this of him uh riding on a donkey and he told me that this was his
[36] 6:53	favorite picture of himself and uh if you want to get that
[37] 6:58	book by the way there's a link in the description it's not an affiliate link
[38] 7:03	we don't make any money off the sales of this book you can only get it through Amber cromie press okay so um it's well
[39] 7:13	worth it um I do get one mention in this book actually most of his friends get a mention or two in his book so uh if you
[40] 7:21	want to know who is close to Ken he talks about them in here so uh for those of you who don't know he
[41] 7:29	he didn't have any family uh I was there when his last
[42] 7:34	relative died in 2013 which was the death of his brother that was his last
[43] 7:41	family uh and it came as a terrible shock to him because his brother was actually five years younger than him so
[44] 7:50	um he took that really hard um but uh there's some things about
[45] 7:56	him that were that I will always treasure him and I would go Fridays
[46] 8:02	Fridays we would go and do shopping and uh you know part of my job
[47] 8:08	was to help him buy groceries and we would go out to the local market and after the market we would go to a little
[48] 8:13	cafe and usually have cheese on toast or tomato soup or something like that depending on the
[49] 8:19	weather and we would talk about World War II he loved talking about World War II
[50] 8:28	he lived through World War I um you know he was he was uh 11 when
[51] 8:34	World War II started and um when he
[52] 8:39	turned um when I think it was he turned 17 he got called up for the
[53] 8:46	draft uh because all young men at that point were in England and um he told me that the
[54] 8:54	recruiter just looked at him and said what are we going to do with you you're just a bag of
[55] 9:05	bones I never forgot that I thought that was that was really funny could was was
[56] 9:11	too was too light too skinny to do military
[57] 9:16	service so um he he went on and went and pursued an
[58] 9:22	academic uh uh degree instead but um
[59] 9:29	but um you know when I wrote my book um relic of the Dead you know a lot of my
[60] 9:35	character was based upon anecdotes I heard from Ken uh anecdotes from Ken anecdotes from
[61] 9:42	Pier Monte um these these great luminaries of egyptology so a lot of a lot of um it's
[62] 9:50	a lot less autobiographical than it might seem at first blush but a lot of Ken went into my
[63] 9:57	book so but uh but that was that was what I uh uh recall of him I mean he he
[64] 10:04	just he he loved talking about World War II that was like his after after Egypt
[65] 10:11	and egyptology he loved talking about World War II especially World War II PLS
[66] 10:17	like the youngkers he would talk frequently about uh how we would hear them
[67] 10:23	overhead um CU um you know they were right in the heart of a lot of those
[68] 10:29	bombings so you know he was um so he was he was there when a lot
[69] 10:37	of that happened so um he was a great guy I'm G to miss
[70] 10:43	him GNA miss him a lot um you know he was a beloved mentor
[71] 10:50	and a very very good friend so
[72] 10:55	um yes he did love our bunnies he did see our bunnies once he came over to our place and he visited our bunnies
[73] 11:05	and he had um I lived about about two blocks away from him yeah that was one
[74] 11:12	of the conditions of my fellowship I had to live within two blocks of him so
[75] 11:21	um so yeah he was uh um he was a very interesting guy very
[76] 11:29	very interesting guy uh didn't have a fridge this is one of the things a few people know about him he did not have a
[77] 11:37	fridge until he was in his um
[78] 11:42	90s okay he used to keep a Larder I mean a real Larder you know like like inside
[79] 11:49	the house like no electricity and a lot of it was because
[80] 11:54	his mother was deathly afraid of electricity
[81] 12:00	uh one this is one of the things about Ken kitchen that a few people know is his his mother had seen the Thomas
[82] 12:06	Edison films where the edit Edison was trying to get
[83] 12:12	people to use uh direct current instead of alternating current and he Edison
[84] 12:17	made these films where he would electrocute elephants with alternating current and this had this had a really
[85] 12:25	profound effect on a lot of people and his mother was so terrified of
[86] 12:30	alternating current that she refused to have a fridge in her
[87] 12:38	home but uh uh in his early 990s um I should say actually at that
[88] 12:45	point would be late in his mid 80s um yeah it's been 10 years hasn't it um his
[89] 12:53	yeah it's been as while so in his mid 80s um he got food poisoning he got food
[90] 12:59	poisoning from his lter as doctor finally told him yeah you're G to get a fridge that's your
[91] 13:06	[Laughter]
[92] 13:14	prescription so he he he turned like 86 and for the first time in his life got a
[93] 13:20	[Laughter]
[94] 13:26	fridge oh he hated computers oh he's so hated computers uh he did use computers he had
[95] 13:33	a computer yeah he had an apple he would type his books on on
[96] 13:40	Apple he used it as a word processor yeah he used it only as a word processor he never did yeah he never did any fancy
[97] 13:46	fonts or anything on that he did all his fonts by hand he did his Hier that all his
[98] 13:52	hieroglyphs were done by hand um he did not trust computers in that way
[99] 14:00	but um but yeah he had a computer and he did use it um I had to help him once burn a
[100] 14:08	CD and it was kind of funny because we were um up in his office and in and
[101] 14:15	Amber cromi uh Square which is where the University of Liverpool is and Alan Mard
[102] 14:21	myself and Ken are trying to show Ken how to use a CD ROM drive
[103] 14:30	it was it was hysterical it was absolutely it was funny here's because someone sent him a
[104] 14:37	CD a CD ROM it's like okay this is how you use it there's a slot on the side of
[105] 14:42	your computer you stick it in and it just comes up on your [Laughter]
