[0] 1:13	[Music]
[1] 1:20	hello and welcome back to our 20 second live stream uh here on agent chipped in
[2] 1:25	the bible uh where we answer your questions on ancient egypt and the bible
[3] 1:32	today uh same as always this is our friday night live stream
[4] 1:38	and what we do is we take your questions now the format is the same as always
[5] 1:45	uh super chats have priority this shouldn't come as a surprise to anyone
[6] 1:50	uh if you aren't doing a super chat and you still want to direct a question to me please put a q and a colon in front of
[7] 1:57	it so i know it's not being directed to other people in the chat
[8] 2:03	i also ask that if yet you ask your question only once
[9] 2:08	and so i don't so i when i scan it later on for non-super chats i know which ones
[10] 2:14	i've already done i also ask that if you ask any question
[11] 2:19	concerning say a bible reference or a um
[12] 2:26	a foreign word that you give me a little bit of context so that i know
[13] 2:32	how to respond to it like for example if it's a former tell me what you think it means
[14] 2:37	or if it's a bible verse give me the uh book and the verse number so that i can
[15] 2:43	actually look it up and actually read it and get it in this context okay
[16] 2:49	so with that said let's get into this uh the first question we're gonna take
[17] 2:55	tonight is actually not a super chat
[18] 3:00	all right our first question is from alex and he says i am from serbia so i
[19] 3:06	can't watch this one live ah we wish you could be live to see this
[20] 3:12	since we're answering your question is there any evidence that giannis and
[21] 3:18	jean-bres from second timothy 3 8 are egyptian names from the new kingdom
[22] 3:24	and could they fit as priests during ramses okay
[23] 3:30	now what we actually have here as is um
[24] 3:37	a bit of jewish apocrypha so this is actually a reference to
[25] 3:45	to apocrypha now what happened was in the course of say
[26] 3:52	jewish legend where people were unnamed they
[27] 3:57	jewish scribes would often assign names to them so
[28] 4:03	in the case of exodus 7 10-12 where moses is has his big
[29] 4:10	showdown with the magicians of egypt so this is where they take in the staffs and
[30] 4:15	they're throwing it down and turning them into snakes okay so it's that big showdown
[31] 4:23	jewish scribes decide to fill in some of the backstory here by assigning names to
[32] 4:28	some of those magicians so
[33] 4:33	out of this we get references to giannis and john brays
[34] 4:40	now these are not exactly egyptian names and and i don't think anyone would actually
[35] 4:46	think they are egyptian names but what they are is their their their
[36] 4:52	israelite attempts to try to make um
[37] 4:58	to add a little background to the story and it's interesting because we actually find this reference to giannis and um
[38] 5:05	jambres actually in several works of apocrypha apocalyptic uh sorry
[39] 5:12	apocryphal literature for example there's a whole book uh the
[40] 5:17	apocrypha of genres and gembres the magicians
[41] 5:22	there is also they're also referenced in the targum of pseudo-jonathan
[42] 5:29	they're also in the gnostic gospel of nicodemus
[43] 5:36	so we we find these in just a wide array it was even known these these names were
[44] 5:43	known even to to the um some of the people at qumran
[45] 5:50	so what happens is that jeans and jean brace become part of the
[46] 5:55	cultural background so what timothy is actually quoting here is part of the apocrypha
[47] 6:03	so they're not a part of the original canonical story
[48] 6:09	but they're part of say the additional lore if if we were to use this so there's a
[49] 6:16	core true exodus study or exodus account
[50] 6:21	and then there's say these additions that will took place afterwards this is part of those additions afterwards
[51] 6:30	so we're not talking here about something that's um as as
[52] 6:37	um emphasizing somebody who's real genres and genres aren't real
[53] 6:44	they are what they are is they are archetypes and and timothy here is using them as as
[54] 6:51	as archetypes not as specific individuals so
[55] 6:57	this comes out of the background literature of the ancient near east so anyway
[56] 7:02	thank you very much for that question it was a very interesting question so it's why we picked it first okay
[57] 7:08	so now we can get to the super chats
[58] 7:13	okay our first super chat comes from reginald donohue thank you very much for
[59] 7:19	four pounds 49 very much appreciate it thank you very much
[60] 7:24	uh do you know any good resources on the zoo archaeology egypt nubia ancient near east etc
[61] 7:33	my dislikes to uh elephants hippos and the ivory trade in
[62] 7:38	these regions okay um there's actually a fair bit packed in
[63] 7:46	there okay now there is one book that really springs to mind here uh um concern and
[64] 7:54	it's really it's called the mammals of egypt or sorry the mammals of ancient egypt
[65] 7:59	it's by dale j osborne and jana osbornova
[66] 8:05	and it's published by warmest uh warminster uh from warminster england arson phillips
[67] 8:11	and copyright date is 1998. uh it's probably the
[68] 8:17	main book on say mammals in egypt and the ancient near east
[69] 8:22	so that's probably the the big key booker that i would recommend here it's getting a little hard to get now
[70] 8:29	um like like all of these you know once they sort of fall out of print the price skyrockets
[71] 8:35	so i don't know you might have to get a scanned copy but it's really good it's
[72] 8:41	really good it's a large format too so um it's well worth getting um
[73] 8:47	as far as other forms of zoo archaeology like reptiles it's kind of hard to say to be honest
[74] 8:53	there was i think a little booklet done on say the insects of egypt at one point too i don't remember who did it
[75] 9:01	um the ivory trade you might actually be a little better
[76] 9:07	off looking specifically at say the history of abidos because that's where all the history trade
[77] 9:14	or sorry the ivory trade funneled into egypt was at the city of abidos
[78] 9:21	so there's there's um baidos and elephantini for that matter
[79] 9:26	elephantini also had a lot of the ivory trade come through there so there's some
[80] 9:33	there's some much more um much more going on there
[81] 9:38	than would you might get from say um a book on zoo archaeology
[82] 9:44	if that's what you're looking for which is the history of the ivory trade so uh another place to look also might
[83] 9:51	be some of the um punt expeditions too there was some work on
[84] 9:57	um i wrote an article once on the uh punt expedition of hatshepsut and talked a
[85] 10:04	little bit of the about the ivory trade there also not much mind you but uh i touched on it but there were other
[86] 10:10	people who did did talk about it so anyway uh there's a lot there to
[87] 10:15	explore i'm sure there's a lot more there that can be found anyway thank you very much for the
[88] 10:21	question and thank you for the super chat very much appreciated
[89] 10:26	okay super chat number two by tom web check
[90] 10:34	thank you very much for the super chat very much appreciated was ancient egypt a type of free market
[91] 10:41	economy if not how would you describe their economic system okay
[92] 10:48	um i'm going to just throw up a little bit of eye candy here this is a photograph i took of in a real
[93] 10:56	egyptian market when i was in aswan uh in 2019
[94] 11:04	uh these markers generally run at night um they are
[95] 11:09	when you when you go to a a egyptian city in the morning it's dusty it's dirty it's drab
[96] 11:16	but when you go there at night it becomes this just explosion of color and light smells and sounds
[97] 11:24	um it is just amazing i mean and frankly as one is one of my favorite markets in
[98] 11:32	all of egypt i like it better than the the sukket lux or a bit like it better than the suka cairo in fact in fact i
[99] 11:38	kind of hate the suka cairo but the one at luxor is good too but
[100] 11:43	my favorite's the one that has one as one is just let's just say just beautiful um
[101] 11:50	it's just a sight to behold the smells the the sounds i mean it's just just
[102] 11:55	absolutely an amazing experience if you ever get the opportunity just to see it
[103] 12:01	now with that said um they did have a kind of free market
[104] 12:09	economy and i'll say this a kind of free market economy
[105] 12:14	egypt worked on what we call a barter system so
[106] 12:19	they didn't have have money everything was traded uh you wanted to
[107] 12:26	buy a coffin you would have to trade some boxes some balls of wine some shoes
[108] 12:32	and it would be all that would be evaluated out according to a standardized unit called the debin
[109] 12:40	and people did trade all the time now
[110] 12:46	within this specific economy you didn't have freedom of movement so
[111] 12:52	you couldn't say go to another town and and trade your wares you're pretty much stuck where you were
[112] 12:57	nobody in ancient egypt had freedom of movement so it really sort of depends what you mean by free in as far as free economy
[113] 13:07	it was free insofar as that you could grow what you were allowed to grow
