[0] 1:48	Heat.
[1] 1:51	Hey. Hey. Hey.
[2] 4:44	Hello and welcome to this our 200
[3] 4:46	137th live stream. Tea spilled all over
[4] 4:49	the floor and boy did it make a mess.
[5] 4:54	[laughter]
[6] 5:00	[laughter]
[7] 5:02	Ah, this is fun.
[8] 5:05	[laughter]
[9] 5:06	Okay, welcome to our uh our regular live
[10] 5:10	stream where we take your questions on
[11] 5:11	ancient Egypt and the Bible. Uh, we
[12] 5:14	don't have a lot of channel business
[13] 5:15	tonight cuz basically ETSs season is
[14] 5:19	over, conference season is over. Thank
[15] 5:22	goodness it was a roller coaster. So,
[16] 5:25	uh, the only thing we want to do for
[17] 5:27	channel business is to basically remind
[18] 5:30	you to buy my book, Reoquery of the
[19] 5:32	Dead, and please leave a review on
[20] 5:33	Amazon. That would help the channel an
[21] 5:35	awful lot. Uh, we are going to T as an
[22] 5:40	ETS est. [laughter]
[23] 5:45	Could be
[24] 5:50	that comment.
[25] 5:52	Yep. [laughter]
[26] 5:54	Lots of spilled tea.
[27] 5:58	Uh, mama says, "Doc, 11year-old
[28] 6:00	requests, I tell you." She says, "Hi."
[29] 6:02	Hello. Hi. [laughter]
[30] 6:06	Good to have you here tonight.
[31] 6:09	Okay. Uh
[32] 6:11	let's get into the rules and then let's
[33] 6:13	get into the questions.
[34] 6:15	Okay. The rules are the same as always.
[35] 6:18	Uh super chats have priority. No
[36] 6:20	surprise there. We do take non-super
[37] 6:22	chat questions and we ask that you put a
[38] 6:24	Q and a colon in front of it. Uh only
[39] 6:27	post your nons super chats once.
[40] 6:30	If it's something from the Bible, we
[41] 6:32	need what book, chapter, and verses from
[42] 6:35	so we can look up the text to see what
[43] 6:38	it says.
[44] 6:40	Uh, you can sponsor super chats, but we
[45] 6:43	ask that you copy the super chat in or
[46] 6:45	the the the question you're sponsoring
[47] 6:47	into the super chat. That way, we don't
[48] 6:49	have to hunt for it. And then finally,
[49] 6:51	one question per chat. This just is fair
[50] 6:54	to everyone that
[51] 6:56	question stacking is just not a good
[52] 6:58	thing. All right. So, those are the
[53] 7:00	rules and we're glad you could join us
[54] 7:02	tonight and we are just going to start
[55] 7:04	getting into this.
[56] 7:07	Okay. Now, there was a nons super chat
[57] 7:11	that was that we were going to take and
[58] 7:12	I forgot to clip it and you might have
[59] 7:15	seen it on the something related to it.
[60] 7:18	I asked I don't know if it was Harry
[61] 7:19	Stark or Dark Blade who posted it on um
[62] 7:25	was Peter the first pope
[63] 7:28	and what did I think of that that
[64] 7:30	particular that idea? Take that down
[65] 7:32	now. Unpin it. Um I don't know what the
[66] 7:36	exact phrasing of the question was. Uh
[67] 7:38	but I would like to take that one
[68] 7:40	because I do have an opinion on that.
[69] 7:44	Um
[70] 7:46	the idea that that Peter was the first
[71] 7:51	bishop of Rome aka pope
[72] 7:54	is exceptionally the evidence for that
[73] 7:57	is exceptionally thin.
[74] 8:00	Okay. Uh I want to make that very very
[75] 8:04	clear that we do not have
[76] 8:08	um the evidence for this is not good.
[77] 8:14	Okay. Now,
[78] 8:17	uh we don't have any early sources that
[79] 8:20	say that Peter went to Rome. None. Zero.
[80] 8:23	We have a few early sources that said he
[81] 8:25	went to Asia Minor. We have lots of good
[82] 8:27	sources that say he stayed in Jerusalem.
[83] 8:30	Um
[84] 8:33	probably we do have one good candidate
[85] 8:38	for
[86] 8:40	um an apostle that did go to Rome and
[87] 8:42	stayed there a long time
[88] 8:45	which was Paul.
[89] 8:48	Paul we have lots of evidence for Paul
[90] 8:49	being in Rome.
[91] 8:51	He he made the journey to Rome to appeal
[92] 8:55	to the emperor.
[93] 8:57	We have lots of evidence of him making
[94] 9:00	the journey, you know, having to prove
[95] 9:03	his Roman citizenship.
[96] 9:06	Uh he stayed in Rome for many years.
[97] 9:09	We've got lots of good evidence for Paul
[98] 9:14	being in Rome.
[99] 9:16	Absolutely fantastic evidence for Paul
[100] 9:19	being in Rome.
[101] 9:21	We've got
[102] 9:24	practically nothing for Peter being in
[103] 9:27	Rome. In fact, the only the only
[104] 9:31	evidence we really have is some late
[105] 9:33	documents that try to establish the um
[106] 9:39	the um succession of of popes. And it's
[107] 9:44	not good evidence. It's not good. It's
[108] 9:47	very late. Uh there's there's things
[109] 9:49	about the document that is really
[110] 9:50	contested.
[111] 9:52	Um it does tend to rely on spurious
[112] 9:55	sources
[113] 9:57	though
[114] 9:58	we
[115] 10:00	we have almost nothing. The evidence for
[116] 10:02	Peter being the first pope is thin,
[117] 10:06	very very thin.
[118] 10:12	So,
[119] 10:14	um,
[120] 10:17	so yeah. Um, but but as I said, um,
[121] 10:22	AJ Higgins says,
[122] 10:27	uh, 1 Peter 5:13 mentions Babylon. I've
[123] 10:30	heard that's a reference to Roman,
[124] 10:31	except there's no there's there's no
[125] 10:33	evidence for that. There's no
[126] 10:35	correspondence
[127] 10:37	to 1 Peter 5:13 being Babylon.
[128] 10:41	Is Babylon referring to the city of
[129] 10:43	Babylon? Is it referring to the
[130] 10:44	spiritual Babylon? In which case, that
[131] 10:46	could be Jerusalem.
[132] 10:49	That's more likely to be Jerusalem if
[133] 10:50	he's talking about spiritual Babylon
[134] 10:52	than is Rome.
[135] 10:55	So,
[136] 10:57	so again, the the evidence here is
[137] 11:00	incredibly
[138] 11:02	incredibly thin.
[139] 11:05	As I said, the only the only candidate
[140] 11:07	we have that's really really a good
[141] 11:11	um you know, the only apostle that we
[142] 11:14	know with with certainty that was in
[143] 11:17	Rome was Paul. And Paul makes no
[144] 11:21	reference to Peter ever being in in in
[145] 11:24	Rome.
[146] 11:25	Now, Paul makes reference to Peter being
[147] 11:27	in Jerusalem,
[148] 11:29	but never in Rome.
[149] 11:32	That's a that's going to be a tough
[150] 11:33	cell.
[151] 11:35	But the problem is going to be for say
[152] 11:38	Roman Catholics is that
[153] 11:42	Paul doesn't have the same jingling of
[154] 11:43	the keys that that Peter has. [laughter]
[155] 11:50	Okay? It's those jingling of the keys
[156] 11:53	>> [laughter]
[157] 12:00	>> Yeah. Yeah. And plus that punning of the
[158] 12:02	rock thing. Yeah.
[159] 12:03	>> It's all
[160] 12:05	>> It's all about the punning of the rock.
[161] 12:08	>> So, hey Jack Ray, your puns are used in
[162] 12:12	scripture.
[163] 12:13	>> Yeah. Jesus uses that pun of the rock to
[164] 12:16	talk to Peter. [clears throat]
[165] 12:19	But it's clear also from that passage
[166] 12:20	that Christ is the Petra and Peter is
[167] 12:24	the Petros
[168] 12:26	big rock.
[169] 12:29	Ity bitty rock.
[170] 12:32	So um but it's a jingle of the keys that
[171] 12:35	that that that really that um that Roman
[172] 12:39	Catholicism wants to see the founding
[173] 12:42	apostle have. So,
[174] 12:47	but yeah, we don't have ev any evidence
[175] 12:48	at all that Peter ever went to Rome.
[176] 12:51	It's tradition and that's really about
[177] 12:53	it. That's all all we got. So, but
[178] 12:56	again, excellent evidence for for Paul
[179] 12:59	going to Rome. Lots of evidence for him
[180] 13:01	going to Rome. you know, he in his in
[181] 13:04	his journey to Rome, he he chronicles
[182] 13:05	it, you know, has a couple shipwrecks,
[183] 13:08	you know, uh he has to stop at every
[184] 13:13	every Roman governor in the path. So,
[185] 13:18	[laughter]
[186] 13:19	I mean, if you want if you want a a
[187] 13:21	apostolic candidate for the founding of
[188] 13:24	of the church in Rome, it's Paul. Really
[189] 13:27	is. So, I know that's going to tick some
[190] 13:30	people off, but hey, but it was a good
[191] 13:32	question. I wanted to take that and I
[192] 13:33	want to make sure it got in there. So,
[193] 13:36	um, [clears throat] whoever did ask
[194] 13:38	that, you don't need to ask it again
[195] 13:39	because I just answered it.
[196] 13:42	Okay,
[197] 13:43	move on. Next one here, our first super
[198] 13:46	chat here
[199] 13:50	[clears throat]
[200] 13:52	is from um Xiaawi uh for six uh I think
[201] 13:57	it's Myanmar.
[202] 13:59	Uh what does temples in Romans 2:20
[203] 14:03	refer to? Okay, excellent question.
[204] 14:05	Let's get that up there
[205] 14:09	and
[206] 14:12	we'll read the text. And it's actually
[207] 14:13	Romans 2:22. You made me hunt for this.
[208] 14:18	You say that one should not commit
[209] 14:20	adultery. Do you commit adultery?
[210] 14:23	You who have bore idols, do you rob
[211] 14:26	temples? Okay.
[212] 14:29	This is a passage on hypocrisy
[213] 14:33	and the temples being referred here are
[214] 14:36	literal pagan temples.
[215] 14:39	Okay, that's what's actually being
[216] 14:42	referred to here.
[217] 14:44	Now, it seems a little counterintuitive
[218] 14:47	that Paul is telling people don't rob
[219] 14:49	pagan temples,
[220] 14:52	but that's exactly what he's getting at.
[221] 14:54	He's getting at the hypocrisy here. You
[222] 14:58	say you don't, you know, not to commit
[223] 15:01	adultery. Are you committing adultery?
[224] 15:04	Are you being a hypocrite about this?
[225] 15:07	You say you abhore [ __ ] [ __ ] idols. Do
[226] 15:11	you steal their money?
[227] 15:13	You know, if you abhore idols, why do
[228] 15:16	you want their money?
[229] 15:18	You know, it's it's it's the hypocrisy
[230] 15:22	of repaying
[231] 15:24	evil with evil. Okay.
[232] 15:28	So he's taking that first first part of
[233] 15:31	it and saying, "Hey, you know, it's one
[234] 15:34	level of hypocrisy
[235] 15:36	to
[236] 15:38	to
[237] 15:40	say not to do something and then do it
[238] 15:42	yourself. It's another level of
[239] 15:44	hypocrisy to say you hate something and
[240] 15:48	then steal from that thing to enrich
[241] 15:50	yourself."
[242] 15:53	So, it really is saying do not repay
[243] 15:55	evil with evil. You know, you hate
[244] 15:58	idols. Great. Fantastic.
[245] 16:01	Don't steal their money. Don't burn
[246] 16:03	their temples. Just leave them be. Let
[247] 16:06	the tears be tears. Let the angels deal
[248] 16:08	with that.
[249] 16:13	So, that's what this means. The temples
