[0] 0:19	Oh,
[1] 0:22	hey.
[2] 0:53	Heat.
[3] 1:12	Heat.
[4] 1:59	Ah.
[5] 2:03	Hey. Hey.
[6] 4:59	Hello and welcome to this our 238th live
[7] 5:03	stream.
[8] 5:04	I've got your emails. [laughter]
[9] 5:10	I've got your emails because either you
[10] 5:13	sent me some email which I never
[11] 5:15	answered. Sorry about that. or because
[12] 5:19	somebody else sent you their emails,
[13] 5:22	somebody else's emails that were saying
[14] 5:24	not so nice things about me. See the uh
[15] 5:27	the uh Monday video on the uh ETSs
[16] 5:31	spilled tea and you'll understand that
[17] 5:33	reference. Okay. Uh by the way, there
[18] 5:37	are actually two more episodes of the
[19] 5:39	ETSs spilled tea coming up Monday and
[20] 5:42	the following Monday and then we are
[21] 5:43	back to our regular programming. So, we
[22] 5:46	hope you enjoyed the insiders look into
[23] 5:50	the uh 2025 conference season and we
[24] 5:53	hope that uh
[25] 5:56	that you enjoy the insights.
[26] 5:59	We also want to remind everyone to uh if
[27] 6:01	you haven't already, please buy a copy
[28] 6:04	of the uh Reoquery of the Dead and leave
[29] 6:07	a review on Amazon. It really helps us.
[30] 6:09	We also this week published our um our
[31] 6:14	first book trailer too on Wednesday. So
[32] 6:17	that was interesting and uh it really
[33] 6:20	hasn't moved the needle on on on the
[34] 6:22	book all that much but uh it was it was
[35] 6:25	an interesting process to do. So T
[36] 6:28	trilogy. Yep. Tilogy.
[37] 6:31	Exactly.
[38] 6:34	>> [laughter]
[39] 6:36	>> Well, last year we only had we only had
[40] 6:37	two-parter because it was shorter. The
[41] 6:39	season was shorter. This year was
[42] 6:41	longer, so we got a lot more tea. So,
[43] 6:47	Andrew Grim, what Dr. Faulk has enemies?
[44] 6:50	Laugh out loud. Yeah, I know. Shocking.
[45] 6:52	Shocking. You know, just just when you
[46] 6:54	think everyone loves you, you find out
[47] 6:56	you have enemies. What What can you say?
[48] 6:58	[laughter]
[49] 7:02	Okay.
[50] 7:04	So, with that said, let's get into the
[51] 7:05	rules of the live stream and then we can
[52] 7:09	uh start doing our um our usual Q&As's.
[53] 7:13	Now, um the rules are the same as
[54] 7:15	always. Super chats have priority. No
[55] 7:18	surprise there. We do take non-s super
[56] 7:20	chats, but we ask that you put a Q and a
[57] 7:22	colon in front of it. That way, we know
[58] 7:24	it's directed to us.
[59] 7:26	Um only post your non-sup chats once. Uh
[60] 7:30	question spamming will get your question
[61] 7:32	disqualified for the night. [snorts]
[62] 7:35	Uh if it's has to deal with something in
[63] 7:38	the Bible, we ask that you give us some
[64] 7:40	context.
[65] 7:42	So we need the book, the chapter, and
[66] 7:46	the verse so we don't have to go hunting
[67] 7:48	for it because we really can't give you
[68] 7:50	a full answer without context. So we
[69] 7:53	need that context.
