[0] 1:48	Heat. Hey, Heat.
[1] 4:42	Heat. Heat. N.
[2] 6:17	Hello and welcome to this our 239th live
[3] 6:21	stream. Monsters of Myth and Rubber
[4] 6:24	Chicken. [laughter]
[5] 6:29	And if you have no idea what that's
[6] 6:31	about, you need to see the Monday video.
[7] 6:34	So, [laughter]
[8] 6:37	you know, there's nothing better than
[9] 6:38	having monsters of myth with rubber
[10] 6:40	chickens. [laughter]
[11] 6:42	Yum. [snorts]
[12] 6:46	We want to welcome you welcome you to uh
[13] 6:49	this Friday's uh live stream where we
[14] 6:51	take your questions on ancient Egypt and
[15] 6:54	the Bible. We we appreciate you joining
[16] 6:58	us here tonight. Uh the channel business
[17] 7:00	is
[18] 7:02	[laughter]
[19] 7:03	what's that?
[20] 7:04	>> Is the rubber chicken a spirit?
[21] 7:06	>> Is the rubber chicken a spirit critter?
[22] 7:10	Wow, that is a great question. Um
[23] 7:15	[laughter]
[24] 7:19	to my knowledge, no. It was served at
[25] 7:21	the ETS banquet and it was rubber.
[26] 7:24	[laughter]
[27] 7:25	Lovely. Lovely.
[28] 7:29	[laughter]
[29] 7:36	This could be a spirit critter. I guess
[30] 7:38	[laughter]
[31] 7:44	John says, "Rubber chicken, did someone
[32] 7:46	get a time machine and steal my
[33] 7:47	childhood dinners?" Possibly. It's
[34] 7:51	possible.
[35] 7:55	Plan out a little here.
[36] 7:57	Okay. So, uh we want to welcome you all
[37] 8:00	again tonight. Uh just a little bit of
[38] 8:02	channel uh business for those of you who
[39] 8:05	are interested in the fanfiction
[40] 8:07	contest. The results are going to be
[41] 8:08	announced next week and those who
[42] 8:11	participated will get uh and w will get
[43] 8:15	certificate and feedback. Okay.
[44] 8:20	Unfortunately, we didn't get enough
[45] 8:22	entries to publish it, but we it is
[46] 8:23	always next year. And if we get enough
[47] 8:26	entries next year, we could then publish
[48] 8:28	them all in a combined volume. But we
[49] 8:31	did get enough to have uh fill all the
[50] 8:34	places. So, that's good. Uh second piece
[51] 8:37	of channel business, uh Christmas is
[52] 8:39	coming up, you guys. Uh, and if you
[53] 8:43	haven't bought uh, Reoquary of the Dead
[54] 8:45	or the sequel novel, All the Stars as
[55] 8:48	Angels,
[56] 8:52	you know, consider giving yourself a
[57] 8:54	Christmas present or somebody else you
[58] 8:56	love. Uh, for those of you who are
[59] 9:00	watching this, who who read on ebooks,
[60] 9:03	the ebooks are right now on sale at half
[61] 9:05	off, so they're $2.99. So, uh this is a
[62] 9:10	great great time to to pick up the books
[63] 9:13	cheap and and uh enjoy a really good
[64] 9:17	read.
[65] 9:19	Okay, so
[66] 9:22	uh let's get into the that's the channel
[67] 9:25	business. Let's get into um the rules
[68] 9:30	and then let's start taking your
[69] 9:31	questions.
[70] 9:33	Um
[71] 9:35	uh super chats have priority. No, no
[72] 9:38	surprise there. That should be that's
[73] 9:40	true on any channel.
[74] 9:42	Uh, we do take non-super chat questions,
[75] 9:44	but we ask that you put a Q and a colon
[76] 9:46	in front of it.
[77] 9:49	Only post nons super chat questions
[78] 9:51	once. Question spamming will get your
[79] 9:53	question uh disqualified for the night.
[80] 9:57	If you quote something from the Bible,
[81] 9:59	we need some context. So, we need what
[82] 10:01	book it's from, what chapter, and what
[83] 10:03	verse.
[84] 10:05	We ask that if you sponsor a super uh
[85] 10:09	non-s super chat that you include the
[86] 10:10	question in the super chat so we don't
[87] 10:13	have to go hunting for it. It saves us
[88] 10:14	time and dead air. And finally, one
[89] 10:18	question per chat. Uh we question
[90] 10:22	stacking isn't fair to anybody, so we
[91] 10:24	don't allow it anymore. All right, so
[92] 10:26	that said, let's get into the questions.
[93] 10:36	Uh, Dark Blade question for next year's
[94] 10:38	fanfiction rules. Is the guy that Trash
[95] 10:40	Panda calls Nemesis a current living
[96] 10:43	human being?
[97] 10:45	Yes, he is. But his identity is so
[98] 10:49	obscured by Nemesis, we might allow it.
[99] 10:54	Okay. So if it's someone that's that's
[100] 10:57	that's whose really identity is is
[101] 11:01	obscured to the point that you can't
[102] 11:02	figure out who it is, at least not
[103] 11:04	easily,
[104] 11:06	um we would probably allow it. If if you
[105] 11:09	can figure out who it is easily, yeah,
[106] 11:11	we can't we can't have that. So So that
[107] 11:14	would be the difference.
[108] 11:20	Uh CPM versus DOSS. need my new card to
[109] 11:23	get here so I can get [clears throat]
[110] 11:25	the audio book. Well, I hope you do get
[111] 11:27	the audio book. Um, we didn't get a lot
[112] 11:30	of people buying the audio book. Um, the
[113] 11:34	results on that have been rather
[114] 11:35	disappointing.
[115] 11:37	So, uh, we're unlikely to do future
[116] 11:40	audio books if we don't get more sales
[117] 11:43	on that because basically the time
[118] 11:45	involved in producing an audio book is
[119] 11:48	expensive.
[120] 11:50	Whoa. It's a lot of work. It really is.
[121] 11:54	It's It takes about 30 40 hours to
[122] 11:58	produce an audio book. It really takes a
[123] 12:00	huge amount of time and people don't
[124] 12:02	understand how much time is involved in
[125] 12:04	an audio book. There's a reason why
[126] 12:06	they're as expensive as they are. So,
[127] 12:09	um, so yeah, if you want future audio
[128] 12:12	books, you got to got to support the
[129] 12:13	existing one.
[130] 12:16	Okay. So, next one here.
[131] 12:19	Let's start getting into the questions
[132] 12:20	here. Uh we'll take start off the night
[133] 12:23	with some non-super chats.
[134] 12:26	Our first one here is from married root
[135] 12:29	beer. Okay. [laughter]
[136] 12:33	Uh first time I've seen that name. I'm
[137] 12:36	planning on wanting to become an
[138] 12:38	Egyptologist. I'm so sorry. [laughter]
[139] 12:43	>> It is cool. But
[140] 12:47	[laughter]
[141] 12:48	uh she he or she says and I'm looking to
[142] 12:51	apply at the University of Pisa in
[143] 12:53	Italy. Is this a good school for their
[144] 12:56	course within Egyptology? Okay. Uh
[145] 13:01	the the faculty you you really have to
[146] 13:05	judge a Egyptology program by its
[147] 13:08	faculty. Okay. Who's who's there?
[148] 13:13	And there's only one Egyptologist on
[149] 13:16	staff there.
[150] 13:19	So, um I'm reticent to give a
[151] 13:22	wholehearted endorsement
[152] 13:25	to a faculty where there's only one
[153] 13:27	Egyptologist on staff.
[154] 13:30	Um I almost always recommend that you I
[155] 13:34	mean Egyptology departments are usually
[156] 13:36	not big. Okay.
[157] 13:38	uh Liverpool had seven people and it's
[158] 13:40	the biggest uh uh largest faculty in say
[159] 13:46	outside of Egypt.
[160] 13:48	So
[161] 13:50	um
[162] 13:52	generally if it's got two or more
[163] 13:54	professors full-time instructors then by
[164] 13:57	all means just go for it.
[165] 14:00	Um you can here's what I would
[166] 14:02	recommend. Uh I don't know what stage
[167] 14:05	you're at. I don't know if you're at the
[168] 14:06	master's level or PhD level or what
[169] 14:08	you're going for. If you're going for a
[170] 14:10	master's degree, it matters less.
[171] 14:14	I think if you're if you're doing a
[172] 14:16	master's degree, you'll probably get a
[173] 14:17	fine education at Pisa. Okay. Um the
[174] 14:21	school itself has a pretty good
[175] 14:22	reputation. Um I just worry about the
[176] 14:26	how fullthroated a
[177] 14:29	an education you're going to get
[178] 14:31	specifically in Egyptology there with
[179] 14:33	only one professor.
[180] 14:36	Because if you only got one one
[181] 14:38	instructor, only one guy teaching
[182] 14:40	Egyptology classes, he can't do it all.
[183] 14:44	He can't cover a wide birth of of of
[184] 14:49	classes because here's what's going to
[185] 14:50	happen. If his full teaching load is
[186] 14:52	going to be five classes, your full
[187] 14:54	learning load is going to be five
[188] 14:55	classes. Okay, that's going to be fine
[189] 14:57	year one. But what happens in year two
[190] 15:00	when he has to teach the same class the
[191] 15:03	next year?
[192] 15:05	there's going to be a certain number of
[193] 15:06	those classes he has to teach every
