[0] 0:00	Heat. Heat.
[1] 4:54	Hello and welcome to this our 240th live
[2] 4:57	stream. last of the winter tea. Uh we
[3] 5:01	want to wish you a very merry Christmas
[4] 5:04	and happy holidays. Uh since we are on
[5] 5:08	the cusp of Christmas, we will be doing
[6] 5:10	a live stream on Boxing Day. So that's
[7] 5:13	still going to go off as normal and that
[8] 5:14	will be our last live stream of the
[9] 5:16	calendar year. So we're glad you could
[10] 5:18	join us tonight and we got a lot of uh
[11] 5:24	lot of channel business today. Okay. So,
[12] 5:29	uh again, we we want to wish everyone a
[13] 5:32	merry Christmas. Uh if you celebrate
[14] 5:35	Christmas, and if not, uh happy Hanukkah
[15] 5:37	or if you c celebrate nothing at all,
[16] 5:40	well, we hope you still have a festive
[17] 5:42	season. All right.
[18] 5:46	What is Boxing Day? It's a fake um It's
[19] 5:50	a fake holiday used by by Canadian
[20] 5:53	retailers. That's what it is.
[21] 5:56	>> The day you
[22] 5:58	were door men.
[23] 6:00	>> Yeah. In some places you tip your
[24] 6:02	doorman and all that. So, but it
[25] 6:04	actually started off as a retail
[26] 6:05	holiday.
[27] 6:07	So, it just 19th century retail holiday.
[28] 6:13	So, ah, mama's in the house. Awesome.
[29] 6:16	All right, let's get on with the rest of
[30] 6:18	the channel business and then we'll get
[31] 6:19	to back to the um all the rest of this.
[32] 6:24	Okay. Um,
[33] 6:26	we are going to we are finally going to
[34] 6:28	announce the winners of the ancient
[35] 6:30	Egypt and the Bible channel lore
[36] 6:32	fanfiction writing contest 2025.
[37] 6:36	And we've got two honorable me um um uh
[38] 6:40	honorable mentions as well as the first,
[39] 6:43	second, and third place. Okay. Um
[40] 6:46	honorable mention goes to an
[41] 6:49	illustration of the sound Fenic Fox by
[42] 6:52	Mr. uh Trash Rat. The second honorable
[43] 6:56	mention goes to Portrait of Mr. EC by
[44] 7:01	Mrs. Trash Rat. So that's very cool.
[45] 7:05	Third place goes to Quest for the Mana
[46] 7:09	Machine by Dr. Not.
[47] 7:12	Second place goes to
[48] 7:15	uh Afale and Ashel's Bizarre Adventure
[49] 7:20	by Aon uh Cyber Nessios.
[50] 7:25	And then the first place winner of the
[51] 7:29	Channel Lore fanfiction writing contest
[52] 7:31	for November 2025
[53] 7:33	is an Earth sign tale by Shan Head. We
[54] 7:37	want to thank everyone who participated
[55] 7:39	in the writing contest. Uh it was a very
[56] 7:42	um very difficult contest to judge but
[57] 7:46	we appreciate all the people who pitched
[58] 7:48	in and donated their work for um uh for
[59] 7:53	judging. We we we will be sending you
[60] 7:56	your uh electronic certificate shortly.
[61] 7:59	Okay. So that covers the first piece of
[62] 8:04	channel business. Next piece of channel
[63] 8:06	business is that uh the outstanding
[64] 8:11	creator awards for Reququery of the Dead
[65] 8:14	came in today and um we were quite
[66] 8:20	surprised. Um
[67] 8:22	we took
[68] 8:25	uh two awards and five honorable
[69] 8:28	mentions. Okay.
[70] 8:31	Uh, Ricory of the Dead took a second
[71] 8:34	place in their medal round champions,
[72] 8:38	which is their highest level of honors.
[73] 8:41	It took a first place in science in the
[74] 8:44	science fiction category, which was
[75] 8:47	always awesome.
[76] 8:49	It But what shocked me was the five
[77] 8:51	honorable mentions.
[78] 8:54	We got an honorable mention for best
[79] 8:56	world building. We've got an honorable
[80] 8:59	mention for
[81] 9:01	um Pierre Goule as best character.
[82] 9:05	We got another honorable mention for
[83] 9:08	Alicia Stripes for best supporting
[84] 9:10	character.
[85] 9:12	We got an honorable mention for Terry
[86] 9:14	Brandt for best villain. And the one I
[87] 9:19	kind of like the most, honorable mention
[88] 9:21	for Maat for cutest character.
[89] 9:25	So, um,
[90] 9:30	so we're walking away from this one with
[91] 9:32	with two awards and five honorable
[92] 9:35	mentions. So, um, this was a very, uh,
[93] 9:39	very nice, uh, way to start my Friday.
[94] 9:43	Okay, so, uh, that was the outstanding
[95] 9:46	creator awards for 2025. the um their
[96] 9:51	champion awards, which is sort of their
[97] 9:53	their their year-long combination of of
[98] 9:56	all sort of contests pitted against each
[99] 9:59	other. So, that was pretty cool. Pretty
[100] 10:01	cool. Um
[101] 10:04	that makes u the tally for the book so
[102] 10:07	far. We've this book uh reoquaryy of the
[103] 10:10	dead has now earned six awards and five
[104] 10:14	honorable mentions. So, very cool.
[105] 10:19	So, and if you haven't bought the book
[106] 10:21	already, please do so. And more more
[107] 10:23	importantly, please leave a review.
[108] 10:26	Reviews really, really matter. So, um we
[109] 10:31	would really appreciate that uh if you
[110] 10:34	did read the book that you leave a uh
[111] 10:38	book review on Amazon. It really
[112] 10:40	matters. So, we want to thank everyone
[113] 10:42	who's purchased this this year and
[114] 10:44	supported our efforts to
[115] 10:48	um reach the culture through fiction
[116] 10:51	because we think this is a really
[117] 10:52	important work that
[118] 10:56	um we as Christian leaders can do is I
[119] 11:00	mean it's it's one thing to preach the
[120] 11:02	gospel. It's one thing to answer your
[121] 11:04	questions. It's another thing to engage
[122] 11:06	those who have no contact or we would
[123] 11:09	never step into a church with teaching
[124] 11:11	and preaching. So we are really really
[125] 11:16	passionate about this work.
[126] 11:18	And for those of you who don't know,
[127] 11:21	we've also done the cover reveal for the
[128] 11:23	third book which is on my Substack. So,
[129] 11:28	uh, we are really, it's a really
[130] 11:29	exciting time right now on the channel
[131] 11:31	and we are really thrilled to be, um, to
[132] 11:35	be able to bring this work out to you.
[133] 11:38	Okay. Uh, we have one other thing which
[134] 11:40	is an unboxing.
[135] 11:42	Okay. Uh, one of our, uh, subscribers,
[136] 11:46	Stride and Hermit, has sent us a care
[137] 11:49	package, a gift for the end of the year,
[138] 11:52	and it was really nice. So, we are
[139] 11:54	unboxing it here.
[140] 11:57	And he gave us a bunch of stuff. He gave
[141] 12:00	us a bag of hibiscus flowers, which is
[142] 12:06	used for tea.
[143] 12:10	It gave us
[144] 12:13	a big old bag of kicking horse coffee.
[145] 12:16	Um,
[146] 12:18	full bean, I think. So, this will be
[147] 12:20	interesting.
[148] 12:24	He also sent us a bag of dried
[149] 12:28	elderberries. Not sure what I'm going to
[150] 12:30	do with this yet, but we'll we'll get
[151] 12:32	creative with it.
[152] 12:37	We also got
[153] 12:39	a uh Splenda coffee creamer. Always
[154] 12:44	nice.
[155] 12:52	Uh, two sticks of sausage, a chorizo
[156] 12:57	salami,
[157] 12:59	and a summer salami. Really, really
[158] 13:01	nice.
[159] 13:07	They also sent
[160] 13:09	a
[161] 13:11	um jar
[162] 13:14	of buckwheat honey.
[163] 13:19	Um,
[164] 13:20	this thing weighs a ton.
[165] 13:24	Really nice though. Really nice um gift.
[166] 13:28	And finally,
[167] 13:39	he sent us
[168] 13:42	a coffee maker. I've never seen this
[169] 13:44	kind of coffee maker before. It's one
[170] 13:46	that's actually put on a stove. Um, I
[171] 13:49	don't even know how to use this, but we
[172] 13:51	will figure it out. So, Strerid, thank
[173] 13:55	you very much for that very generous
[174] 13:57	gift. We really appreciate it, and we
[175] 14:01	hope you have a very, merry Christmas,
[176] 14:03	too. Thank you so very much for your
[177] 14:04	support.
[178] 14:06	Okay.
[179] 14:19	CBM very common here in the Midwest.
[180] 14:21	Yeah. Um buckwheat honey is very common
[181] 14:23	in the Midwest. Um you can't really get
[182] 14:25	it here, but um it is very common. It's
[183] 14:30	very good in uh barbecue sauce. Luckily,
[184] 14:33	honey makes excellent barbecue sauce.
[185] 14:36	So, uh very cool.
[186] 14:42	LCPM versus DOS. Oh, you mean the the
[187] 14:44	coffee pot everywhere? Yeah, I've never
[188] 14:46	seen that kind of coffee pot before.
[189] 14:48	It's it's it's one I've I I I've seen
[190] 14:51	the French presses uh drip coffee
