[0] 1:15	[Music]
[1] 1:22	hello and welcome back to uh ancient egypts and and the bible's uh live
[2] 1:28	stream this is our 25th live stream and uh
[3] 1:33	we are here to answer your questions on ancient egypt and the bible
[4] 1:38	now the title of this live stream the canonical age of levitical priests
[5] 1:46	comes from numbers 824 where it talks about those who enter into the service of of the
[6] 1:54	levitical priesthood being age 25 and then the next verse saying the
[7] 2:00	retirement age is 50. so that's the name of uh that's where we
[8] 2:06	get the name for tonight's live stream now
[9] 2:11	the live streams are going to be conducted the same way as we always do which is
[10] 2:17	super chat's get priority but if you're not uh if you're not doing
[11] 2:22	a super chat and still want to ask a question what you what we ask you to do is put a
[12] 2:28	q and a colon in front of the question so that we know that it's directed to me
[13] 2:34	and not within the live stream live chat we also ask that you ask the question only once so i can scan through and see
[14] 2:41	what i've asked what i've answered and what i've not and finally we ask if um
[15] 2:49	[Music] if you are going to reference say a bible verse or say a foreign word
[16] 2:57	tell give us the the reference for that verse or what you think the word means so that we have some context to try to
[17] 3:03	answer the question um finally i want to ask also that we we have two rules also on the live both in
[18] 3:12	in our youtube comments section and on these live streams we ask all participants to
[19] 3:18	keep things kind and keep things respectful we do love lively debate
[20] 3:25	but do it in the spirit of christian love and that's all we ask you know
[21] 3:30	we are not we're not representing any particular say political or religious position
[22] 3:36	however we do want to make sure that things remain friendly because we want to remain friends at the end of the day
[23] 3:42	so with that said let's get into the uh questions now
[24] 3:47	i've reserved a uh three non-super chats to begin with which
[25] 3:52	we're going to answer and then we're going to get to the super chats because i want to make sure we do get some non-super chats in two
[26] 4:01	so the first non-super chat is from chao yi
[27] 4:06	dr faulk do you know anywhere that offers syriac studies i am interested in studying the spread of historian
[28] 4:12	christianity along the silk road okay that is a great topic to study
[29] 4:19	and frankly not enough has been done on this so i think that's a wonderful wonderful topic to study
[30] 4:27	unfortunately i'm this is not my field of expertise um
[31] 4:32	most syriac studies are say new testament studies and i'm i'm really an old testament guy
[32] 4:39	so i can't advise you on on where to study because i don't know the
[33] 4:46	field of cereal studies well enough i have some textbook when you ask this
[34] 4:51	question i did go into my library and i looked up say my my books on
[35] 4:58	syriac and i've got some great books from syria uh about cereal studies but i also most of those people
[36] 5:05	are either long retired or deceased and you know i'm not sure the current how how many
[37] 5:12	people um are in the field right now currently studying um are doing research on syriac
[38] 5:19	so unfortunately um i can't help you here as much as i'd like to because i just
[39] 5:24	don't know so anyway thank you for the question um i
[40] 5:29	know you really wanted this question answered because you posted it twice i did notice that that was a no-no but
[41] 5:36	um i did take some time to try to find some at least a a a decent answer but i think
[42] 5:44	it's a great topic i think you should pursue it but i can't offer you uh advice here you
[43] 5:49	really have to ask someone who's much more familiar with new testament studies to to help you out here
[44] 5:55	anyway thank you very much for the question very much appreciate it
[45] 6:02	okay the second question comes from nb
[46] 6:07	did the ancient egyptians believe the milky way was the celestial counterpart to the earthly
[47] 6:13	nile no they didn't but they did believe it was something else were the gods believed to travel in
[48] 6:20	barks along the milky way no okay now they believe the um counterpart to
[49] 6:27	the celestial nile actually traveled under the earth
[50] 6:32	not in the sky they thought that the sky represented a different sort of um
[51] 6:40	region of of the cosmos now interestingly what they thought the um the milky way
[52] 6:48	was um or is or was is the body of the goddess newt
[53] 6:56	she's the sky goddess okay uh egyptian cosmology had
[54] 7:04	um basically the earth was the earth god geb
[55] 7:10	and his consort or wife was the goddess of the sky newt
[56] 7:20	and so they believed that the milky way was actually the body of the goddess newt
[57] 7:27	so that pretty much explains how in a nutshell what they believe that the
[58] 7:33	milky way was was the body of this goddess so it's kind of interesting you know
[59] 7:39	you know you asking the egyptian you know well how do you know your gods exist well look at look at look at the milky
[60] 7:45	way there she is right there so um it's an interesting little um
[61] 7:52	um aspect to egyptian uh religious myth so anyway thank you very much for the
[62] 7:58	question very much appreciated
[63] 8:05	so and the third question i'm going to take the non-super chat
[64] 8:10	is what do you think about thomas thais kennedy's work on the evidence for
[65] 8:16	the exodus in his book unearthing the bible [Music] ish
[66] 8:23	um i don't think titus kennedy's work is very good
[67] 8:29	um [Music] i have seen enough of titus uh candy's work to make
[68] 8:35	to to run shivers down my down the back of my neck you know it's just
[69] 8:40	um he comes from a very very particular perspective he comes from that sort of
[70] 8:47	associates for biblical research um early exodus date perspective
[71] 8:54	my problem with how titus kennedy handles archaeological evidence is that he doesn't care about the dates
[72] 9:02	he just sort of you know plucks things in and out of history and says aha that's evidence for
[73] 9:09	the exodus even if the dates don't match
[74] 9:15	or another explanation would be a would be better to explain why certain things
[75] 9:20	happen at certain times uh for example he he one of his one of
[76] 9:26	his um ideas is that say the
[77] 9:32	um irises like nefertiti uh ipaware i mean clearly middle kingdom
[78] 9:39	papyrus he ignores all the dating of the language of the culture and he he late
[79] 9:46	dates them um so they happen around 1400 bc
[80] 9:53	um it's so wrong it isn't even funny so um i don't have a high opinion of
[81] 10:00	this book and i don't have a high opinion of his his scholarly work
[82] 10:06	so anyway thank you very much for the question very much appreciated now we're
[83] 10:12	going to get to the super chats connect
[84] 10:20	okay and hopefully this loads
[85] 10:26	all righty awesome okay our first super chat is from gizgo sbol
[86] 10:34	for five dollars thank you very much for the super chat uh thoughts on revisionist claims that
[87] 10:40	the period circa 1100 to 900 bc is overstretched and not enough textual and
[88] 10:46	archaeological material to fill this period um
[89] 10:55	i don't think it's over stretched um i think there's a lot happening in
[90] 11:02	that period um a lot can happen in a very short period
[91] 11:07	of time i i also think too that revisionist claims are
[92] 11:13	based upon certain suppositions chronologically that i i just don't
[93] 11:18	think hold water uh i really think that once you start taking example uh taking into account
[94] 11:25	synchronisms from assyria from egypt and and the surrounding nations
[95] 11:31	i i just don't think revisionist chronological revisionist claims or even say um
[96] 11:37	um israelite uh chronology revisionist
[97] 11:42	claims can hold water uh in this respect uh i think
[98] 11:48	i really really sort of stand on the shoulders of of conventional
[99] 11:54	um chronology in most cases just because the evidence is better it's
[100] 11:59	just plain better and the revisionist claims just don't even come close
[101] 12:05	now if i've misinterpreted that question somehow please let me know and we will try to rectify that
[102] 12:11	but that's what i am taking away from your question and that's how i would answer it anyway thank you very much for the super chat
[103] 12:17	very much appreciated okay the next super chat
[104] 12:24	comes from the dragon of the mississippi for five dollars thank you very much for the super chat
[105] 12:32	was harrod's execution of the two-year-olds and under a historical parallel of pharaoh's drowning of hebrew
[106] 12:40	sons yes it was if so should we expect to not find any
[107] 12:46	remains not necessarily um
[108] 12:53	you know i think it was mark twain who said history doesn't repeat itself
[109] 12:59	but it rhymes and i think what we have here is it is
[110] 13:05	in a sense that um the fact that herod slaughter of
[111] 13:11	the um the children of of bethlehem
[112] 13:17	um and judea is is essentially you know something that that rulers did
[113] 13:24	all the time when they felt threatened you know it's it's a slaughter of two-year-olds was usually
[114] 13:30	not considered a in in the scope of ancient history you
[115] 13:36	know rulers killing infants and that just happened and
[116] 13:41	unless it was recorded it didn't get much attention because it was just so off now we have to remember
[117] 13:48	that um in say um in judean history that that slaughters
[118] 13:56	happened massacres happened you know when when tigers uh uh
[119] 14:02	epiphanies you know conquers jerusalem you know he has this massive
[120] 14:07	massacre of people and he kills you know israelites on the altar
[121] 14:13	you know and then he slaughters a pig on the altar you know this is
[122] 14:19	these sort of acts were commonplace for rulers invading a culture
[123] 14:25	and and herod if he would had felt threatened by say you know a king of the
[124] 14:32	jews arising amongst the infants oh yeah he would absolutely do this i mean this
[125] 14:38	you know this is this is this this is the same guy who killed like his sons
[126] 14:44	you know because they weren't behaving exactly like he thought they should the guy was a nutter the guy was a
[127] 14:50	complete nut job so if should we find expect to find it
[128] 14:56	remains well how do you find the remains of infants especially say in the first century
[129] 15:02	what you might find is you might find ossuary you might find
[130] 15:07	but you know you probably wouldn't find anything that connects a death of an infant to say the massacre
[131] 15:14	of herod so um should we expect to find the remains no
[132] 15:23	but were their remains i'm thinking probably yeah
[133] 15:28	just because these events happen so often now does that prevent it from being a
[134] 15:35	parallel to pharaoh's drowning of the hebrew sons no um
[135] 15:41	i'm sorry uh should we exp i mean is this a parallel yes this is a parallel to pharaoh's
[136] 15:46	drowning of the hebrew sons so there there is there is a reason in a large respect a reenactment of the
[137] 15:54	whole exodus narrative in the life of jesus christ and this is just part of it
[138] 16:00	so what we do have here is a kind of reenactment of the events of the exodus happening in the life of
[139] 16:06	jesus so anyway i hope that answers your question thank you very much for the super chat
[140] 16:13	very much appreciated okay
[141] 16:22	jared gilmore for 25 thank you very much for the super chat very much appreciated
[142] 16:28	very generous dragons appear in cultures as widespread
[143] 16:33	as china and the americas did egyptians have their own dragons if not why
[144] 16:40	if so do you think this indicates a common origin cultural trait or cultural
[145] 16:45	parallel development hmm okay the whole sort of issue with
[146] 16:51	dragons and and and egypt is a little complex
[147] 16:58	now the egyptians had demons that looked what we would classify as a
[148] 17:05	sort of a dragon essentially a a snake with feet and wings okay
[149] 17:12	so the egyptians did have that um but they were they were clearly
[150] 17:18	demons they weren't dragons they weren't considered to be anything sort of natural
[151] 17:23	now the other thing about say egyptian culture too is it didn't really need anything like dragons
[152] 17:32	because that role was already fulfilled by other organisms particularly they had
[153] 17:38	they had bad basically three things they they had cobras
[154] 17:43	they had nile monitors and they had crocodiles you know any of
[155] 17:48	these could have filled say the specific mythological roles that say dragons take
[156] 17:54	on in other cultures so we don't specifically find a lot
[157] 18:03	of say um cultural evidence for dragons in egypt
[158] 18:09	like we say find in say babylon or even in carthage or in europe
[159] 18:16	so so the cultural artifacts of of dragons aren't in egypt in the same way
[160] 18:21	as we find them in other cultures and again it boils down to egypt is a river
[161] 18:26	culture with with river organisms organisms that that are
[162] 18:32	endemic to to places near the river and so we will
[163] 18:37	we see more of their myth revolve around that kind of um
[164] 18:43	that kind of biology but great question and an interesting
[165] 18:48	question too now even when we talk about something like a poppas i'm going to expand on
[166] 18:53	this just a little more well even when we talk about a a serpent like appendis a papas he's a snake he's
[167] 19:00	not a dragon you know he's sort of the great snake that that that challenges the ray boat
[168] 19:07	once a year once a day to try to eat the sun
[169] 19:12	and he's slain so we do find the slaying of serpents
[170] 19:17	we also find beneficial serpents like the uras like the wagit
[171] 19:24	so egypt has sort of this mixed relationship with
[172] 19:30	reptiles okay so anyway i hope that answers your question thank you very much for the
[173] 19:37	super chat very much appreciate that
[174] 19:42	okay the other paul for australian 10 thank you very much for the super chat
[175] 19:48	very much appreciated i've read the argument for an early composition of deuteronomy from
[176] 19:54	it being structured like hittite susan need treaties do you concur with this
[177] 20:00	argument yes i do uh kenneth kitchen wrote a large tome on this and and i do i do agree with this
[178] 20:07	and it's it's a very complicated very um well-structured argument
[179] 20:14	and has there been any decent critics of it now some people have critiqued a
[180] 20:20	kitchen's view on this um but a lot of that critique doesn't
[181] 20:26	actually boil down to what cr
[182] 20:31	kitchen said as uh you know his particular hypothesis in
[183] 20:37	this matter as much as it does that it supports a traditional biblical
[184] 20:43	narrative so i don't think those critiques have exactly been fair
[185] 20:49	and the critiques of christians work on this have have basically divided into one into two camps
