[0] 0:47	Heat. Heat. N.
[1] 5:54	Hello. and welcome to this our 253rd
[2] 5:57	live stream. The grassy gnome theory,
[3] 6:03	of course, is a reference to the gnomes
[4] 6:05	of Egypt video that we did on Monday.
[5] 6:07	It's also a reference to the JFK
[6] 6:10	conspiracy theory called the grassy null
[7] 6:13	theory.
[8] 6:16	And it was two gnome shooters, by the
[9] 6:18	way.
[10] 6:24	So, we want to welcome you to tonight's
[11] 6:26	live stream. Uh we're glad you could
[12] 6:28	join us. Uh we don't have a lot of
[13] 6:31	channel business. Uh the only thing
[14] 6:32	we're going to pitch tonight is
[15] 6:33	Reququaryy of the Dead, which is our
[16] 6:36	first uh novel. Uh it's won eight
[17] 6:40	literary awards. So, if you haven't had
[18] 6:42	a chance to read that yet, uh please uh
[19] 6:45	do so and leave a review on Amazon. We
[20] 6:48	would really appreciate that. Okay. So,
[21] 6:51	we're going to read the rules of the
[22] 6:52	channel and then we're going to sort of
[23] 6:54	get into it here. Uh, the rules of the
[24] 6:57	channel are that super chats have
[25] 6:59	priority. No, uh, no issue there. That's
[26] 7:04	that's ubiquitous across all YouTube
[27] 7:06	channels. Uh, it doesn't guarantee your
[28] 7:08	super chat will get taken, but it does
[29] 7:10	guarantee we see it. Uh, we do take
[30] 7:12	non-sup chat questions, but we ask that
[31] 7:14	you put a Q and a colon in front so that
[32] 7:17	we know it's directed to us. No Q, no
[33] 7:19	colon. we might not see it.
[34] 7:22	Uh, only post non-s super chats once. If
[35] 7:25	you uh if you
[36] 7:29	um posted more than once, we'll
[37] 7:31	disqualify it for the night. Doesn't
[38] 7:33	matter if this is your first time or
[39] 7:35	not. We're absolutely hard and fast on
[40] 7:37	that. Only post once rule.
[41] 7:41	Uh if it's some from the Bible, we ask
[42] 7:43	that you give us a little context. So,
[43] 7:44	we need what book it's from, what
[44] 7:46	chapter, and what verse. That just helps
[45] 7:49	us narrow your question down.
[46] 7:52	You do allow uh non-super chats to be
[47] 7:56	sponsored, but we ask if you do that
[48] 7:59	that you copy the question into your
[49] 8:00	super chat so we don't have to hunt it.
[50] 8:02	It just saves us time. And then finally,
[51] 8:05	one question per chat. No question
[52] 8:07	stacking cuz that's not fair to anybody.
[53] 8:10	We should also mention too that we're
[54] 8:12	going to stop at uh 12 a.m. sharp
[55] 8:15	Pacific time. Okay? because I got to get
[56] 8:18	up early in the morning. So,
[57] 8:20	unfortunately, I cannot go all hours of
[58] 8:23	the night. No 24-hour live streams.
[59] 8:25	Sorry, guys.
[60] 8:30	So, with that said, we're just going to
[61] 8:32	get into the questions here. Okay, so uh
[62] 8:39	our first question of the night
[63] 8:41	going to be from
[64] 8:44	Dark Blade. He's our winner for the
[65] 8:47	first question of the night.
[66] 8:49	CPM versus DOSS. I require this 24hour
[67] 8:54	folk stream now.
[68] 8:57	Sorry. Ain't going to happen. Not going
[69] 9:00	to happen.
[70] 9:02	Although we might do a a rolling loop
[71] 9:04	sometime where we just do that sort of
[72] 9:06	broadcast 24 hours, but I have to see
[73] 9:09	how that's done honestly. But I haven't
[74] 9:11	I haven't looked into it that deep.
[75] 9:15	Okay.
[76] 9:16	So, Dark Blades question, is it a se sin
[77] 9:19	to abuse, you're going to make me
[78] 9:21	stumble, to hold others behavior
[79] 9:24	hostage? Yes. Yes, it is a sin. Um,
[80] 9:29	anytime you I mean, first of all, the
[81] 9:32	apostle says to us, let no man judge you
[82] 9:34	on what you eat or drink or what
[83] 9:36	Sabbaths you keep or don't keep. Okay?
[84] 9:40	Uh, this has come down to a freedom of
[85] 9:42	conscious conscience decision.
[86] 9:45	Now
[87] 9:46	you don't it is a sin too to flaunt your
[88] 9:50	freedom
[89] 9:52	to that would that would make a brother
[90] 9:54	stumble. Okay. But it's also a sin for
[91] 9:59	the weaker brother to hold that
[92] 10:03	over those who are exercising freedom.
[93] 10:06	If someone drinks or eats in private, if
[94] 10:10	they drink alcohol or eat meat in
[95] 10:12	private, that's none of the weaker's
[96] 10:14	brother's business, honestly.
[97] 10:18	So
[98] 10:20	that that that manipulation of the text
[99] 10:23	is really taking that text out of
[100] 10:25	context. And that context is in public
[101] 10:28	settings.
[102] 10:30	That context of that passage is in
[103] 10:32	public settings where people are eating
[104] 10:34	at public events, eating meat,
[105] 10:37	sacrificed to idols, or drinking
[106] 10:39	alcohol.
[107] 10:40	It's one of those things where it's one
[108] 10:42	of those things that in in public that
[109] 10:45	the flamboyance of one's freedom can
[110] 10:49	cause someone to to to stumble. Okay.
[111] 10:54	But to to use that and say, "Well,
[112] 10:57	you're going to make me stumble, so I'm
[113] 10:59	going to just keep reminding you of that
[114] 11:01	until you change your behavior." That
[115] 11:02	that is definitely an abuse of the
[116] 11:04	passage.
[117] 11:05	And and and it is a sin because you're
[118] 11:08	not loving your brother in doing that.
[119] 11:12	So yeah, I think it's a sin. So hope
[120] 11:15	that helps. Thank you for the question.
[121] 11:17	Very much appreciated.
[122] 11:20	Okay, next one here
[123] 11:23	is from
[124] 11:25	uh Invh
[125] 11:28	invitional
[126] 11:31	Christ
[127] 11:32	Christianismo.
[128] 11:34	Uh I butchered that, I'm sorry.
[129] 11:37	Um, person asks, "Is there any evidence
[130] 11:40	of a 40-year total desolation in Egypt
[131] 11:42	under Nebuchadnezzar
[132] 11:44	as described in uh Ezekiel 29 11-12? No
[133] 11:49	human or animal will pass through it or
[134] 11:51	it's a failed prophecy." Okay, let's
[135] 11:53	pull that text up and we'll take a look
[136] 11:54	at that text
[137] 11:57	button here. Okay, pull up our Bible.
[138] 12:00	Ezekiel 29 11-12.
[139] 12:05	All right, we'll start verse 10 here.
[140] 12:08	Therefore, I'm against you and against
[141] 12:09	your rivers and I will make the land of
[142] 12:11	Egypt an utter waste and desolation.
[143] 12:13	Now, that is hyperbolic language, first
[144] 12:15	of all. Okay. From Mdul to Sin and even
[145] 12:19	to the border of of Ethiopia. Now, the e
[146] 12:23	border here of Ethiopia, I hate that
[147] 12:24	translation. It's Kush.
[148] 12:28	The border of Kush is the the border
[149] 12:30	between thieves and Azwan. Okay, so
[150] 12:34	thean gnome to the Azwan gnome. Okay,
[151] 12:38	that border there. So it's not extending
[152] 12:40	the full length of Egypt. It's only
[153] 12:43	extending up to thieves.
[154] 12:47	Uh Megdul to say it's on the uh
[155] 12:50	basically across east to west. Okay. So
[156] 12:55	so that's sort of the confines of this.
[157] 12:58	Now when um
[158] 13:01	when the Israelites who assassinated
[159] 13:05	Gdaliah
[160] 13:06	left Israel and departed Egypt, they
[161] 13:09	tried to
[162] 13:11	shake off Nebuchadnezzar and
[163] 13:13	Nebuchadnezzar followed. He sent his
[164] 13:15	general after them. And we know they
[165] 13:18	caught up with him at Pu caught up with
[166] 13:20	him at Palusium. They caught up with him
[167] 13:23	at um thieves. where they didn't catch
[168] 13:26	up the fleeing Israelites is they went
[169] 13:28	as far as Elephantini
[170] 13:31	and Elephantini is in the Azwan Gnome.
[171] 13:34	So it's sort of outside this sort of
[172] 13:36	area. But what the area described here
[173] 13:39	is kind of the heartland. It's the
[174] 13:40	heartland of Egypt. So
[175] 13:44	there is some evidence that they looted
[176] 13:46	the place. They looted the place. um
[177] 13:51	they
[178] 13:52	um
[179] 13:54	they did break down the governmental
[180] 13:56	structure of of of of Egypt and it was
[181] 13:59	never quite the same after that.
[182] 14:02	Uh you're talking here again in the um
[183] 14:05	in the um third intermediate late period
[184] 14:09	here and it just Egypt was just never
[185] 14:11	the same after the Babylonians started
[186] 14:14	getting involved. Now the unlike the say
[187] 14:18	the Persians or the Assyrians,
[188] 14:20	the Babylonians didn't stick around.
[189] 14:22	They just looted the place and ran home.
[190] 14:24	So
[191] 14:28	So there is some evidence for this. It's
[192] 14:30	not strong evidence. We don't have a lot
[193] 14:32	of inscriptional material from this
[194] 14:33	period, but we do know that the temples
[195] 14:36	themselves were ransacked at this time
[196] 14:39	based upon the fluctuating
[197] 14:42	um
[198] 14:44	ordinateness
[199] 14:46	of its uh bark shrines at this time. So
[200] 14:49	that's how we kind of know. You can you
[201] 14:51	can you can tell a lot of of Egypt's ups
[202] 14:55	and downs by the ornateness of it
[203] 14:57	shrines. So it's a very it's very
[204] 15:00	telling because you know when invaders
[205] 15:01	come in they steal the good stuff and
[206] 15:03	they go home.
[207] 15:05	So hope that helps. Thank you for the
[208] 15:08	question. Very much appreciate it.
[209] 15:15	We'll take this third super chat and
[210] 15:17	then we'll get into the uh uh super
[211] 15:20	chats here and we'll take them
[212] 15:21	sequentially because it's uh because we
[213] 15:23	got to be done at a certain time
[214] 15:24	tonight. Okay. Iron Knight uh says, "You
[215] 15:28	mentioned in a live stream about a woman
[216] 15:30	who has well great knowledge on the
[217] 15:32	anti- Bolivian pre flood world." It's
[218] 15:36	not exactly what I said, but what
[219] 15:39	exactly is that woman? And I'd like to
[220] 15:40	read her work. What I said was if I had
[221] 15:43	to read on say the prehistory of say
[222] 15:48	Anatolia which is modern day Turkey um
[223] 15:53	I would I would consult Erica Hughes.
[224] 15:56	Okay. Erica Hughes is a uh is is an
[225] 15:59	instructor. She's a hitologist
[226] 16:02	or an Anatolian specialist that dates uh
[227] 16:05	that specializes in the prehistory of
[228] 16:07	Anatolia.
[229] 16:09	Um, she's very knowledgeable in this.
[230] 16:12	Uh, she's she's a graduate of of the
[231] 16:14	University of Liverpool, very good at at
[232] 16:16	at this. She doesn't have a lot of
[233] 16:18	published works out there, but um, but I
[234] 16:22	just want to be make sure I manage
[235] 16:24	expectations here because I didn't say
[236] 16:26	the pre flood world or the anti-dolivian
[237] 16:29	world. I said the prehistoric world. So,
[238] 16:32	I just want to be careful of that.
[239] 16:35	though if you want to know things like
[240] 16:37	about Gul uh Gulpi
[241] 16:40	or say um the agriculture of say the
[242] 16:44	prehistoric Anatolia that's that would
[243] 16:47	be the go-to source. All right, so I
[244] 16:50	hope that helps. Thank you for that
[245] 16:52	question. Really appreciate it.
[246] 16:56	Okay, now let's go on to the super
[247] 16:57	chats. We got two super chats here
[248] 17:03	uh from Andrew Cahill for $20. And we'll
[249] 17:06	take these at the same time because
[250] 17:07	they're about the same thing.
[251] 17:10	He says, "I've noticed that early date
[252] 17:12	Exodus proponents always say the Pharaoh
[253] 17:14	before the Exus Pharaoh must have a
[254] 17:16	reign of 40 years or more, but I don't
[255] 17:19	think I've ever heard any of them
[256] 17:21	explain why that's a requirement.
[257] 17:25	Continuing
[258] 17:30	in the second super chat because of the
[259] 17:32	character limiting. Please explain their
[260] 17:34	reasoning and provide your critique.
[261] 17:36	Okay, excellent question. Excellent
[262] 17:39	question. And we are going to what we're
[263] 17:42	going to do here is we are going to
[264] 17:45	steelman this argument.
[265] 17:48	Okay, we're going to steelman this
[266] 17:50	argument
[267] 17:52	and then really sort of lay it out here.
[268] 17:54	Okay. So,
[269] 17:58	they're going to start here with a
[270] 18:01	passage from the New Testament.
[271] 18:04	Okay.
[272] 18:06	Cap.
[273] 18:08	It's almost like you answered this
[274] 18:10	yesterday. I did answer this yesterday.
[275] 18:12	I'm not I'm going to go into more detail
[276] 18:14	here, though. Okay. We're going to go
[277] 18:16	into a little more detail exactly how
[278] 18:19	they arrive at it. So, we're going to
[279] 18:20	steal man this. Uh, by the way, that uh
[280] 18:23	live stream that I did yesterday, I'm
[281] 18:24	going to post as our Monday video so it
[282] 18:27	gets a wider exposure. So, I want a lot
[283] 18:31	more people to see that critique of
[284] 18:32	Frank Turk. Okay. So,
[285] 18:38	so that's so we're going to take this
[286] 18:40	whole thing and we're going to we're
[287] 18:41	going to steal man this and then we're
[288] 18:43	going to show you why it's wrong. Okay.
[289] 18:47	They're going to go first to Acts. Acts
[290] 18:51	7.
[291] 18:52	So Acts 7 verse I believe it's verse 30.
[292] 18:58	Okay.
[293] 19:01	And this is where it starts. This is
[294] 19:02	where the argument starts. And after 40
[295] 19:05	years had passed, an angel appeared to
[296] 19:07	him. This is Moses. In the wilderness of
[297] 19:10	Mount Si in the flame of a burning thorn
[298] 19:14	bush.
[299] 19:16	Okay.
[300] 19:18	So this is this is the this is the 40
[301] 19:20	years. This is where they get the 40
[302] 19:22	years from. Okay.
[303] 19:25	So this is where it starts. This is the
[304] 19:27	start of the argument here in Acts 7:30.
[305] 19:33	Then they're going to bounce back
[306] 19:37	to Exodus 21:19
[307] 19:44	and then they're going to say
[308] 19:47	um is it 219
[309] 19:51	223 sorry of Exodus 2:23. Now it came
[310] 19:55	about in the course of those many days
[311] 19:57	that the king of Egypt died
[312] 20:00	and the sons of Israel sighed because of
[313] 20:02	the bondage and they cried out and the
[314] 20:04	cry for help because of their bondage
[315] 20:06	rose up to God. Okay. So Moses is told
[316] 20:09	back to told to go back to Egypt after
[317] 20:12	40 years. Now we are we do know that um
[318] 20:18	40 years is an idiom. It can mean just
[319] 20:21	an extended long time not a literal 40
[320] 20:23	years. But let's give them the benefit
[321] 20:25	of the doubt here. We're going to steal
[322] 20:26	men this. Let's say that this is an
[323] 20:28	absolutely literal interpretation of
[324] 20:30	Acts 7. Um, and that that 40 years is a
[325] 20:35	literal 40 years. Okay? So, we're not
[326] 20:37	even going to touch that issue, but
[327] 20:40	they're going to say now Pharaoh died
[328] 20:41	during that 40 years. Okay?
[329] 20:45	So,
[330] 20:47	here's the next and final step in this,
[331] 20:50	which is Exodus 21:19.
