[0] 1:59	Oh.
[1] 3:54	>> Mhm.
[2] 5:03	>> [music]
[3] 5:07	>> Hello and welcome to this our 260th live
[4] 5:10	stream.
[5] 5:11	42 lost questions.
[6] 5:14	>> [laughter]
[7] 5:16	>> This is a reference to
[8] 5:18	um the Man Machine Alert uh that we did
[9] 5:21	on Monday uh talking about the 42 lost
[10] 5:24	pages of Codex H.
[11] 5:27	And if you haven't seen that video,
[12] 5:28	please go back and do so.
[13] 5:30	We don't have much in the way of channel
[14] 5:32	news today, but we do have one one
[15] 5:35	special announcement, which is that my
[16] 5:39	book, The Ark of the Covenant in its
[17] 5:41	Egyptian Context and Illustrated
[18] 5:43	Journey,
[19] 5:44	won the Brew Award, which is the uh the
[20] 5:48	Bible Oh, sorry, not Bible.
[21] 5:50	Books, Reviews, and Everything Writing
[22] 5:53	Award. It won in the non-fiction
[23] 5:55	category in ancient history fiction.
[24] 5:58	And it's a pretty good award. So,
[25] 6:01	this is this is really
[26] 6:04	an honor to have won that award.
[27] 6:07	Um
[28] 6:08	So, yeah, it's awesome. It is that this
[29] 6:11	one is awesome.
[30] 6:13	So,
[31] 6:15	we're really really excited to have
[32] 6:18	Uh thank you, Annie, for the
[33] 6:20	congratulations. We're really excited to
[34] 6:22	have won that award. So,
[35] 6:24	um
[36] 6:26	Yeah, it's like this is a good one. This
[37] 6:27	is a good one. So,
[38] 6:29	uh it's got some street cred, so that's
[39] 6:31	really nice when you win a award that
[40] 6:33	has some street cred.
[41] 6:35	Um they actually read the book, which is
[42] 6:37	>> [laughter]
[43] 6:38	>> which is always always an excellent
[44] 6:41	thing.
[45] 6:44	Some of these Some of these uh
[46] 6:46	um awards don't even read the book
[47] 6:48	anymore. So, it's just like
[48] 6:50	um
[49] 6:52	So, when they read the book, that's an
[50] 6:53	excellent start.
[51] 6:59	All right.
[52] 7:00	So, let's talk a little bit about the
[53] 7:03	rules here, and then we'll we'll get
[54] 7:04	right into the questions.
[55] 7:06	Uh the rules are the same as they always
[56] 7:07	are, so
[57] 7:09	super chats have priority, no surprise
[58] 7:11	there.
[59] 7:13	Uh non-super chat questions should begin
[60] 7:16	with a Q and a colon. If we don't have
[61] 7:18	that Q and the colon, we might not see
[62] 7:20	it, okay? So, we do stress that. We also
[63] 7:23	want to
[64] 7:24	stress that non-super chats
[65] 7:26	not every non-super chat will get
[66] 7:28	answered. We are much more selective on
[67] 7:31	non-super chats.
[68] 7:33	So,
[69] 7:34	is it If it's interesting, if it's in my
[70] 7:36	wheelhouse, it's probably going to be
[71] 7:38	more likely to be taken.
[72] 7:40	Okay? Um only post your non-super chat
[73] 7:43	question once. If you double post it,
[74] 7:46	or we will disqualify it for the night.
[75] 7:49	Uh, we just have to be hard and fast
[76] 7:51	about that rule because we get people
[77] 7:52	who come in and they start spamming the
[78] 7:55	question
[79] 7:56	spamming the question over and over
[80] 7:57	again.
[81] 7:59	Uh,
[82] 8:00	if it's a question relating to the
[83] 8:02	Bible, we do need some context. So,
[84] 8:04	we're going to need what, uh,
[85] 8:06	book it's from, what chapter, and what
[86] 8:08	verse.
[87] 8:10	Uh,
[88] 8:11	also, you can sponsor non-super chats,
[89] 8:14	but we ask that you copy the question
[90] 8:16	into the super chat, so
[91] 8:18	we actually know it's, um, so we don't
[92] 8:20	have to hunt for it. Saves us time.
[93] 8:22	And finally, one question per chat. Uh,
[94] 8:25	that way
[95] 8:27	uh, it's fair to everybody. We don't
[96] 8:28	like question stacking. All right? So,
[97] 8:30	with that said, let's get into the to
[98] 8:32	the questions.
[99] 8:37	Andrew Graham,
[100] 8:39	a book award that doesn't require the
[101] 8:41	book to be read, craziness.
[102] 8:43	Well, yeah, there are actually some book
[103] 8:45	awards there are that are just based
[104] 8:46	upon votes.
[105] 8:49	So, it's not a panel of judges reading
[106] 8:51	the book, it's a bunch of people voting
[107] 8:54	on the book.
[108] 8:55	So, those are popularity more popularity
[109] 8:57	contests than they are actual reading
[110] 9:00	review kind of of book awards. So,
[111] 9:08	Okay.
[112] 9:10	But, they do exist and they're out
[113] 9:11	there.
[114] 9:13	So, I know that those ones exist. Well,
[115] 9:15	there's some of some of these book
[116] 9:16	awards that are pay to play, too. And
[117] 9:18	I'm
[118] 9:19	I mean, look, let me let me put it this
[119] 9:20	way. Every book award out there has an
[120] 9:23	entry fee. Even the Pulitzer has an
[121] 9:25	entry fee.
[122] 9:27	People don't think about it. Um, there
[123] 9:28	are a couple of really high industry
[124] 9:30	awards that don't have an entry fee,
[125] 9:33	but they get their money other ways
[126] 9:35	through publishers.
[127] 9:36	Okay? So, there's is still an entry fee,
[128] 9:39	just you don't pay it.
[129] 9:41	But there are some that are out there
[130] 9:43	that are just um
[131] 9:45	raking in cash.
[132] 9:47	Okay?
[133] 9:48	Uh was it the Women's Book Award?
[134] 9:51	It's It was at one point a very
[135] 9:53	prestigious award. Now it's on a
[136] 9:56	graded scale of payment.
[137] 9:59	So that
[138] 10:00	you know
[139] 10:02	people have uh are paying like 7 8,000
[140] 10:06	British pounds
[141] 10:08	to enter that award.
[142] 10:10	So
[143] 10:17	So um
[144] 10:19	Yeah, there are there are some scammy
[145] 10:21	scammy uh book awards out there. This
[146] 10:24	one isn't.
[147] 10:25	>> [laughter]
[148] 10:32	>> So
[149] 10:33	uh
[150] 10:34	But yeah, there are there are ones out
[151] 10:36	there where they don't even read the
[152] 10:37	book. So if you got a good book
[153] 10:40	award that reads the book
[154] 10:42	and kind of lets you know that how
[155] 10:44	they've read it
[156] 10:45	and then, you know, isn't scammy, you
[157] 10:48	know, yeah, it's it's that's a win-win.
[158] 10:51	So we're really excited to have won the
[159] 10:53	Brew Award. It's fantastic.
[160] 10:56	Okay.
[161] 11:02	Uh first question of the night.
[162] 11:06	Uh we're just going to take these more
[163] 11:07	or less in kind of a sequential order
[164] 11:09	because we don't have a lot of questions
[165] 11:10	here.
[166] 11:12	Uh first question is going to be by
[167] 11:18	uh 501 Mobius who asks
[168] 11:21	on the plagues of Egypt, why would
[169] 11:22	everyone have to stay indoors the night
[170] 11:25	of the Passover when only
[171] 11:27	the firstborn was at risk?
[172] 11:29	And did the firstborn of the multitude
[173] 11:32	die?
[174] 11:33	Yes. It Okay, there's there's two
[175] 11:35	questions there.
[176] 11:37	Um was the firstborn of the mixed
[177] 11:40	multitude excluded
[178] 11:43	from the Passover? No.
[179] 11:46	Okay?
[180] 11:47	If they went out in the streets, if they
[181] 11:48	didn't observe the Passover, the
[182] 11:51	firstborn of their households would die,
[183] 11:53	too.
[184] 11:54	Okay?
[185] 11:56	Um
[186] 11:57	why would everyone be required to stay
[187] 11:59	indoors? That's a different question.
[188] 12:02	Um
[189] 12:02	>> [clears throat]
[190] 12:03	>> because the firstborn deals with the
[191] 12:05	inheritor,
[192] 12:07	the designated inheritor. It really has
[193] 12:10	to um
[194] 12:12	it's something that infects the entire
[195] 12:14	family, and the entire family is
[196] 12:16	involved in this.
[197] 12:18	Okay?
[198] 12:20	Uh because that's how power gets passed
[199] 12:22	passed down the line.
[200] 12:24	Okay? So, if your the whole family is
[201] 12:27	not on the same team here,
[202] 12:30	then there is a
[203] 12:34	um
[204] 12:35	the the the Passover ritual is not
[205] 12:37	necessarily being respected at that
[206] 12:39	point.
[207] 12:40	Now,
[208] 12:42	the other thing
[209] 12:45	about the Passover, too,
[210] 12:47	is if everyone is dying, the streets
[211] 12:50	aren't safe.
[212] 12:52	Okay?
[213] 12:54	It's a good idea to just stay indoors
[214] 12:56	when when a whole lot of people are
[215] 12:58	dying suddenly.
[216] 13:01	So,
[217] 13:04	so
[218] 13:05	um
[219] 13:06	cuz cuz when that happens, you know,
[220] 13:08	there could be random violence, there's
[221] 13:11	uh chaos, uh general disorder.
[222] 13:14	Yeah, it's it's not a good time That's
[223] 13:16	not a good time to go for a nighttime
[224] 13:18	walk.
[225] 13:20	So,
[226] 13:22	so uh absolutely, yeah, that's why they
[227] 13:25	were kind of advised Yeah, stay indoors
[228] 13:27	even if you're not the firstborn.
[229] 13:29	Okay? So, hope that helps. Thank you
[230] 13:32	very much for the question. Really
[231] 13:33	appreciate it.
[232] 13:36	Uh second non-super chat here is from
[233] 13:38	Dark Blade.
[234] 13:40	Was Egypt a military dictatorship during
[235] 13:43	the period of British occupation?
[236] 13:46	Yes.
[237] 13:48	Yes, it was.
[238] 13:50	The British
[239] 13:51	>> [laughter]
[240] 13:54	>> The British was a military dictatorship
[241] 13:57	occupying force.
[242] 14:01	Yes, the British had a parliament.
[243] 14:04	Okay? [laughter]
[244] 14:08	But Egyptians didn't get to vote.
[245] 14:10	>> [laughter]
[246] 14:16	>> So,
[247] 14:19	though absolutely, it was a military
[248] 14:21	[clears throat] dictatorship during the
[249] 14:23	British occupation. It just happened to
[250] 14:25	be the British.
[251] 14:27	Francis Dobbs
[252] 14:29	saying they didn't bring love and
[253] 14:30	democracy.
[254] 14:32	Francis Dobbs, you mean they didn't
[255] 14:33	bring love and democracy?
[256] 14:36	>> [laughter]
[257] 14:36	>> No.
[258] 14:38	Funny that.
[259] 14:41	>> [laughter]
[260] 14:43	>> Nile Mortimer S It's good old Britain.
[261] 14:46	>> [laughter]
[262] 14:47	>> Yep.
[263] 14:53	Yeah, so uh the British really occupied
[264] 14:56	Egypt was definitely a military
[265] 14:58	dictatorship.
[266] 15:02	Didn't bring to Australia.
[267] 15:04	Andrew Graham goes, didn't bring to
[268] 15:05	Australia either. Yeah.
[269] 15:10	Uh it took time for a lot of the
[270] 15:11	colonies and the Commonwealth to get
[271] 15:13	their independence. So,
[272] 15:16	what can you say?
[273] 15:23	CPM versus DOS
[274] 15:25	That's the most British thing ever.
[275] 15:28	Yeah, sort of.
[276] 15:30	Okay, so
[277] 15:32	uh let's move on here that cuz that was
[278] 15:35	fun.
[279] 15:36	Uh
[280] 15:39	Harry Stark asked the question, "Is it
[281] 15:41	known why Christians started using
[282] 15:43	codexes as in the normal book we uh know
[283] 15:46	today?" All right, let's explain what a
[284] 15:48	codex is and then we will explain the
[285] 15:50	alternative.
[286] 15:52	Okay?
[287] 15:53	This, besides being a hands- a
[288] 15:55	devilishly handsome book, award-winning
[289] 15:58	devilishly handsome book, is also a
[290] 16:00	codex.
[291] 16:02	A codex is basically a book with a bunch
[292] 16:05	of uh pages
[293] 16:07	and a stitched spine.
[294] 16:09	That's a codex.
[295] 16:11	Okay?
[296] 16:13	Any modern book you see today that's a
[297] 16:16	hard
[298] 16:17	printed book is a codex
[299] 16:20	for the most part.
[300] 16:22	Now, the alternative back then
[301] 16:24	is a scroll.
[302] 16:26	Okay?
[303] 16:28	Scrolls are very, very inconvenient.
[304] 16:33	Okay?
[305] 16:34	If you want to just look something up,
[306] 16:37	you got to take the whole scroll out,
[307] 16:40	you got to roll it to its page and then
[308] 16:43	you can read it.
[309] 16:45	They look They look fabulous, but they
[310] 16:48	are a maintenance nightmare, too.
[311] 16:50	Because every so often, what you have to
[312] 16:52	do with a scroll is unroll the whole
[313] 16:54	thing and reroll it again.
[314] 16:58	No one is on
[315] 17:00	Yeah.
[316] 17:01	>> [laughter]
[317] 17:02	>> Yeah, Milo Mortimer, nobody is on team
[318] 17:05	scroll.
[319] 17:08	So, the codex when it was developed and
[320] 17:10	it's believed to have been developed um
[321] 17:13	around the time of Julius Caesar,
[322] 17:16	it just sort of took off. People were
[323] 17:18	were that became the preferred method of
[324] 17:23	of binding large documents. Now, some
[325] 17:26	documents
[326] 17:27	took very well to being bound as a
[327] 17:29	codex, some didn't.
[328] 17:32	Um
[329] 17:33	parchment, vellum
[330] 17:35	uh very easily took to being uh bound as
[331] 17:38	a codex.
[332] 17:41	Um
[333] 17:42	papyrus not so much.
[334] 17:46	A papyrus has had a problem, which is
[335] 17:49	the edges on a papyrus page are very
[336] 17:51	fragile.
[337] 17:53	So, they tend to chip and break.
[338] 17:55	So, if you bound papyrus together as a
[339] 17:58	codex, the pages tend to break uh and
[340] 18:02	fall out.
[341] 18:04	Now, we do know that there were papyrus
[342] 18:06	codex uh codices.
[343] 18:09	Um
[344] 18:10	but there isn't there is there's not
[345] 18:11	many of them survived.
[346] 18:13	So,
[347] 18:15	yeah.
[348] 18:16	>> [laughter]
[349] 18:18	>> So, uh yeah, that was pretty
[350] 18:20	uh it's it's uh I love I love the whole
[351] 18:22	the whole history of making books. And
[352] 18:25	the Christian era really coincided
[353] 18:28	with the development of the codex. So,
[354] 18:33	So, yeah, pretty cool stuff.
[355] 18:44	But trouble. Imagine having to write a
[356] 18:46	bibliography on a scroll.
[357] 18:49	Ooh, not not fun. Not fun, man. Not fun
[358] 18:53	at all.
[359] 19:01	Uh Dr. Amy Martinez says, "I've actually
[360] 19:04	tried writing a scroll, and yeah, it
[361] 19:06	wasn't the most fun. No."
[362] 19:12	It's a pain it too to actually write on
[363] 19:16	as well. Uh because you kind of need an
[364] 19:18	elevated table to do so.
[365] 19:20	So, um it's it's it's an ordeal to to
[366] 19:25	write on a scroll.
[367] 19:31	Okay, uh next question here is
[368] 19:33	from Darkblade
[369] 19:35	who asks uh roughly what share does the
[370] 19:38	Tanakh comprise of extant Hebrew
[371] 19:40	literature from the period in which it
[372] 19:42	was written? And I cannot answer that
[373] 19:44	question
[374] 19:46	because I don't know the extent of
[375] 19:49	literature in the Second Temple period.
[376] 19:53	So,
[377] 19:54	um I'm not a Second Temple period
[378] 19:56	expert. I'm a Bronze Age expert. That's
[379] 19:58	that's my area of expertise.
[380] 20:00	Uh
[381] 20:02	so, I can't I can't really tell you the
[382] 20:04	extent of literature during that period.
[383] 20:07	So, that's an interesting question. I
[384] 20:09	just can't answer it. So, thank you very
[385] 20:11	much for the question.
[386] 20:18	Miles comment
[387] 20:20	It's like painting on a canvas minus all
[388] 20:23	the joy of painting.
[389] 20:25	Yeah, that's pretty much it.
[390] 20:28	Um painting on a scroll is is a pain.
[391] 20:41	All right, next one here
[392] 20:45	is from
[393] 20:48	AT Ministries for $4.99. Thank you very
[394] 20:50	much for the super chat.
[395] 20:52	Given the prevalence of harems in
[396] 20:55	ancient Egypt, why were succession
[397] 20:57	crisis and dynasty changes so common?
[398] 21:01	Um
[399] 21:03	time.
[400] 21:06	I'm really uh dynasty changes I mean,
[401] 21:10	you only have 32 dynasties in Egypt,
[402] 21:12	really. For 3,000 years, that's really
[403] 21:15	not that much.
[404] 21:18	Now,
[405] 21:19	why were there succession crisis?
[406] 21:22	Uh
[407] 21:24	well, people died.
[408] 21:26	You know, young people died. You know,
[409] 21:29	if
[410] 21:30	it wasn't uncommon
[411] 21:33	for, say, young
[412] 21:36	uh crown princes to to die to predecease
[413] 21:38	their fathers.
[414] 21:40	So,
[415] 21:42	um
[416] 21:44	the other reason why you get so many
[417] 21:46	dynastic changes is because of changes
[418] 21:48	in power,
[419] 21:49	uh invasions
[420] 21:51	that will that will cause a dynasty
[421] 21:53	change.
