[0] 2:51	Heat. Heat.
[1] 6:24	Hello and welcome to this our 261st live
[2] 6:28	stream. Naughty wordfree live stream.
[3] 6:33	No naughty words tonight. Okay.
[4] 6:37	Not that you guys normally do that, but
[5] 6:39	uh
[6] 6:42	we uh uh did a uh Monday video on uh
[7] 6:45	whether or not Christians uh in their
[8] 6:49	speech or their writing can use naughty
[9] 6:51	words. And if you haven't seen that
[10] 6:53	video, please go back and uh watch it.
[11] 6:56	It's very interesting. Okay. Um,
[12] 7:00	we have only one piece of channel
[13] 7:01	business tonight. Uh, which is a that
[14] 7:06	our video game Egg Hunter got a very
[15] 7:09	very good review uh from the outstanding
[16] 7:12	creator awards and I put the link in the
[17] 7:14	uh in the chat and you can go back and
[18] 7:17	read that at your leisure. Uh, they
[19] 7:19	called the game uh it had heart and it
[20] 7:23	was um unapologetically
[21] 7:26	strange.
[22] 7:32	So uh so it got uh now the review did
[23] 7:36	mention that there was some technical
[24] 7:38	glitches. They had an older copy of it.
[25] 7:40	Those glitches have now been resolved,
[26] 7:42	but uh uh they did manage to review the
[27] 7:45	content in a very interesting and
[28] 7:48	delightful way. So, uh, if you haven't,
[29] 7:52	uh, seen the video game or if you want
[30] 7:54	to purchase it, it is available on
[31] 7:56	Steam. Okay. And that's the only channel
[32] 7:59	business we have for tonight.
[33] 8:02	I'll put that away. So, we're going to
[34] 8:04	get to the uh uh rules here and then get
[35] 8:08	right to the questions.
[36] 8:10	Uh, the rules for the channel are super
[37] 8:13	chats have priority. That's true of
[38] 8:16	every uh YouTube live stream and it's
[39] 8:19	true of this one too. We do take
[40] 8:21	non-super chat questions and we ask that
[41] 8:24	you put a Q and a colon in front of the
[42] 8:25	question. It doesn't guarantee we'll
[43] 8:27	take the question, but it does mean
[44] 8:29	we'll see the question. Okay. So,
[45] 8:34	um
[46] 8:37	it's uh science special search party
[47] 8:40	sounds like a DOSS game. It's not a DOS
[48] 8:41	game. It's actually um it's actually a
[49] 8:45	visual novel. Uh it's it actually runs
[50] 8:48	on um modern platforms like Windows, uh
[51] 8:53	Linux, and um and uh Macintosh.
[52] 9:00	Okay. Um we ask that if you uh post a
[53] 9:04	non-sup chat, you only do it once.
[54] 9:07	Duplicate posts of nons super chats will
[55] 9:10	get disqualified.
[56] 9:13	Uh if it's something from the Bible, we
[57] 9:15	ask that you give us uh some context. So
[58] 9:18	what book uh it's from, what chapter,
[59] 9:20	and what verse. The verse is really
[60] 9:22	important for helping us locate what
[61] 9:25	you're talking about.
[62] 9:27	Also, uh we allow people to sponsor
[63] 9:31	super chats and if you do that or not
[64] 9:33	sponsor nons super chats and if you do
[65] 9:35	that, we ask that you copy the question
[66] 9:36	into your super chat so that we uh don't
[67] 9:40	have to hunt for it. makes things a lot
[68] 9:42	easier for us. And then finally, one
[69] 9:44	question per chat because if we don't do
[70] 9:49	that, it's not fair to to to everyone.
[71] 9:52	People were putting 10 questions in a
[72] 9:54	single super chat. So,
[73] 9:57	um, we want to make sure that whatever
[74] 9:59	questions we answer, we answer
[75] 10:01	responsibly. And if you stack them like
[76] 10:04	that, we just can't do it. So, one
[77] 10:07	question per chat. All right. So, with
[78] 10:09	that said, let's get to the questions.
[79] 10:16	All right, our first question of the
[80] 10:17	night here is from
[81] 10:26	It's from Dark Blade. Okay. And he asks
[82] 10:29	the question, would an ancient Egyptian
[83] 10:31	man have been allowed to makeer
[84] 10:33	offerings for a dad who is a condemned
[85] 10:36	traitor or other serious criminal? Yes.
[86] 10:39	Um, the Egyptians kind of viewed
[87] 10:43	traitors and serious criminals like they
[88] 10:47	would get executed in this life and that
[89] 10:49	was the extent of their punishment in
[90] 10:50	this life. So, they were not denied
[91] 10:53	funerals, they were not denied
[92] 10:54	mummification, they were not denied
[93] 10:57	um a burial cuz that's all privately
[94] 11:00	paid.
[95] 11:02	So, that's a private property right
[96] 11:03	thing. That's not a that's not something
[97] 11:05	that's extended from the king. So um
[98] 11:09	traders and there are examples of
[99] 11:10	traders like Pentawarit
[100] 11:12	who were um executed and then given a
[101] 11:16	proper burial a proper mummification and
[102] 11:19	burial.
[103] 11:21	So
[104] 11:23	um and if they were mummified there's
[105] 11:25	almost certainly would have beenerary
[106] 11:27	offerings as well. So, that's just one
[107] 11:30	of those things that are that's that's
[108] 11:34	it didn't it didn't didn't even even
[109] 11:36	even a serious
[110] 11:38	um traitor could expect to have a proper
[111] 11:43	funeral in Egypt like Pentawarit. He's
[112] 11:46	the guy that assassinated Ramsey's III.
[113] 11:50	So, so it doesn't get much more serious
[114] 11:52	than that.
[115] 11:54	So,
[116] 11:57	so anyway, I hope that helped. Thank you
[117] 11:59	for the question. Really appreciate it.
[118] 12:03	Orion Cohen Cab asks the uh follow-up
[119] 12:05	question. Was there any crime that was
[120] 12:07	deemed serious enough for afterlife
[121] 12:09	punishment?
[122] 12:11	Um most of that could be mitigated by
[123] 12:13	magic spells. You don't actually see
[124] 12:16	afterlife punishment in Egyptian
[125] 12:18	religion until the third intermediate
[126] 12:22	period. That's when you start seeing
[127] 12:23	that sort of enter into Egyptian
[128] 12:25	religion. But that is actually an
[129] 12:27	indirect result of autonism. So it's one
[130] 12:31	of those things where the influence of
[131] 12:33	autonism because often autonism believed
[132] 12:35	that people got punished in this life
[133] 12:37	for their crimes that there was no
[134] 12:39	afterlife punishment but but God's
[135] 12:43	basically they actively punished you in
[136] 12:46	this life for your sins.
[137] 12:49	So it was one of those things where that
[138] 12:52	influence where the deities punished the
[139] 12:55	sins of people only starts coming into
[140] 12:59	Egyptian religion in the third
[141] 13:00	intermediate period as a result of that
[142] 13:02	influence. So hope that helps. Thank you
[143] 13:05	for the followup question.
[144] 13:09	Okay. Uh next question here
[145] 13:12	is from also from Dark Blade. Uh, Dark
[146] 13:16	Blade asks, "Can God rewrite the past
[147] 13:18	and make it so that a real event never
[148] 13:20	happened or vice versa?"
[149] 13:23	He can. The question is, why would he?
[150] 13:26	There'd be no necessity for it because
[151] 13:29	God being God will write
[152] 13:32	the present the way he wants it to begin
[153] 13:34	with. So, he could do it. He just has no
[154] 13:39	necessity to do it. So, therefore, it
[155] 13:42	would never be done.
[156] 13:44	So, it's kind of like that sort of thing
[157] 13:47	where because of God's it's one of those
[158] 13:50	those potential powers that's never
[159] 13:53	exercised because it has no necessity to
[160] 13:56	be so. And a lot of that is because God
[161] 13:59	can see not just every f potential uh
[162] 14:02	the future but every potential future.
[163] 14:06	So because God can see every potential
[164] 14:08	future and is outside of time, he can
[165] 14:10	arrange things to be the way he wants it
[166] 14:12	to be right now in the present
[167] 14:14	regardless of what um avenue of
[168] 14:17	potential future is ultimately taken. So
[169] 14:20	hope that helps. Thank again for the
[170] 14:22	question. Really appreciate it.
[171] 14:30	Okay,
[172] 14:32	next one here.
[173] 14:35	is from
[174] 14:39	the dusa dude who asks
[175] 14:43	uh what the heck do you think is inside
[176] 14:45	the freakish big void inside the and he
[177] 14:49	means the great pyramid here. Uh
[178] 14:53	we don't know. My guess is it's loose
[179] 14:58	stone that sort of came loose. Basically
