[0] 0:24	Hey. Hey. Hey.
[1] 4:22	Hello and welcome to this R2. 265th live
[2] 4:25	stream, the pharaoh of swing.
[3] 4:29	We of course are referencing to the uh
[4] 4:32	Monday video that we did on Ramse's II
[5] 4:35	as Pharaoh of the Exus. And if you
[6] 4:37	haven't seen that, please do so. Uh
[7] 4:40	basically, the book we're going to
[8] 4:42	promote this week is The Lord of Steel
[9] 4:44	and Sky, which is uh going to be
[10] 4:47	released in four weeks. So, we are down
[11] 4:50	to the one month countdown of the
[12] 4:51	release date. So, if you haven't
[13] 4:53	pre-ordered that, please do so. And, uh,
[14] 4:56	once you do get it, please leave a
[15] 4:58	review. Uh, your reviews really really
[16] 5:00	matter to us. So, uh, we
[17] 5:05	we depend upon your reviews. So, uh,
[18] 5:09	please do so. All right. So, uh, one
[19] 5:12	other, uh, point of, uh, business we
[20] 5:14	should take care of is the fact we are
[21] 5:17	both exhausted. I have not slept in 48
[22] 5:20	hours and uh Mrs. Producer is not much
[23] 5:24	better off. So, um
[24] 5:28	yeah, we are a little punchy tonight
[25] 5:31	just because it we are just exhausted.
[26] 5:34	So,
[27] 5:36	with all that said, uh let's get into
[28] 5:39	the rules and then let's get into the
[29] 5:40	questions.
[30] 5:42	Uh super chats have priority same as all
[31] 5:46	YouTube channels. That should be no
[32] 5:47	surprise to anybody. We do take non-s
[33] 5:50	super chat questions, but we ask that
[34] 5:51	you put a Q and a colon in front of it.
[35] 5:54	Uh so that we know it's direct to us. No
[36] 5:56	Q, no colon. We might as well not see
[37] 5:57	it. Only post non-super chat questions
[38] 6:01	once. Uh even small small tweaks will
[39] 6:05	get your question disqualified.
[40] 6:08	Also, we should also point out that just
[41] 6:10	because you put post a nons super chat
[42] 6:13	question does not guarantee we are going
[43] 6:16	to take it.
[44] 6:22	Mrs. Producer has already spilled the
[45] 6:24	beans on on a sloppy book start.
[46] 6:30	Yes, everyone's been asking for a sloppy
[47] 6:32	book.
[48] 6:37	Okay. Um, rule number four, uh, if you
[49] 6:41	ask a a question about the Bible, we do
[50] 6:43	need a little bit of context. So, we
[51] 6:45	need the what book it's from, what
[52] 6:47	chapter, and what verse.
[53] 6:49	We do allow, uh, questions to be
[54] 6:51	sponsored, in which case, please copy
[55] 6:54	the non-sup chat into the super chat, so
[56] 6:56	we don't have to hunt for it. Makes
[57] 6:58	things easier for us. And finally, one
[58] 7:00	question per chat, no question stacking,
[59] 7:03	cuz that's just not fair to anybody. All
[60] 7:05	right? in which case we'll just take one
[61] 7:07	and then move on. All right, that said,
[62] 7:11	we're going to get into the questions.
[63] 7:14	All right.
[64] 7:18	Yeah, one of the reasons I didn't get
[65] 7:20	sleep last night was because somebody
[66] 7:23	came up with an idea for a sloppy book.
[67] 7:29	Mrs. Producer is smiling broadly off
[68] 7:33	screen.
[69] 7:40	Mama goes, "Sloppy has main character of
[70] 7:43	an end scene credit scene energy." Oh,
[71] 7:46	he's got a little more than that.
[72] 7:51	But yes, um
[73] 8:01	uh
[74] 8:03	Ed Wilson says, "Also, Dr. Faulk, my
[75] 8:05	name is pronounced Zomine comes from Zom
[76] 8:10	by Combine Enemy from Halflight 2, the
[77] 8:13	internet name I chose for myself when I
[78] 8:15	was 11 and it still has stuck laugh out
[79] 8:17	loud." And yet it says Ed Wilson's.
[80] 8:21	Um,
[81] 8:24	okay.
[82] 8:27	All right. Let's move on here. Let's
[83] 8:28	let's start off with the first question
[84] 8:30	here.
[85] 8:32	First question
[86] 8:34	is uh from uh Magnus of the North. Uh,
[87] 8:40	generally speaking, how good are the
[88] 8:42	church fathers at interpreting the Old
[89] 8:44	Testament?
[90] 8:47	um not fantastic.
[91] 8:50	Um sometimes they're okay, but sometimes
[92] 8:53	they're really off.
[93] 8:56	Um I think it was Irenaeus
[94] 8:59	who interpreted Isaiah 9. This is the
[95] 9:02	Emanuel, famous Emanuel passage. The
[96] 9:05	historical context of that passage is
[97] 9:08	the um um
[98] 9:12	Syria Ephraimite war
[99] 9:15	uh towards the last days of the kingdom
[100] 9:16	of Israel. And Irenaeus interpreted that
[101] 9:21	that as a weird um
[102] 9:25	weird prophecy concerning the Myithras
[103] 9:28	cult. It's very It's a very strange
[104] 9:30	interpretation
[105] 9:33	and it's one really
[106] 9:36	specific for
[107] 9:39	um Romans.
[108] 9:42	So I I don't think that's a good
[109] 9:44	interpretation. I don't know anyone else
[110] 9:46	who thinks it's a good interpretation.
[111] 9:49	Uh so the church fathers are kind of hit
[112] 9:52	and miss when it comes to interpreting
[113] 9:54	the Old Testament. Uh like uh when it
[114] 9:57	comes to for example say who was the
[115] 9:59	king of the exodus, they're all over the
[116] 10:00	map.
[117] 10:02	Uh you get you get ones that say it's
[118] 10:05	Tutmos IV, you get ones that say it's
[119] 10:07	Okamos the first, you get ones that say
[120] 10:09	it's Aenot. And you even get guys who
[121] 10:12	say it's it's Amus from the 19th
[122] 10:14	dynasty. So
[123] 10:17	So yeah, they're they're really not
[124] 10:19	consistent and how they interpret the
[125] 10:22	Old Testament. So,
[126] 10:25	the only thing they can seem to agree on
[127] 10:26	is that it's Christ in the Old
[128] 10:28	Testament. That's the only thing they
[129] 10:29	can really seem to agree on.
[130] 10:32	So,
[131] 10:33	as long as you understand that, I mean,
[132] 10:35	it's okay to read them, but don't take
[133] 10:36	them for gospel when it comes to
[134] 10:37	interpreting the Old Testament.
[135] 10:42	So, that's what I would say about that.
[136] 10:45	It was because
[137] 10:50	>> uh Francis D goes, "Was it because of
[138] 10:52	the limited historical knowledge?" Yeah,
[139] 10:54	pretty much. Most that knowledge had
[140] 10:56	been lost at that point.
[141] 10:59	So
[142] 11:02	yeah, there's um there's a lot there's a
[143] 11:04	lot of limits to their their knowledge
[144] 11:06	about the Old Testament. So you will get
[145] 11:08	some strange interpretations sometimes,
[146] 11:10	interpretations that don't just don't
[147] 11:12	make sense. So just keep that in mind
[148] 11:15	when you uh when you engage the church
[149] 11:17	fathers especially on the Old Testament
[150] 11:22	but it will get you really good insight
[151] 11:24	on what they were thinking at the time.
[152] 11:26	I'll say that gave you a real great
[153] 11:28	insight about what Roman period
[154] 11:30	Christianity was thinking
[155] 11:33	and and how diverse that thinking was.
[156] 11:35	Crazy how diverse it was.
[157] 11:40	All right, next one here
[158] 11:42	is from God. Uh, Golden Wind. Sorry, I'm
[159] 11:45	gonna I'm gonna I'm gonna mess up names
[160] 11:47	all night. Okay, just because I'm tired.
[161] 11:49	So So don't hold that against me. I'm
[162] 11:51	just going to misspeak everything
[163] 11:53	tonight.
[164] 11:55	Okay. He he asks or she asked, I don't
[165] 11:57	know which one it is.
[166] 11:59	uh between primoscriptura and solos
[167] 12:03	scriptura when both consider the
[168] 12:04	historical context of the text which is
[169] 12:07	preferable com for communities over
[170] 12:10	long-term so they do not drift all
[171] 12:13	define some terms and we're actually
[172] 12:15	going to include one other term here
[173] 12:17	uh you've got primmaiscriptura and what
[174] 12:20	primiscripture is you consider scripture
[175] 12:24	first
[176] 12:25	and then you can add anything else you
[177] 12:27	want to
