[0] 1:06	Heat. Heat.
[1] 7:01	Hello and welcome to this our 268th live
[2] 7:04	stream. Getting it okay.
[3] 7:08	Uh this is of course an homage to our
[4] 7:10	Monday video which is uh getting it
[5] 7:13	right where we talk about the Eastern
[6] 7:15	Orthodox view of the veneration of the
[7] 7:17	saints.
[8] 7:19	Um, channel business. Let's talk channel
[9] 7:22	business here because we do have some
[10] 7:24	pieces of channel business tonight. Um,
[11] 7:27	the first piece of channel business is,
[12] 7:29	in case you're not aware, there's a
[13] 7:30	solar storm going on. Uh, this should
[14] 7:33	not affect our live stream to any
[15] 7:36	significant degree.
[16] 7:39	Uh but for some of you who are say using
[17] 7:43	services like Starlink that require uh
[18] 7:46	radio communication, you could get some
[19] 7:49	interruption of service. So, we just
[20] 7:52	want to make people aware that if there
[21] 7:54	is
[22] 7:56	um if if you experience some some
[23] 7:59	outages, uh it might not be YouTube or
[24] 8:03	us because we're hardwired here, but um
[25] 8:07	it might be some telecommunications link
[26] 8:10	along your path. Okay. Yeah. CPM versus
[27] 8:13	DOS. Wires win again, don't they always?
[28] 8:17	I mean, wires are the best. You know
[29] 8:22	they are still the most reliable form of
[30] 8:24	communication.
[31] 8:28	Okay. Go camp. Will we all get
[32] 8:31	superpowers?
[33] 8:38	Um
[34] 8:42	Dr. Ey says, "I've never used Starlink
[35] 8:45	in your in my life." No, but you may
[36] 8:48	have used microwave internet links and
[37] 8:51	not know it. Uh for there's they still
[38] 8:55	use this in some places instead of a
[39] 8:58	wire. They still use microwave uh uh
[40] 9:00	internet links and uh those are
[41] 9:03	susceptible to solar radiation. So just
[42] 9:07	want to make you aware of that. Uh
[43] 9:10	fortunately we are mostly beyond the
[44] 9:12	days of packet radio although some
[45] 9:16	people are still using it. I like to use
[46] 9:17	it to be honest. Um sounds very
[47] 9:20	interesting but
[48] 9:23	um there are still people out there who
[49] 9:24	are using uh radio communications of
[50] 9:28	some kind for their internet services
[51] 9:30	and Starlink is one of those types of
[52] 9:32	services. So
