[0] 0:17	Hey
[1] 1:34	Heat.
[2] 1:54	Hey, Heat.
[3] 4:25	Hello and welcome to this our 269th
[4] 4:29	live stream.
[5] 4:31	Smithers, release the book hounds.
[6] 4:39	If you get that Simpsons reference,
[7] 4:41	you're probably way too old.
[8] 4:46	But it's also happens to be our release
[9] 4:49	week. So, this is the week that Lord of
[10] 4:52	Steel and Sky is getting released. So,
[11] 4:56	it is being released to the hounds.
[12] 4:59	Go buy it, review it, enjoy it. Learn
[13] 5:04	NCO 32.
[14] 5:11	That was fun.
[15] 5:13	Uh, let's see what we got here. Saw a
[16] 5:16	comment here earlier.
[17] 5:18	Uh, where was it?
[18] 5:27	What? Five on Mobius says Dr. Huff Meyer
[19] 5:30	has a new book on the Exodus. You know,
[20] 5:33	I hadn't heard at all that he had a new
[21] 5:36	book out.
[22] 5:39	Just got this in the mail like
[23] 5:40	yesterday.
[24] 5:43	It's thick. It's a big thick book.
[25] 5:48	Uh doesn't have colored pictures like my
[26] 5:51	book. The pictures are all black and
[27] 5:52	white.
[28] 5:54	There's a few color plates in the back,
[29] 5:55	but it's thick. Very, very thick.
[30] 6:00	So, uh, I'm going to be reading this and
[31] 6:04	I'm going to, uh, then be doing a
[32] 6:07	podcast with Jim Hoffmire talking about
[33] 6:09	his book. So, this looks like 480 pages.
[34] 6:13	So, it's a lot thicker than his original
[35] 6:17	um, Israel uh, in Egypt. So
[36] 6:21	>> with many words,
[37] 6:22	>> a big thick book with many words.
[38] 6:28	Exactly, Andrew.
[39] 6:32	H good times.
[40] 6:34	Good good times.
[41] 6:36	Okay, so uh let's get to the rules here
[42] 6:40	and then we will start taking questions.
[43] 6:44	Uh super chats have priority. That's um
[44] 6:48	fairly straightforward.
[45] 6:51	uh non-super chat uh questions uh should
[46] 6:54	begin with a Q and colon. No Q and a
[47] 6:56	colon. We don't see it. It doesn't
[48] 6:58	exist. We also don't guarantee that we
[49] 7:00	take your non-super chat question. Okay.
[50] 7:03	Super chat questions are non-super chat
[51] 7:05	questions are kind of optional for us.
[52] 7:08	Uh we may take it, we may not. Depends.
[53] 7:11	Is it in our wheelhouse? Is it something
[54] 7:12	that interests us? Is it something
[55] 7:14	that's provocative and interesting? So,
[56] 7:17	if it happens to be more along those
[57] 7:19	lines, then we're more likely to take
[58] 7:21	it.
[59] 7:23	Um, only post your nons super chat
[60] 7:25	question once. If you post it multiple
[61] 7:28	times, it will be disqualified for the
[62] 7:30	night. This is a hard and fast rule uh
[63] 7:33	for us because otherwise we get people
[64] 7:35	spamming the chat with their question
[65] 7:37	over and over and over again and we
[66] 7:38	can't have that.
[67] 7:41	Uh we also ask if it has something to do
[68] 7:43	with the Bible that you
[69] 7:46	give us uh what book it's from, what
[70] 7:48	chapter, and what verse. That makes it
[71] 7:50	easy us easier for us to find.
[72] 7:54	Uh also, if um if you sponsor a super
[73] 7:57	chat, we ask that you copy the question
[74] 7:59	you're sponsoring into the super chat.
[75] 8:01	That way, we um don't have to hunt for
[76] 8:05	it. Just makes it a little easier for
[77] 8:06	us.
[78] 8:08	And then finally, uh, one question per
[79] 8:10	chat. No question stacking because
[80] 8:13	that's not fair to anybody. Okay, so uh
[81] 8:16	those are the rules. You can see a copy
[82] 8:18	of the rules in the uh um description.
[83] 8:22	There's also a link in the description
[84] 8:24	to Jack Ray's indexing uh project.
[85] 8:28	Woohoo.
[86] 8:30	He did an awesome job on this and we
[87] 8:33	really want to thank him for that
[88] 8:34	because this has been a um
[89] 8:38	um this has been just um a pain in the
[90] 8:41	neck for a long time not having indexing
[91] 8:45	to all the questions. So he's finally
[92] 8:47	done that and uh thank you very much
[93] 8:50	Jack. We really really appreciate that.
[94] 8:55	All right.
[95] 8:58	Ryan Concap goes, "Wait, there's an
[96] 9:00	in-n-out in Egypt."
[97] 9:03	That's what it says in the title. Egypt
[98] 9:05	in and out. Israel in and out of Egypt.
[99] 9:08	So, yeah, there's there's an in-n-out in
[100] 9:11	Egypt.
[101] 9:15	>> Um, can you tag Jack's comment?
[102] 9:18	>> Yeah, I can tag it to the top here. Uh,
[103] 9:22	let's see here. What can I do here?
[104] 9:24	Can I
[105] 9:26	pin pin pinned it?
[106] 9:32	Um, we should also mention too uh with
[107] 9:35	the Lord and Steel and Sky because it's
[108] 9:37	launch week uh in one month time and I
[109] 9:40	don't know the exact date off the top of
[110] 9:42	my head. Let me determine that.
[111] 9:45	Um, looks like it will be
[112] 9:49	see it's 5 to
[113] 9:52	Wednesday the 12th.
