[0] 0:07	do [Music]
[1] 0:22	[Music]
[2] 1:25	[Music]
[3] 1:33	hello and welcome back to this our 29th live stream
[4] 1:39	uh we're glad that you've joined us tonight and uh we are ready to start asking answering your questions on
[5] 1:45	ancient egypt and the bible now the name of tonight's live stream which was a copper penny for your
[6] 1:52	thoughts is kind of a play on 29 29 being the atomic number of the metal
[7] 1:59	copper so there's a little science geekery going on there
[8] 2:05	again like all our other live streams are
[9] 2:11	the rules are the same super chats have priority the
[10] 2:16	um if you want to ask a non-super chat question begin the question with a q and
[11] 2:23	a colon also please only ask your question once
[12] 2:28	and if you refer to a passage in the bible such as a quote from the bible
[13] 2:35	please include the verse or if you do say for example a ask a question about a
[14] 2:40	specific word please tell me what you think it means so i know exactly have a little context to work with
[15] 2:47	so what you might notice too we have now a scrolling bar at the bottom that lays all these rules out so
[16] 2:54	uh if you forget the rules they're down there so anyway
[17] 2:59	uh with that said let's get to your questions and we're gonna start off with three non-super chats
[18] 3:05	okay the first uh non-um super chat question is from chao
[19] 3:12	yi dr faulk have you ever thought of doing book reviews yes
[20] 3:18	i would love to hear your opinion upon the magic section system in rick
[21] 3:23	riordan's kane chronicles now i have thought about doing book reviews
[22] 3:31	but i don't do book reviews and that's not really too
[23] 3:37	i do do book reviews for peer-reviewed journals however book reviews take a long time to
[24] 3:43	do and i really just don't have the time to do them for youtube
[25] 3:49	so that's that's really why i don't do book reviews on youtube the other reason is on on say youtube
[26] 3:56	it's such a it's such a audio visual format doing something that's more audio
[27] 4:03	is is is not exactly a winning formula on on youtube so
[28] 4:09	i don't think the medium of youtube plays well to book reviews
[29] 4:15	however with that said i do actually have an opinion on magic
[30] 4:21	systems that are in fiction even though i have not read rick
[31] 4:28	riordan's king chronicles my opinion is a generally that
[32] 4:35	it depends upon how the metaphysics of the author's worlds are constructed
[33] 4:42	let's take for example say the magic system in the lord of the rings in the lord of the rings the magic
[34] 4:47	system is based mostly upon the inherent
[35] 4:52	abilities that ilu avatar has given the people so magic for them is just an extension
[36] 4:59	of basically their nature that was given to them by
[37] 5:05	by the god-like being so that sort of magical system would still
[38] 5:12	be consistent within a christian world view however where you have say harry potter
[39] 5:19	where it's a magical system that is disrupted in nature it disrupts the
[40] 5:24	natural order we would call this for example the difference sort of between say
[41] 5:30	sympathetic magic versus disruptive magic
[42] 5:35	now this is not saying that all sympathetic magic is is say god ordained
[43] 5:41	however if if it were to be a a something that's consistent with a christian worldview
[44] 5:48	it would be more along the lines of sympathetic magic then say disruptive magic
[45] 5:53	and it's clear that the magical system in harry potter disrupts the natural world view
[46] 6:00	so i do have say some opinions upon say magical systems that are found in say
[47] 6:07	games and and fiction and some of them are definitely more consistent with the christian worldview
[48] 6:14	than others so anyway thank you very much for the question and i appreciate it it's a good
[49] 6:20	question okay our second non-super chat
[50] 6:25	uh on a scale of one to ten how annoying is it to hear modern historians claim moses must have
[51] 6:32	been made up because moses is an egyptian word 9
[52] 6:37	9.5 thank you very much for the question [Laughter]
[53] 6:46	all right and the third non-super chat question
[54] 6:52	with marcy paul powell sorry um
[55] 6:57	do you know anything on the hysteresis the of darius the mede um
[56] 7:03	we don't actually have a lot of of non-biblical sources from in fact the
[57] 7:09	only source we have for darius the mede is from uh from scripture itself
[58] 7:15	now that doesn't mean that darius the meat didn't exist
[59] 7:20	i i think one of the best uh views i found on this was i think it was
[60] 7:26	done by donald j wiseman and wise men postulated that
[61] 7:32	that kings in the ancient near east could have say many
[62] 7:37	um many different names such as for example
[63] 7:42	tiglath polisher could sometimes be called pulled p-u-l
[64] 7:48	so it was speculated by uh by weisman that darius the mede
[65] 7:56	was just another name for cyrus so i i think that's at least a good
[66] 8:03	working hypothesis again we just don't have enough information here
[67] 8:08	to to say for sure but i'm also not going to subscribe to an absence of evidence argument here
[68] 8:13	because i think wow i mean so many historians have tried absence of
[69] 8:20	evidence arguments and had at end up with egg on their face it just isn't even funny i mean it's just crazy how
[70] 8:26	many historians have done this gone down this road and just ended up with the egg on their face
[71] 8:33	so anyway uh thank you very much for the question i hope that answers the question we just don't have enough to be evidence to be sure but i think there's
[72] 8:41	at least a plausible explanation for it okay
[73] 8:47	so now let's get into the super chats
[74] 8:54	now our first super chat is from brick creation for twenty dollars thank you very much for that super chat very
[75] 8:59	generous hi dr falk uh sorry last question about the tomb of talpiyat okay
[76] 9:06	um i'm cool it's good you're you're helping fund the channel
