[0] 0:10	so [Music]
[1] 0:22	[Music]
[2] 1:30	[Music]
[3] 2:27	tell them the power wasn't onto the microphone will just take a second to to um
[4] 2:34	restart this
[5] 2:46	is it on now okay awesome sorry about that a little technical difficulty
[6] 2:53	okay um again welcome back this is our 30th live stream and the title of it is
[7] 3:01	uh full moon on saturday uh it's a tribute to the uh civic month which is
[8] 3:06	30 days and uh for you people who are also skyrocketers
[9] 3:13	saturday is a full moon so uh with that said we're going to get into the questions
[10] 3:19	again the uh the format is the same as always where we take super chats first
[11] 3:26	and if you're not going to do a super chat but still want to direct a question towards me
[12] 3:31	please put a q and a colon in front of it so i know that the question is not being
[13] 3:37	directed to somebody else in the live stream now with that said however uh please
[14] 3:44	only post your question once we have a few people who've been sort of breaking that rule recently
[15] 3:49	and we would i really request that you only post your question once so
[16] 3:56	with that said uh let's start getting into the questions so i have a first uh pre-question here
[17] 4:04	from chauyie uh do you have opinion on how bulls became the go-to choice of sacrifice in
[18] 4:11	the ancient year east also could there be a connection to the proto-indo-european creation myth
[19] 4:19	let's answer the first one first uh the answer is no and i think the reason is because the
[20] 4:25	proto-european indo-european creation myth came probably a little later than
[21] 4:30	what we find in the ancient near east now bulls being the go-to choice of
[22] 4:36	sacrifice was because the cow was of such economic importance all the way from
[23] 4:44	from the um from africa all the way to india
[24] 4:50	so cattle worship was was important for agriculture it was important for tilling
[25] 4:56	the land it was just important for food milk meat
[26] 5:02	so because it is so important to the economic life and the
[27] 5:08	agricultural life of peoples across the ancient near east it was also understandable that it
[28] 5:14	became the go-to choice for sacrifice as well and the whole thing about sacrifice is
[29] 5:20	sacrifices hurt you don't sacrifice uh
[30] 5:26	basically stuff you want to just cast off you sacrifice important stuff
[31] 5:31	and for a farming family there's there's probably nothing more
[32] 5:38	important than sacrificing your cow for the sake of say the future survival of
[33] 5:43	your family so i think that's why it was so important as far as its um
[34] 5:53	why the bull became say the sort of the preeminent sacrifice that we find in
[35] 5:58	in ancient eastern cultures anyway thank you for the question now i'm actually going to pick another
[36] 6:05	one and i'm actually going to pick one right off
[37] 6:10	the right off the um
[38] 6:18	see here because there is one other question i saw that i really really want to answer
[39] 6:24	and it's this one here uh
[40] 6:29	twitch it on here all right uh white girl with instagram black screen
[41] 6:35	i watched hindel's a myth vision video i haven't seen it you said the israelites were canaanites
[42] 6:42	when in egypt yes they were yet he says hofmeyer has to deny this or
[43] 6:47	he loses job can you explain on the canaanite thing this is this is really sort of
[44] 6:53	disingenuous because it doesn't actually engage the
[45] 7:00	issue of whether the israelites were canaanites in egypt
[46] 7:06	it doesn't engage that at all all it's doing here is
[47] 7:11	um it is essentially ascribing bad motives
[48] 7:16	to to huffmeyer it's basically saying well he's got to say that otherwise he
[49] 7:22	loses his job but that doesn't actually engage the issue
[50] 7:27	it doesn't engage the issue in the slightest it's just saying well
[51] 7:32	yeah he's got to say it for economic reasons for selfish economic reasons
[52] 7:39	and that's logically fallacious it's logically fallacious
[53] 7:46	i would have had much more respect for for hendel here if he had actually say
[54] 7:51	gone after um the actual say connection between the
[55] 7:57	canaanites at a virus and say the um
[56] 8:02	israelites but if you don't go after that connection don't engage that connection in some way
[57] 8:08	then the the objection is really just sort of was nothing at all it's it's just
[58] 8:14	bad reasoning so um yeah
[59] 8:20	i i you can't you can't put any stock into that now um
[60] 8:25	do we have uh evidence that the canaanites atavarus um
