[0] 0:10	do
[1] 0:16	[Music]
[2] 0:34	[Music] so
[3] 0:52	do [Music]
[4] 2:10	[Music]
[5] 2:17	hello and welcome to this our 43rd live stream where we take your questions on
[6] 2:23	ancient egypt and the bible and um today we are just going to take your
[7] 2:29	questions and without much fanfare uh if
[8] 2:34	as always super chats have priority uh if you're not going to do do a separate chat please prefix your
[9] 2:41	question with a queue and a colon we try to get as many non-super chats in
[10] 2:46	as we can uh we ask that uh you only ask your question once
[11] 2:53	and if you're going to do a um something related to say a bible verse
[12] 2:59	or say a foreign word please let me know what you think that verse is or what that word
[13] 3:05	means so i have a little bit of context to go on so with that said uh let's get into the question we
[14] 3:12	actually don't have a lot of super chats so we are actually going to start i
[15] 3:17	think with the super chat because then we can get into the non-super chats
[16] 3:23	of which we got a lot so load up twitch it
[17] 3:28	okay
[18] 3:35	okay our first super chat is from cataphract
[19] 3:41	3. twitch it up here see how far back this goes
[20] 3:49	so select that okay awesome okay
[21] 3:54	cataphract3 gave us a super chat for five dollars thank you very much
[22] 3:59	what is the ancient near eastern context for the sabbath and do you think it should be practiced in the church today
[23] 4:06	okay the ancient near eastern context of the sabbath
[24] 4:13	orients around the whole idea of the weak uh it is actually something that we find
[25] 4:19	that's new with the israelites coming out of egypt the egyptians had a 10-day work week
[26] 4:26	and only half a day off so in ancient egypt you worked nine and
[27] 4:32	a half days and you got a half day off okay so frankly everyone was working every
[28] 4:38	day practically so there was no rest
[29] 4:44	there was no rest so when the israelites come out of egypt
[30] 4:49	um they are going to they're developing this this
[31] 4:54	way of explaining the world through yahweh as creator
[32] 5:00	and they use the six days of creation and the seventh day where god rested
[33] 5:06	from it as being sort of a model that should apply to the work week for the
[34] 5:12	ancient israelites and this is really our earliest indication of say a sabbath is actually
[35] 5:19	at mount sinai so we don't find a lot of other ancient year context for a sabbath outside of
[36] 5:26	that at least i haven't discovered it there might be but um but that's that's the earliest i i've
[37] 5:32	been able to see it is mount sinai for the concept of a sabbath or even for that shortened work week that whole sort
[38] 5:39	of um seven day work week so
[39] 5:44	um there's not much more to say about that as far as it's its context but it does
[40] 5:50	seem to be based upon the um the creation myth that the israelites sort of um
[41] 5:58	believed in as they were coming out of egypt now the second part of your question
[42] 6:03	should it still be practicing the church and i'm going to answer it this way
[43] 6:09	i think it should be practiced i don't think it must be practiced
[44] 6:16	okay i'm going to be very very nuanced about this i think it's a really really good idea
[45] 6:22	to practice the sabbath i think it's very healthy to practice a sabbath
[46] 6:27	but we also need to recognize in modern church theology that christ is
[47] 6:34	the fulfillment of the sabbath and the sabbath is the commandment that sort of is the catch bucket of the
[48] 6:40	entire ceremonial law so when christ provided for him himself
[49] 6:47	as a sacrifice it uh it covered every aspect of the
[50] 6:53	ceremonial law including the sabbath himself you know christ is is is famous for
[51] 6:58	saying you know the sabbath was made for man not man for the sabbath
[52] 7:04	and christ said i am the lord of the sabbath okay and that he is the fulfillment of the
[53] 7:10	sabbath so with that said you know
[54] 7:15	the the the onerous burdens of the sabbath are no longer on us
[55] 7:21	but that doesn't uh that doesn't negate the beneficial
[56] 7:27	aspects of the sabbath which is it's not good to be working all the time
[57] 7:33	24 hours a day 7 days a week
[58] 7:38	physician heal myself do as i say don't do as i do
[59] 7:47	okay i mean i'm i i'm terrible about being a workaholic i'm absolutely
[60] 7:53	i mean i work all the time given my druthers so it's like i have to sort of really sort of
[61] 8:00	um almost force myself to take a sabbath because i have this constant compulsion
[62] 8:06	to work so and part of it is i do really enjoy my work which makes it even worse it's
[63] 8:13	even worse when you enjoy it so a rest is necessary taking a day off every week is necessary
[64] 8:21	does the lord care what day of the week it is no no if your sabbath is a wednesday
[65] 8:26	fantastic that works if your sabbath is a sunday that works too
[66] 8:32	uh it's not really more it's not really so much
[67] 8:38	that um that any particular day of the week is sacred
[68] 8:45	it's more that taking a day off
[69] 8:50	in faith to the lord is good for you it's good for you
[70] 8:58	so that's my opinion on this um it is interesting because we do see i
[71] 9:04	mean this is a radical departure from the egyptian work week you know there's no reason why the israelites couldn't
[72] 9:10	have just continued with the egyptian work week i mean it made sense you had every month was broken down
[73] 9:17	every month was 30 days broken down into three weeks of 10 days
[74] 9:23	very logical it's a very very logical work week very very logical month
[75] 9:29	you never had to wonder when the first day of the week was it always felt the same day of the week you know
[76] 9:36	you know or when the first the month was you know it was a very it's a very logical system
[77] 9:43	but it doesn't provide you with a lot of rest and all levels of people in an egyptian
[78] 9:49	society were working that work week so you know didn't matter if you were the
[79] 9:55	vizier didn't matter if you were a slave you worked that entire week the other thing that's that's really
[80] 10:00	interesting about the sabbath law too is that it applies to slaves
[81] 10:06	slaves got a sabbath rest your donkey got a sabbath rest
[82] 10:14	it applied to everyone in your household
[83] 10:19	so it you couldn't you couldn't sort of um
[84] 10:25	um wiggle your way around it oh i'm not working this sabbath but my slave is instead
[85] 10:33	that didn't work for the sabbath law everybody in israel had to take it
[86] 10:40	so you know it's one of those things where you know very few societies would have even allowed this for a slave just it was
[87] 10:46	wouldn't have been allowed for a servant or a slave so anyway i hope that answers your
[88] 10:51	question thank you very much for the super chat very much appreciated
[89] 10:57	okay and i just saw a second super chat in here as well and then we'll get to the non-super
[90] 11:02	chats from kwame i do zero zero seven for five dollars thank you very much for the super chat
[91] 11:09	hi dr faulk i'd like to know what you think of b-talk's late date for the exodus in the
[92] 11:15	12th century bc okay um i don't think it's quite that late but
[93] 11:21	it's close it's close and he does think it is the people leaving avarus
