[0] 0:02	[Music]
[1] 0:08	here hello and welcome back and uh to our seventh live stream this is uh
[2] 0:16	this is the uh seven in the ragged tiger edition uh in sort of uh uh celebration of also
[3] 0:24	my love for music uh so again all the titles are sort of themed off of popular culture references
[4] 0:33	and have little or nothing to do with actually egypt itself or the bible so um this is a
[5] 0:41	a great way to sort of start a live chat and again
[6] 0:47	with the live stream here we're going to take your questions on ancient egypt and the bible
[7] 0:52	and the way we're going to do this again is we are going to again the priority is going to be for
[8] 0:59	super chats but we're also going to try to take uh non-super chat questions as well
[9] 1:06	one of the things that uh [Music] if you're not gonna if you don't have a
[10] 1:12	super chat but still want your question uh noticed please put a q and a colon
[11] 1:18	in front of your question and i would also ask that you only post your question once
[12] 1:24	so i can see what has been answered and uh be able to tell
[13] 1:30	that it's a it's a question as opposed to one that's been already asked repeatedly
[14] 1:35	so it helps if if i i know what's being asked and what isn't so with that said uh we are actually
[15] 1:43	starting with many super chats uh even before we go on to the air
[16] 1:49	so um let's see here
[17] 1:54	all right and load this up
[18] 2:02	and our very very first super chat is from rg strategy for five dollars
[19] 2:09	thank you very much for your super chats uh one blank and one with a question now
[20] 2:15	the question is did susanne's the first get the silver to make his confident from reusing super
[21] 2:20	from earlier kings or actually got it from trade now prior to the third intermediate
[22] 2:29	period and i actually got a little picture here uh actually not his coffin
[23] 2:34	but the coffin of shoshank the second now we think he got it from trade
[24] 2:40	because uh during the uh 18th 19th and even into the 20th
[25] 2:45	dynasties silva was actually a very very rare rare resource so it's most likely that he got it in
[26] 2:52	trade somehow so again this is before uh shoshank the
[27] 2:59	first did his conquest of say uh israel so he would have invariably had to have
[28] 3:05	got this from silver mining operations that were at this point starting to go into production
[29] 3:13	so it's very interesting because we see this throughout the burials of um these third
[30] 3:20	intermediate period kings where they're basically in these silver coffins with silver masks
[31] 3:25	there's actually very little gold at this point being used in funerary and
[32] 3:32	part of that was because silver was considered to be much much more pres uh precious so this was actually a
[33] 3:40	statement of of their wealth not actually a statement of their poverty
[34] 3:47	so um it's it's very interesting because you look at something like this and
[35] 3:53	you would say well you know the craftsmanship isn't as good as the as the new kingdom and
[36] 4:00	you know it's silver not gold and we would think today yeah okay it's it's it's an impoverished dynasty
[37] 4:08	but that's not what's going on here the reason why it doesn't look as good is because silver's harder to work
[38] 4:14	and egyptian craftsmen were not as familiar with working with silver than then uh working with
[39] 4:21	gold now as a former metalsmith myself i used to make jewelry i had a jewelry
[40] 4:28	business at one point and i can tell you working with gold is a lot
[41] 4:33	easier than working with silver so um i can i can very very much appreciate
[42] 4:41	what these craftsmen went through to actually put together these coffins it's actually a tremendous technical
[43] 4:48	achievement so thank you very much for your super chat i hope that answers the question
[44] 4:54	the next super chat was by um recreation for ten dollars
[45] 5:02	thank you very much uh hi dr folk what is your opinion about the ezekiel 29 ezekiel 30
[46] 5:08	prophecy about nebuchadnezzar plundering egypt or leaving it desolate is there any archaeological evidence for this
[47] 5:16	yes actually there is uh quite a bit of evidence when nebuchadnezzar um he
[48] 5:22	invaded egypt after the israelites fled there what happened was the israelites
[49] 5:29	assassinated nebuchadnezzar's governor gedelai and then booked out of
[50] 5:35	israel and headed to egypt where they sought sanctuary at various
[51] 5:41	cities now i'm going to show you this picture here uh this is actually at the island of elephantini
[52] 5:47	this is one of the places where the israelites stayed when they fled nebuchadnezzar and we
[53] 5:53	know that nebuchadnezzar made it at least as far as elephantini um by the way on the very far
[54] 6:00	i guess it is uh right side of that photo you see kind of two walls sticking out
[55] 6:06	of the cliff side there that was their temple of yahweh
[56] 6:11	it's it's one of the few remaining remnants of a temple of yahweh so the
[57] 6:17	israelites went to elventini they they set up home and they did
[58] 6:23	uh follow their own worship there now when they assassinated getalaya
[59] 6:30	nebuchadnezzar was really really angry so he decided to just you know tear
[60] 6:37	through egypt you know finding as many israelites as he could and he did actually make it all the way
[61] 6:44	up the elephantini as a result what happened was he ended up plundering
[62] 6:50	uh egypt of most of its like sacred treasures its barks its its sacred
[63] 6:55	chests and basically hauled off almost all the gold of egypt so um after nebuchadnezzar's
[64] 7:03	rampage through egypt we see evidence of of smaller more diminutive sacred barks
[65] 7:10	after that so there is evidence that he actually did do this because the the the treasures of egypt
[66] 7:16	just weren't the same as they had been prior so we do see that evidence there
[67] 7:23	so excellent question great super chat thank you very much
[68] 7:29	okay the next super chat and where these are the ones we're just sort of
[69] 7:34	storing up here that before okay tom wanchik uh ten dollars thank
[70] 7:40	you very much uh do you think the myth of history interpretation of genesis 1 11 is
[71] 7:46	plausible as a endorsed by gordon when uh richard averbach
[72] 7:51	william lane craig okay i have met wenham uh i am a good friend of richard averback
[73] 7:59	um and yes i would actually agree with him here i think it is definitely plausible
[74] 8:05	um there's a historical aspect to it but it's also been mythologized and analogized this is one of the reasons
[75] 8:12	why i'm sort of at this point still reticent to make a firm statement on um on genesis is because i know that
[76] 8:19	there's this dynamic going on here so there is there is a dynamic here of
[77] 8:24	it being mytho history so i actually i would agree with them
[78] 8:29	in this case uh i think it's plausible i think it holds water and i think
[79] 8:36	it can um it is asked definitely consistent with what we know of ancient
[80] 8:42	um ancient near eastern um context it's the sort of thing that we would
[81] 8:47	expect them to do because those are the sort of questions they're answering in that day and age
[82] 8:53	so yes definitely okay and then finally our last
[83] 9:01	uh stored up super chat was again by tom wanchik for ten dollars thank you very much uh what do you make
[84] 9:08	of avant-garde egyptologists like graham hancock who propose exceedingly ancient
[85] 9:14	timelines for for ancient egypt okay um
[86] 9:19	i think graham hancock is full of baloney i really do i i think i think i think nothing he
[87] 9:27	says can be sustained so i've i've really got a low opinion of his work
[88] 9:32	but let's let's just take the sphinx for example just for example i'm going to show you three three photos here okay
[89] 9:39	this is the photo of the sphinx front on and you'll notice that there's some striations on the body i'll give you
[90] 9:45	the second picture it's going to give you a close-up of that there's the second picture you can see
[91] 9:51	those striations and that's caused by erosion now what hancock wants to say is that
[92] 9:56	erosion is caused by water and
[93] 10:02	well because water takes so long to erode stone hard hard stone this
[94] 10:09	uh must have been uh built you know 12 000 years ago okay that's that's more or less the the
[95] 10:15	argument well i'm going to also show you another picture from giza this is the
[96] 10:23	mortuary temple of menkaure once upon a time this is in this
[97] 10:30	funerary temple of menkaure so this is built after the sphinx all these blocks were once completely
[98] 10:38	flat and you can see here what erosion has done to these blocks
[99] 10:43	this is all a limestone that was taken locally from the giza plateau so it's got those same sort of hard soft
[100] 10:50	layers that you find in the limestone at giza but you can see how wind erosion
[101] 10:55	has just more or less just completely eaten out those rocks
[102] 11:00	and the fact is that that wind erosion is is very very um damaging to monuments
[103] 11:08	uh it's just the fact is you the wind just picks up a little sand and that
[104] 11:14	sand acts as an abrasive and you give it five thousand years and you
[105] 11:20	can see here that these are no longer flat surfaces these are look more like coral reefs
[106] 11:26	than uh temple blocks so anyway thank you very much for the
[107] 11:32	super chat and great question um but the short answer is no i think i think
[108] 11:37	hancock is full of baloney so all right now we can get to
[109] 11:44	the live chats here uh switch it here
[110] 11:49	okay and let's find the next one and we've got muhammad all right
[111] 11:56	for five dollars thank you very much uh what are good references for ancient
[112] 12:02	egyptian cuisine oh good question um
[113] 12:09	there was a um was it uh a book called the ancient egyptian
[114] 12:14	herbal which talked about all sorts of different herbs and spices that were used in ancient egypt
[115] 12:21	so that's a good source uh as far as uh specifically the cuisine
[116] 12:26	itself it's um i think there has been a few books done but none of them spring to
[117] 12:32	mind at the moment um maybe some of the other viewers will know them but the one that that sort of stands out to me is that
[118] 12:38	herbal that's that one is probably one of the best i've seen so uh that's that's all i can say at the
[119] 12:46	moment thank you very much for the super chat very much appreciate it
[120] 12:52	then michael beeson five dollars thank you
[121] 12:57	very much uh what is the earliest text for the opening of the mouth in context of
[122] 13:03	statues also with ditto with the dead okay um the earliest uh reference i believe
[123] 13:11	is in the pyramid texts and that's to sixth dynasty so that's that i believe is the earliest
[124] 13:18	reference to the opening of the mouth now what the opening of the mouth is is it is actually
[125] 13:25	the mouth is just opened with a ceremonial spoon with the idea that the spirit can come
[126] 13:30	in and out of the mummified body through the mouth also that the
[127] 13:37	that the mummy can also at this point accept um food and drink offerings so that's the
[128] 13:43	purpose of the opening of the mouth is really to allow the day and night return of the soul of the
[129] 13:49	deceased because the mummy was a proxy was was the body that the
[130] 13:54	that the mummy could return to afterwards or the soul could return to afterwards
[131] 14:00	so they didn't believe that that you were just dead and that was it they believed that there was a life that
[132] 14:06	the mummy had after death as well so but very interesting question uh thank you
