[0] 1:05	[Music]
[1] 1:12	hello and welcome back to the eighth live stream of ancient egypt and the bible uh we
[2] 1:20	uh named this one uh on the eighth ball and the reason is because it's a um
[3] 1:28	what we call in in english a idiom and there are a lot of every language
[4] 1:35	has a lot of idiomatic phrases uh one of my favorite is the idiomatic
[5] 1:40	phrase in hebrew for 40 meaning an indefinite period of time now what makes an idiomatic phrase
[6] 1:47	distinct is you cannot understand what it means
[7] 1:53	just from its uh grammatical portions like behind the eight ball you got a
[8] 1:59	preposition you've got a definite article and you've got a noun and none of it actually makes sense
[9] 2:07	unless you understand the cultural reference of the game of pool
[10] 2:12	so it's an idiomatic expression and i love idiomatic expressions they're
[11] 2:18	very very interesting and the bible is full of these i think one of the most
[12] 2:23	interesting idiomatic expressions actually occurs in genesis between jacob and laban
[13] 2:30	now after uh jacob makes off with both leia and
[14] 2:36	rachel laban follows him and basically uh
[15] 2:43	laban says to jacob may the lord be between you and me whenever we're apart
[16] 2:50	now that is actually an idiomatic um expression we all we we
[17] 2:57	see this expression you know when you go to a christian bookstore today and you find it on like promise rings and little plaques and
[18] 3:05	uh um uh i love you cards you know saying may the lord be be
[19] 3:11	between you and me whenever we're apart but the
[20] 3:16	idiom expression actually means
[21] 3:21	um i'm going to kill you the next time i see you that's that's exactly what laban means
[22] 3:27	it's a death threat it's it's basically the idea that
[23] 3:33	uh the lord better keep us apart or or i'm gonna i'm gonna off you so it's a
[24] 3:40	very very interesting idiomatic expression but unless you understand the context
[25] 3:46	of any particular culture you're not going to understand an idiomatic expression so
[26] 3:52	this being the eighth live stream i decided to use the idiomatic expression behind the eight ball
[27] 3:59	so for today's session again it's going to be an hour and a half super chats are going to have priority
[28] 4:04	like always if you have a question please be uh that's going to be addressed to me as opposed to other
[29] 4:10	people in the live stream chat please put a q and a colon in front of it so i can identify that it's for me
[30] 4:18	and uh we will take start taking your questions so the first question uh we have
[31] 4:24	actually two pre questions that super chats that were uh started uh um given to us
[32] 4:33	uh long before the uh live stream uh started here so i have to take screenshots of these and
[33] 4:38	then post them on so the first one here is from rg strategy
[34] 4:43	for ten dollars thank you very much how many intact tombs or partial and uh intact royal tombs
[35] 4:50	have been found i know king tooting comments susanne's the first and i read king horrors
[36] 4:57	of dynasty 13 was also partially intact also thank you and god bless you and god
[37] 5:03	bless you also thank you for the super chat now when we talk about royal tombs uh
[38] 5:10	it's actually more expansive than just kings royal tombs includes nobility uh princes princesses
[39] 5:18	and um you know daughters sons of the kings uncles that sort of thing and actually
[40] 5:24	as far as royal tombs not strictly kings we actually find a fair number of intact
[41] 5:30	royal tombs uh the tomb of uh thuyu and yuya um who were the uh who was the uh step
[42] 5:39	parents of amenhotep ii uh they were uh that was a a tomb that was
[43] 5:45	found in king's valley and that was intact now as far as what i think you mean which is actually the tombs of
[44] 5:51	kings they're very rare and you've pretty much actually um listed almost all of them
[45] 5:58	here already uh king tooting common of dynasty 18 is the probably the most famous one uh
[46] 6:05	there were the three founded tannis uh susanese the first um aminamope and shoshank the second
[47] 6:14	those were the three sort of intact tombs and then of course king [ __ ] of dynasty 13. now
[48] 6:21	king horror's tomb was actually really tiny it's it's uh it's only like a single shaft it had
[49] 6:28	enough room for his cost statue his um his coffin
[50] 6:34	and his canopic jars it's it was it's a really tiny tomb and actually it was partially it wasn't
[51] 6:41	actually fully intact it was partially intact in fact almost
[52] 6:46	all of these except for say the three tanite kings that i just mentioned were partially
[53] 6:53	intact um king hora's tomb had been robbed and
[54] 6:58	all the jewelry had been stolen off of his mummy essentially and all the gold uh foil had been ripped off of his coffin
[55] 7:05	so even his didn't escape uh tomb robbing uh two robbing has been around since
[56] 7:11	these at least the first or second dynasties it's it's his own oldest tomb building itself
[57] 7:18	as for um king tut it two had been robbed partially uh boom robbers had broken
[58] 7:26	into it and had taken uh off of a few items we don't know how many many items but
[59] 7:31	they didn't get away with very off with very many because it had um been robbed just
[60] 7:38	as the tomb had been closed and at that point king's valley was still being actively guarded so they didn't make off
[61] 7:45	with much and then after that uh the whole uh entrance to tut's tomb had been buried
[62] 7:52	in covered in and then a workers village was built on top of it and that's what kept that safe
[63] 8:00	now in the case of tanis and i'm going to just throw up a couple pictures here
[64] 8:06	this is uh the picture of tanis now tanis is actually an active archaeological site you there's not a lot of areas where you're
[65] 8:14	allowed to take pictures at tanis for example you really can't take pictures too much to the
[66] 8:20	to the left or the right of this shot but um to the left of this shop is
[67] 8:26	sort of the well of souls um as it's sometimes dubbed uh this was this was the the
[68] 8:32	quote famous well of souls that was supposedly in the raiders of the ark film uh lawyers of the lost ark film
[69] 8:39	but it's there there are actually just a couple deep water wells um and i do have some photographs of those and i might show you some other
[70] 8:45	time those but behind that those those wells there's also an active
[71] 8:51	um excavation going on of a granary but to the right of this photo is where
[72] 8:58	the tombs of the tanai kings are buried uh suseni is the first shoshank the
[73] 9:03	second um um talk about the first osaka on the
[74] 9:10	second um even though circle on the first is buried there and actually most of those
[75] 9:15	tombs were already robbed now in the case of the tanite tombs
[76] 9:22	and i'm going to throw up another picture here this is actually a picture of inside the
[77] 9:27	two of us and he's the first so this is just over the limtul this is a relief just over the lintel of the
[78] 9:33	door of susan he's the first when i was there so i did get some good shots there but
[79] 9:39	you are not allowed to take a shot like above the tombs so you can take take photographs inside
[80] 9:46	the tombs if you get permission and i had permission so you can't actually go to towns and
[81] 9:52	expect to take lots of photos um they they are really restrictive on
[82] 9:57	photographs at tennis and they're you're not allowed to take any photos at all
[83] 10:03	above it because as i say it's an active excavation area but you can sort of see that the whole
[84] 10:09	sort of top of the tombs were was actually the the floor of the temple that had been
[85] 10:15	there previously so in the case of sustenance the first
[86] 10:21	um and amanumope and shoshank the second they were more in a
[87] 10:28	recessed areas of the tombs because these these tombs are actually sort of crammed into each
[88] 10:33	other so there's about eight or nine kings actually and a bunch of uh princes and uh that
[89] 10:40	were buried at at tanus but these three kings were sort of more at the back
[90] 10:47	so they they kind of got hidden from the tomb robbers so that's how they escaped it um being being found
[91] 10:55	uh even so some of their stuff was looted as well but these three tombs were probably the
[92] 11:02	most intact that we find in egypt but very interesting question thank you
[93] 11:09	very much for your question and your super chat
[94] 11:14	the second super chat we have is from tom wanchik for ten dollars thank you very much for your super chat
[95] 11:21	how do scholars explain the mass departure from avarice that you often cite in your work
[96] 11:27	assuming most reject the biblical narrative what do they think happened there thanks for your ministry well um
[97] 11:34	what they think happened is that the river moved and it's it's it's a half truth
[98] 11:41	it did move but it did move later but what most uh scholars will say was
[99] 11:47	that the palesiac nation of the nile moved north and that the water supply crept away
[100] 11:53	from the city and this caused the people during the beginning of dynasty 19
[101] 11:59	to abandon avarus and move elsewhere so that's that's the general explanation
[102] 12:05	now some of us don't quite buy that explanation and
[103] 12:12	the reason why is because the port of avarice uh the
[104] 12:18	port's called peru nefer remained in operation through dynasty
[105] 12:23	20. okay so it's really difficult to say that the whole city picked up and left
[106] 12:30	because the river salted up but yet the port is still in operation but just doesn't make a lot of sense to
[107] 12:36	me uh [Laughter] you can't have the port you can't have the river sealed up and the ports still
[108] 12:43	be in operation to the extent that causes everyone to move from the city itself
[109] 12:48	so uh i don't buy the fish official explanation and i think there's more and more scholars also coming to that opinion
[110] 12:55	that the that the official explanation the the sort of the the the majority explanation of why everyone
[111] 13:02	abandoned uh uh avarice um suffices so uh i
[112] 13:10	i just don't think that explanation makes any sense so you can even have you can have either the whole city abandoned
[113] 13:17	or you can have an alternate explanation that because the river
[114] 13:24	or you can try to account for the fact that the river is still in operation but it's kind of like having it both
[115] 13:31	ways i think what happened was that the river did silt up and it did move northward i mean there's
[116] 13:37	no doubt about that but i think that happened later in dynasty 20. that's when i think it happened
[117] 13:42	when the city of puramsies was actually abandoned and they sort of then took all the
[118] 13:47	stones from parameters and moved them to tanis so that's what i think happened there
[119] 13:53	but i think that uh needing an explanation for the abandonment of avarice they picked on
[120] 13:59	something that was the most the most um naturalistic cause without sort of thinking through the consequences of
[121] 14:05	this so that's what scholar most scholars think today and
[122] 14:11	um that's the reason why i don't buy it thank you very much for your super chat
[123] 14:16	very much appreciated okay
[124] 14:22	yeah regular super chats now our first regular super chat comes from jonathan monroe for five dollars thank
[125] 14:29	you very much uh what are your thoughts on theistic evolution from people who teach that the
[126] 14:35	genesis account is poetic instead of historical from an ancient eastern perspective
[127] 14:41	okay um i think one of the things about i mean
[128] 14:46	there's you've got you've got several issues in in this question this is a very very complex question
[129] 14:51	and i don't wanna actually um do it injustice okay
[130] 14:59	now i have problems with evolution from a scientific and a historical perspective
[131] 15:05	my the fact is that at one point in my life
[132] 15:11	i've been prior to pretty much every health very every view on origins on the map
[133] 15:16	i've been a theistic evolutionist i've been a progressive creationist i've been a young earth creationist i've been uh
[134] 15:22	old earth creationist uh and right now frankly i'm more agnostic than anything
[135] 15:28	else on this because i haven't decided yet but i do have some issues with theistic
[136] 15:33	evolution and it's not so much the theistic part is the evolution part uh the evolution that's taught today in
[137] 15:41	schools is very very different than the the evolution i was taught even 20 years ago at university so knowing this
[138] 15:49	i'm very very reticent to try to uh syncretize a
[139] 15:56	a secular scientific theory with the biblical account so i'm very very reticent to do that on
[140] 16:03	historical basis knowing that evolution changes its paradigm practically every 40 50 years
[141] 16:12	so knowing that i'm very very reticent to do that and i and i and i can easily foresee down the
[142] 16:18	scientific roadmap it's changing two or three times again um i think epigenetics is is radically
[143] 16:25	changing the theory of evolution in ways we can't even imagine at this point so
[144] 16:30	i'm seeing that i'm very very reticent to to hook it up to to the bible
[145] 16:35	now as far as poetics um just because something is poetic also
[146] 16:41	doesn't mean it's fiction prophecy is poetic wisdom literature is
[147] 16:47	poetic there's a lot of things in the bible that are are true that are poetic
[148] 16:55	the the song of deborah is poetic it also is an accurate account of
[149] 17:02	history so it's it's not just poetic or historical it can be both at the same
[150] 17:10	time so that's one thing we have to take away from an ancient near eastern perspective
[151] 17:16	is that poetic and history aren't actually mutually exclusive
[152] 17:21	so just because the genesis account is poetic doesn't mean it also doesn't
[153] 17:26	have a historical basis so again i want to be careful here
[154] 17:33	but i i think there's some some issues with it with a statement that says that that the
[155] 17:39	genesis account is only poetic i think that's very problematic just
[156] 17:45	like in the same way that i would hitch i think it's problematic hitch evolution to
[157] 17:50	to the genesis account because it's ephemeral so anyway that are my that's my thoughts
[158] 17:57	on on this this question so far my thoughts are still developing on this
[159] 18:02	i might reveal more in the future but that's where i stand today thank you very much for your super chat
[160] 18:08	very much appreciate it okay next one
[161] 18:14	we got one here from brian peachy for five dollars thank you very much the net has a note
[162] 18:23	that i um i think you have a uh that's the new
[163] 18:28	english translation i believe as a note that the sons of hef that abraham dealt with
[164] 18:34	it says that there is no known connection between them and the hittites is that true well i'd have to look at
[165] 18:40	the at the particular verse um no known connection between them and
[166] 18:48	the hittites now the hittites are actually go way back i mean easily into the time of abraham so
[167] 18:56	um the old hittite kingdom i mean we're not talking about the neo hittite
[168] 19:01	kingdom of super hot sauce or hot um hatsu celie the
[169] 19:06	second uh we're not talking about that empire before
[170] 19:12	the um neo-hittite empire um and uh
[171] 19:18	sort of the the hittite new kingdom i should say not the neo hittite sorry um the new kingdom uh
[172] 19:27	the hittites uh rule is is basically broken up into four phases
[173] 19:32	there's a old kingdom a middle kingdom a new kingdom and the neo-hittites okay super
[174] 19:38	lulululuma that's the new kingdom that's the hittite new kingdom but before that into the time of abraham
[175] 19:45	there was still uh there was a middle kingdom and a old kingdom of hittites as well and
[176] 19:52	these these these kings actually had managed to conquer all the way to babylon so
[177] 20:01	the hittites actually were around long before say the um before the 13th
[178] 20:08	century bc the history of the hittites before them is a little shady
[179] 20:13	but they were there so i i don't think i don't think that that footnote
[180] 20:20	in the net is is very solidly based in history
[181] 20:26	um now we don't have a lot of inscriptions because we don't actually have a lot of writing from
[182] 20:31	that period of time we've got a a few inscriptions from that middle phase of
[183] 20:36	the hittite kingdoms but uh we don't have anything from say the old uh hittite kingdom but we know that they
[184] 20:43	were around because the babylonians record them so um again
[185] 20:51	easily there were easily hittites around at the time of abraham so i wouldn't take that footnote for
[186] 20:57	being worth much but great super chat interesting super chat thank you very much for that
[187] 21:02	question very much appreciate it okay
[188] 21:10	uh our next super chat by muhammad quran for five dollars thank you very much is
[189] 21:18	jesus from genesis 36 actually mentioned in the story of sin away uh seen people like steve rudd
[190] 21:26	make this claim yeah steve rub isn't very competent um
[191] 21:31	i know steve unfortunately he's one of these um associates for biblical research guys um
[192] 21:40	he's not really an expert in the field but okay let's just take a look at what genesis
[193] 21:47	36 actually says so i'm going to actually pull up my bible here imagine that so
[194] 21:54	genesis 36
[195] 22:04	all right and let's see here
[196] 22:12	all right and this comes from verse 18. and these are the sons of esau wife of
[197] 22:19	ohilamed uh chief jehus chief jalen chief korra these are the
[198] 22:25	descendants of esa's wife
[199] 22:32	daughter of ana okay that's genesis 36 18. now these are the sons of of of esau
[200] 22:41	esau being the descendant of jacob so we are talking about roughly
[201] 22:48	the 17th century bc that that's that's that's the time frame here the 17th century bc
[202] 22:56	now sin away actually dates to the time of let's see here let's see if
[203] 23:04	that actually works with the chronology because it helps to look at your chronology before you actually make any
[204] 23:10	decisions here so i'm going to look at the chronology here sin away dates i believe to the reign of
[205] 23:16	sin was right the third if i'm not mistaken i'd have to probably look that up but
[206] 23:25	and sin was the third
[207] 23:31	is 19th to 20th century bc so it's off by about 200 years
[208] 23:39	so i think steve rudd is wrong here um quite frankly
[209] 23:46	it doesn't work with the chronology that we know of sinaway it doesn't work with the chronology that will basically works
[210] 23:52	with the bible now i know that uh steve rudd is is using uh american
[211] 23:57	biblical chronology to to do his stuff unfortunately
[212] 24:02	american biblical chronology has too many problems to really consider it to be viable so
[213] 24:10	um i think steve rudd is wrong here sorry but great question and great super
[214] 24:16	chat very interesting question thank you very much okay
[215] 24:25	so let's see here what else we got okay that's all for the super chats for the moment let's start looking at
[216] 24:32	regular questions here now i did see one that unfortunately
[217] 24:37	dropped off the list and i can't recover here um but i'm so i'm not going to address
[218] 24:43	that because i can't show it on the screen but we'll take the next one here
[219] 24:49	um if you if you do post a question before the live stream uh and it's not a super chat i probably
[220] 24:55	won't take it so uh just just as a reminder in the future if you're going to do non-super chat questions wait the live
[221] 25:02	stream to go live because it's just otherwise it's just going to pile up and i won't be able to
[222] 25:07	handle it so i'll take
[223] 25:14	what i'll tell who is this
[224] 25:20	i don't see that question uh [Music]
[225] 25:25	second coming from the top here i see it okay all right how tall were the pharaohs how
[226] 25:32	did ancient egypt okay uh i don't want to be the demonetized
[227] 25:44	how tall were the pharaohs uh they were about five to six feet um they weren't tall
[228] 25:51	exceptionally tall people but because it's because nutrition was was really garbage back then
[229] 25:57	but um they could be you know five-ish five-ish feet
[230] 26:04	i think king tut was something like 5-2 something like that
[231] 26:09	it's hard to say because the body does shrink in length after it's modified so it's hard to get an accurate a height
[232] 26:16	value so but but they were they were normal height generally pretty typically normal
[233] 26:21	height people as far as i mean on the shorter side but but uh not exactly i mean they
[234] 26:29	weren't tall by any stretch of the imagination um as far as their toiletries
[235] 26:35	they used uh indoor they actually had indoor toilets
[236] 26:44	they had a counter that had a hole in it with a pot and they would use the pot and then take
[237] 26:51	the pot and dispose of it outside uh that's how they um did number two
[238] 26:59	okay uh for the for number one they just went outside
[239] 27:04	just like everybody else in the ancient world and did they have soap well they had a
[240] 27:10	kind of soap actually they would mix olive oil and natron and that would actually form a
[241] 27:15	rudimentary soap so they did actually have a kind of soap now if you think of it
[242] 27:22	nature on his is is a mild alkaline so a mild alkaline plus an
[243] 27:29	oil a fat gives you soap so they did actually have a kind of soap
