[0] 0:03	okay uh
[1] 0:14	okay it was quite a debate got my popcorn here
[2] 0:20	we are now um entering the after party and boy this
[3] 0:25	was quite an experience and we already have our first
[4] 0:31	let's just get add a live stream here
[5] 0:37	hey Michael how you doing wow that was a quote trip
[6] 0:44	when I asked you I said I asked you a while ago I said so did you destroy him and you said yes I said I I said I said
[7] 0:52	that would be telling I didn't confirm or deny that
[8] 0:58	like that wasn't a debate that was you lecturing in in Kennedy just rudely
[9] 1:03	interrupting you a couple times like it wasn't like he didn't challenge you on anything like
[10] 1:10	you laid out all your like he made a big mistake early on by letting you go first to live up your evidence from any sort
[11] 1:15	of debate tactic that's just ridiculous you you don't do that if you get are you
[12] 1:20	you're allowed to go first you take it and he's like no no let let Dr David Falk go first and I was like okay well
[13] 1:26	he just gave you the debate because now you get to allow all your evidence first that'll be in the audience's mind first
[14] 1:32	and then you can like and then that'll lead the narrative but then on top of that he never challenged most of that
[15] 1:38	evidence in fact the debate he said like yeah that all makes sense
[16] 1:43	it was really really strange because I you know somebody asked later on you
[17] 1:49	know why isn't fault defending of it of any of his evidence or points well none of my points were contested
[18] 1:56	you know you don't have to descend what's not contested and he basically said towards the end of
[19] 2:03	the debate like because Sean sort of pressed him and said like you know is it what do you see as sort of like a challenge is and with the archeology for
[20] 2:10	the late date and he was like I don't know I might see that many challenges and I was like okay so this isn't this
[21] 2:17	isn't really making me want to favor the early date anymore because you're literally just telling us that Dr Falk
[22] 2:23	has presenting good evidence for the late date foreign
[23] 2:30	to say okay what part of this
[24] 2:38	does help the 15th century date oh and what denies the 13th century he
[25] 2:45	goes well nothing denies the 13th century takes yeah
[26] 2:50	so uh
[27] 2:55	help me understand this wait what is either a challenge though like there's nothing that he's doing
[28] 3:01	that's basically telling the audience there's nothing I I see okay my audio's
[29] 3:07	clicking badly okay but he's basically letting the audience know there is nothing that would prevent us from
[30] 3:14	taking the late date uh but there's all these problems also as you pointed out with the early date so if your opponent
[31] 3:21	it's what I call the McCain tactic because in 2008 John McCain was asked the question like what do we have to
[32] 3:26	fear from an Obama presidency and he said you have nothing to fear from an Obama presidency and that's kind of what Kennedy did here he's like you've
[33] 3:32	nothing to worry about there's plenty of evidence for the late date uh and so it's like okay so if anyone's on the fence they're gonna see that and go
[34] 3:39	great I'll just go with the late date because even the early date guys say there's nothing wrong with it yeah
[35] 3:45	yeah absolutely Dr Faulk you killed it
[36] 3:50	yeah thank you like uh it honestly
[37] 3:56	a this was this is a good debate to watch oh also
[38] 4:02	I have popcorn oh good everyone should bring their popcorn
[39] 4:08	unfortunately oh
[40] 4:19	in August yeah we uh we were Facebook friends and
[41] 4:25	then we met it in person at uh capturing Christianity conference there we go but it's very low
[42] 4:33	there we go Adam Adam turn your volume down bit yes sir
[43] 4:39	hang on oh is that good or I don't know
[44] 4:45	yeah with um one thing I will point out in terms of debate styles there's there's things that
[45] 4:52	subconsciously that would uh Dr Falk look better and simple things like he goes closer to the camera
[46] 5:02	yes it again but the fact that you like you notice Sean McDowell and yourself Dr
[47] 5:07	[ __ ] you were closer to the camera that looks better Kennedy was like really far back like all the way out here and it
[48] 5:12	just makes him look smaller subconsciously that makes the audience feel like you're more in control because
[49] 5:18	you look bigger you also had a much better mic he was using like camera audio so anytime you two were talking
[50] 5:24	over each other the audience is going to hear you and it's also going to sound better so just from like little
[51] 5:30	subconscious things like Kennedy was just not going he better he had to have a really good argument to overcome those
[52] 5:35	deficiencies on his half but he didn't even have that going for him well I mean I don't have no any choice about the um
[53] 5:42	camera because I have a very small desk the my desk
[54] 5:47	forces that that that camera would be closer to me as far as my mic goes I did invest in a
[55] 5:54	real mic with a real x uh uh XMR connection
[56] 5:59	audio interface I did I put a lot into my audio
[57] 6:07	yeah we won't talk about my mic I mean Kenny used his laptop
[58] 6:14	I mean anytime you lose an OP laptop for your audio and visual that's not going to turn out well no
[59] 6:21	I thought the one left out here because I'm using my phone and you guys have all special mics
[60] 6:27	I will say this about the debate uh Hello friends across the Great Pond in
[61] 6:32	England hi it's hello again the most interesting thing for me was the um the
[62] 6:39	live chat and the people that Mike was uh trying to interact with that was uh
[63] 6:45	very interesting to watch while you guys were talking oh
[64] 6:51	you mean the guy that screamed in all caps yeah I think he he just there's
[65] 6:57	something wrong with his keyboard he must have just had some kind of sticky keys
[66] 7:07	it's something that I I really just couldn't stop uh looking
[67] 7:13	at during the debate because I understand the kind of people that uh Kennedy is attracting to his position
[68] 7:21	I can't stop thinking about it it is the kind of ultra conservative young of creationists who need to keep that date
[69] 7:28	for his for their position and it's it's very irritating and Mike
[70] 7:35	would probably remember me from a while back I used to be Caruso apologetics
[71] 7:40	that used to be in my channel um I I've dealt with those kinds of people
