[0] 0:00	[Music] foreign [Music]
[1] 0:25	[Music]
[2] 0:50	[Music]
[3] 1:00	[Music]
[4] 1:08	foreign
[5] 1:19	[Music] thank you
[6] 1:27	[Music]
[7] 1:34	[Music]
[8] 1:48	foreign [Music]
[9] 2:23	foreign [Music]
[10] 2:31	hello and welcome to this our 93rd live stream praying for the people of Turkey
[11] 2:38	as well as Syria okay in case you are not aware there was a terrible earthquake in Anatolia turkey
[12] 2:46	and Syria that's killed thousands of people and we would urge everyone on the
[13] 2:51	channel right now to pray for the people there that they may get Aid it's a war-torn
[14] 2:57	region and right now it's very very difficult to get Aid and assistance to the people who really really need it
[15] 3:04	right now so we want to remind everyone today that please pray for them
[16] 3:10	you know donate to your local uh uh fun Charities that will lend assistance
[17] 3:17	you know extend the hand of friendship out to them because right now they really really need it so we asked just
[18] 3:23	ask that everyone pray and provide support to the humanitarian assistance
[19] 3:28	out there okay uh we also want to let everyone know that we've got a new
[20] 3:35	uh set up here as well as you know last week we had problems with our uh twidget
[21] 3:42	software and we were not able to resolve it resolve it so we've got a new
[22] 3:48	piece of software that's generally doing the same sort of function but it's going to look a little different and hopefully
[23] 3:54	there isn't going to be much in the way of technical glitches but it's not well tested we were
[24] 4:02	still trying to get this work like a half hour before we start here so
[25] 4:08	with that said um it's the same format as always where
[26] 4:14	we take your questions on Ancient Egypt in the Bible super chats have priority
[27] 4:21	if you're going to ask a um non-super chat which we do take non-super chat questions please ask your
[28] 4:27	question only once so my uh the live chat doesn't get
[29] 4:32	congested we also ask that you if you ask a question about say a verse in the Bible
[30] 4:40	or a foreign language that you give me some context in the case of a verse on the Bible give me what book is from what
[31] 4:48	chapter and what verse if it's a foreign language please tell me what language you think it is and
[32] 4:53	what you think the word means so with that said let's get uh into the questions
[33] 5:01	okay and we're going to start tonight with four non-super chats
[34] 5:07	and our first question tonight here is from dark blade and he asks how does one identify
[35] 5:13	Abraham and the Israelites as Amorite people without blatantly contradicting
[36] 5:19	the statement of the amorites being descended of Canaan son of ham in
[37] 5:24	Genesis 10 15 to 20. and Abraham being identified as a patriarchal descendant
[38] 5:30	of sham Sham in the genealogy of 11 10 to 26. okay
