[0] 0:00	[Music] foreign
[1] 0:07	[Music]
[2] 0:22	[Music]
[3] 0:39	foreign [Music]
[4] 0:50	[Music]
[5] 1:05	[Music]
[6] 1:10	foreign [Music]
[7] 1:37	foreign
[8] 1:45	[Music]
[9] 2:10	foreign
[10] 2:19	[Music]
[11] 2:41	foreign [Music]
[12] 2:53	[Music]
[13] 3:08	[Music]
[14] 3:14	foreign [Music]
[15] 3:51	foreign
[16] 3:58	[Music]
[17] 4:12	hello and welcome to this our 95th live stream Egyptian myths
[18] 4:18	interacting with this live stream of course we are the channel Ancient Egypt
[19] 4:24	and the Bible I mean what else would we be interacting with other than Egyptian stuff and the Bible so that stands to
[20] 4:31	reason that we'd be interacting with this so anyway we want to welcome welcome you
[21] 4:37	to tonight's live stream uh again we're going to do what we always do every Friday night which is take your
[22] 4:43	questions on Ancient Egypt and the Bible and the rules are the same as always so
[23] 4:49	super chats have priority this is totally standard on YouTube so that's just that's just the way it goes
[24] 4:56	but we also take non-super chats and we'll take some at the beginning and then at the end of the live stream we
[25] 5:02	take usually a couple as well so the way the non-super chats work are
[26] 5:07	if you want to direct a question to me you need to preface the question with a q and a colon
[27] 5:13	we ask that you only ask the question once because I scan through the live
[28] 5:19	chat to look for questions so if you do it more than once I get easily confused
[29] 5:25	we also ask that if you're asking about a verse in the Bible
[30] 5:31	or an ancient or an ancient language we ask that you preface that verse by including where
[31] 5:38	you got it from the book chapter and verse number that
[32] 5:44	really helps also if it's about a uh ancient language we also ask that you put in what
[33] 5:50	language it's from and what you think the word means just to give us a little bit of context here
[34] 5:55	so anyway that covers all the preliminaries very very quickly so let's get into the questions because we have
[35] 6:02	got a we've got a fair number of non-super chats tonight uh but uh not so much
[36] 6:09	Super Chat so it might be a short night who knows I might get to bed early you know things happen
[37] 6:17	[Laughter] miracles happen sometimes who knows
[38] 6:23	so anyway we're going to start with some non-super chats our first non-super chat here
[39] 6:29	is from bonbon and he asks did charismatic preacher
[40] 6:36	types regarding Temple priests exist in ancient Egypt and if so how were they
[41] 6:41	viewed by lay Egyptians and the Egyptian Elites okay
[42] 6:47	well unfortunately as much had been interesting for
[43] 6:54	charismatic preacher types to have been around in ancient Egypt there was generally not charismatic
[44] 7:01	preacher types okay the reason why was because Egypt was a
[45] 7:07	highly stratified Society you tend to get charismatic preacher types in non-stratified societies
[46] 7:15	so when there's a basically a social pecking order people tend to stay in their roles
[47] 7:21	so priests tend to stay in their Priestly role Farmers tend to stay as farmers
[48] 7:29	slaves tend to say as slaves though in a stratified Society you don't
[49] 7:34	get people sort of transcending it it happened but it was rare uh and they
[50] 7:39	almost never became they never disrupted the social order because they're trying to climb the ladder not sort of break
