[0] 0:00	[Music] foreign
[1] 0:07	[Music]
[2] 0:22	[Music]
[3] 0:44	[Music]
[4] 0:50	[Music]
[5] 1:05	[Music]
[6] 1:10	yeah foreign
[7] 1:45	[Music]
[8] 2:14	thank you
[9] 2:19	[Music]
[10] 2:25	foreign [Music]
[11] 3:10	foreign
[12] 3:17	[Music]
[13] 3:23	hello and welcome to this r96 live stream like a Goodwill shop exploded
[14] 3:30	this is a course of reference to our last teaching video which uh
[15] 3:35	uh which was on the ad hominem fallacy and if you haven't watched that yet please go and check it out because um
[16] 3:41	there's some colorful examples in there so anyway this is our weekly live stream where we take your questions on Ancient
[17] 3:48	Egypt and the Bible and um uh we got a few interesting questions
[18] 3:54	tonight so uh this should be very very interesting and I'm looking forward to this the uh rules are the same as always
[19] 4:01	which is uh super chess half priority that should be no surprise to anyone on
[20] 4:07	YouTube if you but we also take non-super chat questions as well
[21] 4:13	and we generally run this stream for about three or four hours the uh if you are going to do a
[22] 4:22	non-super chat question we ask that you put a q and a colon in front of your live chat so I can tell it's directed to
[23] 4:29	me and not somebody else in the live stream I also ask that you only post the question once if we see that you've
[24] 4:36	posted a question more than once we won't take it essentially uh just because that's becomes too
[25] 4:42	confusing for me to scroll through it and figure out where I am the other thing we ask is if you're uh
[26] 4:49	asking a question about the Bible or a foreign language that you give us a
[27] 4:55	little context in the case of the Bible give us the book it's in the chapter and the verse if it has to do with the
[28] 5:02	foreign language we ask that you tell me what language it's in and what you think it means just so I have a little context
[29] 5:07	to comment on so anyway let's start getting into the questions and we have starting tonight
[30] 5:13	with five non-super chats okay our first question of the night is
[31] 5:20	from Bonbon who asks which ancient Egyptian custom would you
[32] 5:25	want to bring back today oh great question
[33] 5:33	there's a few that I think are very interesting but you know what I think I'd like to bring back is the picnic
[34] 5:40	with the Dead the Egyptians had this custom that once
[35] 5:45	a year they would go to their ancestral uh
[36] 5:51	grave and at that grave uh that tomb
[37] 5:56	they would basically have a little picnic lunch they would
[38] 6:03	basically Ava eat some food you know have some drink
[39] 6:09	and talk with their ancestors I think it's a fabulous tradition of
[40] 6:14	memorializing and there are people who in Egypt who still do this on occasion which was go
[41] 6:20	to to the ancestral Graves and basically pull out a picnic lunch I think it's a great way to memorialize
[42] 6:26	the Dead so um it's a very interesting yeah it's
[43] 6:31	very very similar to All Saints Day except you're actually physically going to the cemetery to do it
[44] 6:37	so oh and you're bringing a lunch that's an important part of this you
[45] 6:43	know it's not just that you're going to memorialize the dead you're actually going there and you're eating
[46] 6:51	having a family meal with the deceased family is essentially what you're doing
[47] 6:56	so I think it's an awesome little ritual Uh custom and I would actually love to
[48] 7:02	see some form of that return I think that would be fantastic
