[0] 0:00	[Music] foreign
[1] 0:09	[Music]
[2] 0:33	[Music]
[3] 0:56	[Music]
[4] 1:06	[Music]
[5] 1:14	foreign
[6] 1:25	[Music]
[7] 1:33	[Music]
[8] 1:47	[Music]
[9] 2:09	[Music]
[10] 2:15	[Music]
[11] 2:22	foreign foreign
[12] 2:30	[Music]
[13] 3:11	[Music]
[14] 3:29	[Music]
[15] 3:39	foreign
[16] 3:44	[Music]
[17] 4:13	foreign
[18] 4:19	[Music]
[19] 4:26	hello and welcome to this our 97th live stream certified genuine by the IAA the Israel
[20] 4:35	Antiquities Authority [Laughter] this is a course a nod to our last
[21] 4:42	Monday release where we talked about the most recent debacle with the Darius
[22] 4:48	the great inscription and if you haven't seen that Mana machine alert please go back after the livestream and do have a
[23] 4:54	look at it where we discuss what went right and what went wrong with that most recent
[24] 5:01	certified genuine uh issue with that ostrica so anyway
[25] 5:10	what we do here on these live streams is we take your questions on Ancient Egypt and the Bible and answer them in the
[26] 5:16	best way we can the rules are the same as always if you have not been on one of these live
[27] 5:22	streams before which is super chat's half priority that's pretty standard across all YouTube platforms
[28] 5:30	and if you but we do take other questions as well and if it's a non-super chat we ask that
[29] 5:36	you put a q and a colon at the beginning of the question so I know it's directed at me not somebody else in the live chat
[30] 5:43	we also ask that you only list the question once if we find that you've listed it more
[31] 5:48	than once we will ignore it because it just adds too much clutter and confusion to the live chat
[32] 5:55	also if it happens to involve a Bible verse or a word in a foreign language we
[33] 6:03	ask that you give us a little context so in the case of a Bible passage we ask
[34] 6:09	that you include the book The chapter in the verse and if it has to deal with say
[35] 6:15	a a language foreign language let me know what language you think it's in and what
[36] 6:21	you think the word means just to give me a little bit of context so I can sort of figure this out because we don't do any
[37] 6:28	advanced prep for this this is a live show so anyway we're going to get to the questions and we are going to start off
[38] 6:34	with I think we're starting off with five non-super chats
[39] 6:40	and oh six we got six here listed okay so we're going to start off with six
[40] 6:46	non-super chats and our first question of the night is from darkblade
[41] 6:52	and he asks how are cuneiform names traditionally translated literated into
[42] 6:58	Hebrew does to iru to Terra fit this pattern and actually
[43] 7:04	it does fit this pattern and for a couple of reasons okay now when you do
[44] 7:09	read cuneiform you'll notice that that there's certain padding that's done to sort of extend it
[45] 7:16	so in the case of teeru you would have a t e because what you
[46] 7:22	have in cunea form is bilaterals essentially bilaterals each cuneiform
[47] 7:28	symbol is represented by a different bilateral uh or sometimes there's uh log of forms
[48] 7:35	and other forms of um celebration as well
[49] 7:40	but you would often find like for example you'd see a te followed by an a
[50] 7:48	um glottal character and and the eye and then probably another I added between
[51] 7:54	that and then ear and then the roux so there'd be many many syllables that
[52] 8:00	go into this and then you just say this would be Teru okay so you would probably not pronounce that
[53] 8:08	that that second ear that's that's in that sequence of cuneiform
[54] 8:14	okay so you just say Teru okay now in the case of Hebrew Hebrew abhores
[55] 8:24	a word or name ending in a vowel well this works just fine in connection
[56] 8:32	form it doesn't work in Hebrew this is why in a lot of Hebrew names it
[57] 8:38	usually ends with a consonant because the way that say
[58] 8:46	um pronouns work in Hebrew is often through the addition of a vowel at the
[59] 8:52	end of or a vowel sound at the end of a word so Hebrew tends to abhor
[60] 8:59	having a word in the vowel so Teru would have to end with
[61] 9:05	a consonant at the end for it to be properly transliterated into Hebrew
[62] 9:12	so in this case they use a hate instead so this is this is one of the reasons
[63] 9:17	why for example in say Semitic languages like Hebrew we can't always count on the
[64] 9:26	final consonant being a part of the original Source language that that word
[65] 9:31	might or name might have come from just because Hebrew will add a constant
[66] 9:37	onto the end of a name to round it out to make it acceptable within Hebrew
[67] 9:45	this is why you find a lot of uh say mimation in Hebrew it's because they
[68] 9:50	will add a name onto the end of a word just to Pat it out to make sure it's
[69] 9:57	it's acceptable within the the the the um the language standards of Hebrew
[70] 10:05	so this is why for example in the case of Terra we can't count on that hate
[71] 10:11	being the original so given that and we look at that pattern of the Tate and the
[72] 10:17	race yeah that fits just fine with uh tarot that we find in the cuneiform
[73] 10:23	so anyway I hope that answers your question thank you very much for the question and very much appreciate it
[74] 10:31	okay the next question here is also from dark blade Joshua 10 41 and 11 16 both identified
[75] 10:40	Goshen as having been taken by Joshua is this a copyist or transliterator
[76] 10:45	error two places with the same name or a claim that Joshua took land from
[77] 10:51	Northeastern Egypt okay most likely it's the second option that's two places with
[78] 10:57	the same name and we find this happening all the time this happens all the time in the geography of the ancient near
[79] 11:05	East like for example this 21 places with the name of Antioch in the ancient world
[80] 11:12	this is just something that that people did back then they reuse the names over and over and over again
[81] 11:19	we have for example three hermaphyli in ancient Egypt
[82] 11:25	we have to Kadesh in southern Kaden one on the border of a Dom the other in the
[83] 11:33	uh the North Eastern Sinai uh one that's uh
[84] 11:39	so you know multiple multiple names or multiple places having
[85] 11:45	the same name is very very common it's exceptionally common
[86] 11:50	so when we look at say Joshua 10 41 and 11 16. what these verses are talking
[87] 11:58	about is a city or a region in southern Canaan and you look at the other what goes with
[88] 12:07	it like let's let's pull up the Bible here and go to Joshua
[89] 12:22	Joshua 10 41.
[90] 12:32	and Joshua struck them from cash barnia now that's we talked about Kesh burnia last week that's the one in the north
[91] 12:38	North East Sinai even as far as Gaza okay that's on the coast
[92] 12:45	and all the country of Goshen even as far as gibeon so we see that the
[93] 12:51	sequence of events here the sequence of the conquest is going from west to east
[94] 12:57	so in this particular case we can see that these these he's striking at cash barnia and Gaza and headed east through
[95] 13:05	Goshen to gibeon okay so there's that sequence of
[96] 13:11	geography here that's sort of playing out and Goshen at least the Canaan um the ver the um
