[0] 0:00	[Music] foreign
[1] 0:09	[Music]
[2] 0:31	[Music]
[3] 0:37	[Music]
[4] 0:52	[Music]
[5] 1:14	foreign
[6] 1:32	[Music]
[7] 2:05	[Music] foreign [Music]
[8] 2:25	foreign [Music]
[9] 2:40	[Music]
[10] 2:59	[Music]
[11] 3:05	[Music]
[12] 3:12	[Music]
[13] 3:26	foreign [Music]
[14] 3:41	foreign [Music]
[15] 4:09	hello and welcome to this our 98th live stream all pharaohs are Kings but not all kings
[16] 4:17	are pharaohs this is of course a tip of the hat to our Monday video where we
[17] 4:22	talked about the eight native Kings that are named by name in the Bible the
[18] 4:30	kings of Egypt that is and sort of the rub here is that not all kings of Egypt
[19] 4:37	in the Bible were pharaohs doubt what is a pharaoh a pharaoh is a title that's uh
[20] 4:43	refers to the big house and it was a title that was first used in Egypt during the reign of tutmosis
[21] 4:50	III so any Egyptian king before Moses III
[22] 4:55	was not a pharaoh but any king of Egypt after and
[23] 5:00	including Moses III was a pharaoh so it's one of those things that has a
[24] 5:06	sort of a a time delimiting uh use
[25] 5:11	so also we want to wish everyone a Happy St Patrick's Day uh yes that great great saint of bad
[26] 5:20	analogies about the trinity and if you know your theology well you
[27] 5:27	know what this means which is that no analogy
[28] 5:35	for the Trinity really works very well a lot of the the analogies St Patrick
[29] 5:40	used can devolve down into modalism or partialism
[30] 5:45	which are considered to be kinds of heresy but
[31] 5:54	suffice it to say he did manage to communicate and the problem with an analogy is you can't make an analogy
[32] 6:00	walk on all fours that's the problem with an analogy an analogy is something that's like
[33] 6:06	something else but not the same as something else so I'm gonna cut St Patrick here just a
[34] 6:14	little slack just a little Slack okay just a little slack because you you
[35] 6:22	you can't you I mean you get points it work I mean you get boys for trying yeah
[36] 6:28	you do get points for try and St Patrick did try
[37] 6:33	but it's it's also it's also the fact too that um
[38] 6:39	uh that you know you just you just can't make it with an analogy walk on all fours that's one of the problems with an
[39] 6:44	analogy at some point all analogies break down in the case of the Trinity it tends to
[40] 6:51	break down just a little faster than other types of analogies because God Is
[41] 6:58	So utterly different than almost anything else
[42] 7:04	so I can understand where those analogies break down a lot lot faster
[43] 7:10	and when you do describe the tendency you do end up in
[44] 7:15	doing extra [Music] um
[45] 7:21	you have to do abstractions and that's what basically when you start to do it describing the trendy you have to you
[46] 7:27	have to resort to abstract language there's just no other way around it so again I understand how how a analogy
[47] 7:36	that's done in concrete terms is going to ultimately fail because you can't describe something that's
[48] 7:43	Transcendent and com basically Beyond common experience to to basically
[49] 7:52	be reducible to something physical so again I want to wish everyone a Happy
[50] 7:58	St Patrick's Day and uh make a little more please than
[51] 8:03	just a just an elaborate drinking holiday okay try to do a little little good theology
[52] 8:09	today don't just don't just drink yourself into uh under the table okay
[53] 8:15	uh the other thing I want to announce is this Monday we're having a popcorn review
[54] 8:21	okay so please join us for that it's going to be at 8 00 PM not our normal
[55] 8:27	release time of 8 am it's going to be a Premiere so I'm going to be chopping on the live chat with you
[56] 8:33	guys and we're going to make this a party like we do every time so again popcorn review Monday 8 P.M
[57] 8:40	okay
[58] 8:46	yep that's fine okay all right okay we will I think he's
[59] 8:51	he he put in another one just recently so so unless uh Bonbon wants to slip in
[60] 8:58	something special at the last minute here oh yeah we'll we'll take that we've we've seen the Super Chat so
[61] 9:05	okay so anyway uh again we're here well doing what we
[62] 9:12	do every Friday night which is we take your questions on Ancient Egypt and the Bible now the rules are the same as always
[63] 9:18	super chats have priority if you do we also take some non-super chats so if you put in a question that's
[64] 9:26	not a super chat we ask that you preface the question with a q and a colon so I know it's directed to me
[65] 9:32	also ask that you put in the question only once and we're real sticklers about that rule because we have we have to
[66] 9:39	scan through the live chat looking for for questions that we have to know which ones we passed over versus which ones we
[67] 9:44	answered so we're real stickers on that rule if you post a question twice we just don't
[68] 9:51	we don't answer it period also if it's a uh has to do with a verse
[69] 9:58	in the Bible or a uh word in foreign language we ask that you
[70] 10:04	give us a little context so if you ask us a question about something in the Bible please give us the book of the
[71] 10:10	Bible the chapter and the verse it happens to be about an ancient language tell us what language you think
[72] 10:15	it's in and what you think it means just to give us just a little context to go on so with that said let's get into the
[73] 10:21	questions and we are going to start tonight with five non-super chats
[74] 10:31	our first question of the night is from bonbon who asks why were high Priests of Amun
[75] 10:39	still able to consolidate so much power during the later New Kingdom when the
[76] 10:44	capital wasn't at thieves but at P Ramses okay great question they were able to consult consolidate
[77] 10:52	power because they already had a lot of money essentially wealth
[78] 10:57	the priesthood at Thebes was not poor and it had over centuries accumulated
[79] 11:07	lots of um endowed lands
