[0] 0:00	[Music] foreign
[1] 0:09	[Music]
[2] 0:19	[Music]
[3] 0:27	[Music]
[4] 0:41	[Music]
[5] 1:03	[Music]
[6] 1:10	[Music]
[7] 1:19	foreign [Music]
[8] 2:05	[Music]
[9] 2:18	[Music]
[10] 2:27	foreign foreign
[11] 2:35	[Music]
[12] 3:07	foreign [Music]
[13] 3:17	99th live stream 9000 at 99. this is of course a
[14] 3:23	reference to the fact that our channel has just hit over 9 000 subscribers so
[15] 3:29	we are all really really jazzed about this and we want to thank everyone who
[16] 3:35	has subscribed already and if you haven't already subscribed please consider hitting that subscribe button
[17] 3:40	and the notification so you don't miss any of our content uh we again are just thrilled to be here
[18] 3:49	and we're going to be taking your questions on Ancient egyptus and the Bible like we do every night on this
[19] 3:55	channel so with that said the rules are the same as always
[20] 4:01	which is a super Jets have priority no surprise
[21] 4:07	there if you wanna don't wanna leave a Super Chat we do take non-super chat questions
[22] 4:12	we ask that you put a q and a colon in front of your question so we know it's
[23] 4:17	directed to me only post the question once and if it has to do is something about
[24] 4:24	the Bible or say a foreign word we do need a little context so in the case of
[25] 4:30	a Bible verse tell me what book it's in what chapter what verse and if it's a
[26] 4:36	foreign word tell me what language you think it's from and what do you think it means so just to give me a little context to know what how to exactly
[27] 4:44	engage the question so with that said let's get into the
[28] 4:50	questions now normally we are we normally do say
[29] 4:57	three to five non-super chats to begin a live stream okay however we're only going to be doing one
[30] 5:03	tonight but that's because we had a really really great question and a very
[31] 5:10	complicated question so
[32] 5:15	um this one this one is very very interesting
[33] 5:20	now the question is bring it up
[34] 5:26	and oops that's kind of went off the screen let me just adjust that a little bit here
[35] 5:35	I can all see it all right
[36] 5:41	okay now uh wolf asks what books belong to the
[37] 5:48	Old Testament and why is there a doctrinal consequence to including or leaving the Apocrypha this
[38] 5:57	is a great question and it's a great question because it's
[39] 6:03	very open-ended it's got a lot there's a lot of issues here a lot of issues
[40] 6:09	this is not an easy question I could probably wax eloquent on this
[41] 6:15	for easily 20 minutes an hour because it is it is just an
[42] 6:23	there's so much Nuance here and so much history and uh argument from various
[43] 6:28	traditional perspectives that we kind of have to unpack this slowly
[44] 6:35	okay now I understand too that a lot of my
[45] 6:42	viewers about 40 of my viewers are from Roman Catholic or Eastern Orthodox
[46] 6:48	Traditions okay and they believe in the um candidity at least among those uh
[47] 6:56	denominations that have a notion of canonicity of the Apocrypha okay
[48] 7:02	so I do risk alienating some people with this my
[49] 7:10	answer to this question but I also think it's true that we sort
[50] 7:15	of really understand how the Apocrypha came into certain canons why that
[51] 7:22	happened uh what was the under underlying say circumstances
[52] 7:29	and and I want to do this respectfully okay I really really want to do this
[53] 7:34	respectfully now as some of my viewers already know
[54] 7:42	uh between my producer and I we've covered almost a Gambit of the
[55] 7:48	whole Christian faith as far as denominations go you know we've been say in Evangelical
[56] 7:54	circles we've been in Protestant circles we've been in Catholic circles we've been in Orthodox circles we've covered
[57] 7:59	it all we've covered it all okay and we respect each and every
[58] 8:06	denomination that we have been a part of we do think that there's good aspects
[59] 8:11	and bad aspects to every Faith tradition okay
[60] 8:17	so when we lay this out we're not trying to
[61] 8:23	be disrespectful to what anyone holds as scripture
[62] 8:29	this is my personal opinion okay take it with a proverbial grade assault
[63] 8:34	I will justify my opinion okay I will give you evidence for why I believe what I believe
[64] 8:40	but we're not going to be disrespectful we're not going to treat this in a
[65] 8:46	Cavalier fashion um and I think there's good reasons why I
[66] 8:53	hold the position I do here even though I do respect the great
